"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero","Comarca Andina","Alto Valle","Valle medio","Valle inferior","Linea sur/meseta"
"Tiene Decidido que va a ir a votar",0.78,0.806,0.755,0.68,0.813,0.833,0.812,0.702,0.792,0.878,0.817,0.883,0.58,0.814,0.857,0.883,0.842,0.804,0.75,0.722,0.876,0.816
"Tiene dudas sobre si va a ir a  votar",0.156,0.134,0.178,0.244,0.133,0.104,0.123,0.209,0.156,0.076,0.152,0.085,0.367,0.154,0.114,0.114,0.094,0.118,0.204,0.133,0.059,0.135
"Tiene Decidido que no va a ir a votar",0.064,0.06,0.067,0.076,0.054,0.063,0.065,0.089,0.052,0.046,0.031,0.032,0.053,0.032,0.029,0.003,0.064,0.078,0.046,0.145,0.065,0.049
