"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Weretilneck","Tortoriello","Horne","Rivero","Comarca Andina","Alto Valle","Valle medio","Valle inferior","Linea sur/meseta"
"Totalmente seguro",0.557,0.63,0.488,0.485,0.537,0.642,0.623,0.536,0.536,0.625,0.581,0.692,0.407,0.563,0.619,0.599,0.635,0.542,0.539,0.471,0.653,0.647
"Bastante seguro",0.14,0.136,0.144,0.138,0.145,0.119,0.162,0.131,0.141,0.152,0.144,0.15,0.126,0.107,0.156,0.231,0.115,0.163,0.137,0.151,0.169,0.056
"Algo seguro",0.126,0.095,0.156,0.15,0.154,0.085,0.064,0.097,0.163,0.102,0.12,0.075,0.224,0.154,0.095,0.08,0.026,0.123,0.129,0.158,0.103,0.126
"Para nada seguro",0.177,0.139,0.212,0.227,0.164,0.154,0.151,0.236,0.16,0.121,0.155,0.083,0.243,0.176,0.13,0.09,0.224,0.172,0.195,0.22,0.075,0.171
