"var","categoria","En Juntos por el Cambio, a Santiago López Medrano con el apoyo de María Eugenía Vidal","En Juntos por el Cambio, a Andrés Petrillo con el apoyo de Jorge Macri","En Juntos por el Cambio, a Mauricio D’alessandro","En el Frente de Todos, a Fernando Moreira con el apoyo de Alberto Fernández","En el Frente de Todos, a Juan Esleiman con el apoyo de Sergio Massa","En el Frente de Todos, a Leonardo Grosso","Al candidato de Javier Milei","Al Candidato del Frente de Izquierda","No sabe"
"P30","Solo como gobernador a José Luis Espert",0.089,0.11,0.036,0.028,0.042,0.005,0.205,0,0.097
"P30","A los candidatos a presidente y gobernador del Frente de Izquierda",0.012,0.025,0.079,0.006,0.005,0.081,0,0.531,0
"P30","No sabe",0.103,0.132,0.088,0.133,0.101,0.06,0.017,0.038,0.411
"P31","Muy buena",0.304,0.08,0.107,0.067,0.166,0.049,0.014,0.051,0.089
"P31","Buena",0.173,0.19,0.138,0.112,0.087,0.05,0.008,0,0.063
"P31","Ni buena ni mala",0.233,0.423,0.338,0.314,0.328,0.256,0.41,0.151,0.314
"P31","Mala",0.055,0.069,0.052,0.091,0.082,0.163,0.168,0.052,0.044
"P31","Muy mala",0.023,0.03,0.123,0.117,0.041,0.188,0.103,0.45,0.051
"P31","No sabe",0.212,0.208,0.242,0.299,0.296,0.294,0.297,0.296,0.439
"P32","Muy buena",0.175,0.026,0.069,0.228,0.197,0.207,0,0,0.079
"P32","Buena",0.049,0.092,0.125,0.223,0.19,0.148,0.006,0,0.023
"P32","Ni buena ni mala",0.249,0.334,0.295,0.286,0.348,0.239,0.262,0.494,0.337
"P32","Mala",0.208,0.211,0.156,0.064,0.087,0.087,0.219,0.12,0.052
"P32","Muy mala",0.188,0.133,0.183,0.07,0.02,0.041,0.255,0.175,0.113
"P32","No sabe",0.131,0.204,0.172,0.129,0.158,0.278,0.258,0.211,0.396
"P33","Muy buena",0.117,0.104,0.087,0.062,0.09,0.041,0,0.366,0.07
"P33","Buena",0.107,0.34,0.182,0.05,0.088,0.071,0.017,0.103,0.017
"P33","Ni buena ni mala",0.311,0.232,0.268,0.299,0.347,0.221,0.361,0.137,0.31
"P33","Mala",0.155,0.044,0.097,0.126,0.136,0.164,0.146,0.052,0.058
"P33","Muy mala",0.082,0.025,0.134,0.179,0.1,0.311,0.242,0,0.119
"P33","No sabe",0.228,0.255,0.232,0.284,0.239,0.192,0.234,0.342,0.426
"P34","Muy buena",0.147,0.105,0.081,0.583,0.348,0.453,0.014,0,0.118
"P34","Buena",0.085,0.129,0.174,0.109,0.292,0.157,0.092,0.303,0.037
"P34","Ni buena ni mala",0.255,0.212,0.183,0.075,0.198,0.234,0.286,0.113,0.331
"P34","Mala",0.177,0.21,0.183,0.07,0.078,0.019,0.263,0.15,0.068
"P34","Muy mala",0.28,0.242,0.293,0.123,0.039,0.038,0.267,0.434,0.242
"P34","No sabe",0.056,0.102,0.086,0.04,0.045,0.099,0.078,0,0.204
"P35","Muy buena",0.209,0.109,0.366,0.101,0.133,0.104,0.061,0,0.043
"P35","Buena",0.136,0.213,0.311,0.05,0.098,0.142,0.14,0.106,0.045
"P35","Ni buena ni mala",0.322,0.34,0.129,0.255,0.372,0.159,0.276,0.5,0.38
"P35","Mala",0.112,0.098,0.005,0.172,0.218,0.156,0.159,0,0.045
"P35","Muy mala",0.102,0.082,0.118,0.255,0.082,0.334,0.23,0.122,0.179
"P35","No sabe",0.119,0.158,0.071,0.167,0.097,0.105,0.134,0.272,0.308
"P36","Muy buena",0.118,0.09,0.055,0.094,0.183,0.067,0.06,0,0.042
"P36","Buena",0.064,0.07,0.168,0.077,0.138,0.116,0.12,0,0.01
"P36","Ni buena ni mala",0.383,0.407,0.347,0.384,0.312,0.389,0.216,0.249,0.317
"P36","Mala",0.189,0.061,0.168,0.105,0.118,0.079,0.162,0.052,0.063
"P36","Muy mala",0.068,0.064,0.051,0.099,0.047,0.143,0.246,0.067,0.109
"P36","No sabe",0.178,0.308,0.211,0.241,0.202,0.206,0.196,0.632,0.459
"P37","Muy buena",0.107,0.08,0.058,0.059,0.057,0.604,0,0.361,0
"P37","Buena",0.074,0.023,0.157,0.152,0.13,0.128,0.019,0,0.016
"P37","Ni buena ni mala",0.365,0.454,0.341,0.376,0.348,0.145,0.244,0.302,0.284
"P37","Mala",0.104,0.138,0.214,0.089,0.127,0.033,0.251,0,0.016
"P37","Muy mala",0.09,0.068,0.052,0.099,0.05,0.005,0.247,0.068,0.213
"P37","No sabe",0.26,0.237,0.178,0.225,0.288,0.085,0.239,0.269,0.471
"P38","Muy buena",0.162,0.098,0.058,0.276,0.138,0.273,0.006,0,0.024
"P38","Buena",0.083,0.033,0.173,0.226,0.295,0.194,0.041,0,0.039
"P38","Ni buena ni mala",0.168,0.274,0.194,0.216,0.344,0.222,0.208,0.191,0.374
"P38","Mala",0.198,0.327,0.372,0.079,0.081,0.13,0.235,0.562,0.12
"P38","Muy mala",0.269,0.199,0.153,0.09,0.038,0.074,0.363,0.191,0.204
"P38","No sabe",0.12,0.069,0.05,0.113,0.104,0.107,0.147,0.056,0.239
"P39","Que continúe el intendente Fernando Moreira",0.187,0.121,0.071,0.291,0.077,0.101,0.052,0.351,0.02
"P39","Que continúe Fernando Moreira pero con mejoras",0.066,0.036,0.116,0.351,0.364,0.356,0.059,0.197,0.137
"P39","Que cambie Fernando Moreira pero que se mantengan los avances",0.237,0.078,0.109,0.138,0.298,0.283,0.139,0.06,0.321
"P39","Que cambie el intendente Fernando Moreira",0.51,0.765,0.704,0.22,0.261,0.26,0.75,0.392,0.522
"P40","La seguridad",0.127,0.115,0.102,0.147,0.019,0.046,0.059,0,0.007
"P40","El tránsito",0.027,0.045,0.082,0.062,0.134,0.05,0.032,0,0.08
"P40","El arreglo de las calles",0.105,0.045,0.069,0.188,0.351,0.135,0.06,0.057,0.125
"P40","Los parques y espacios públicos",0.247,0.27,0.206,0.245,0.173,0.166,0.273,0.045,0.124
"P40","El sistema de salud",0.022,0.004,0.058,0.061,0.071,0.149,0.001,0,0.02
"P40","La limpieza de las calles",0.03,0.056,0.026,0.025,0.025,0.006,0.017,0,0.031
"P40","El deporte y la cultura",0.106,0.088,0.022,0.09,0.054,0.2,0.066,0.148,0.121
"P40","La luminaria",0.069,0.11,0.082,0.04,0.053,0.023,0.088,0.471,0
"P40","No sabe",0.267,0.267,0.353,0.142,0.12,0.225,0.404,0.279,0.492
"P41","La seguridad",0.633,0.636,0.611,0.433,0.697,0.452,0.586,0.297,0.525
"P41","El tránsito",0.027,0.09,0.101,0.063,0.063,0.085,0.036,0,0.021
"P41","El arreglo de las calles",0.093,0.056,0.105,0.096,0.082,0.129,0.028,0.163,0.072
"P41","Los parques y espacios públicos",0.015,0.051,0.026,0.063,0,0.025,0.045,0.045,0.009
"P41","El sistema de salud",0.108,0.006,0.045,0.085,0.059,0.04,0.104,0.054,0.061
"P41","La limpieza de las calles",0.04,0.076,0,0.064,0.026,0.032,0.004,0,0.013
"P41","El deporte y la cultura",0.038,0,0.045,0.017,0,0.075,0.011,0.356,0.1
"P41","La luminaria",0,0.009,0,0.018,0.023,0,0,0,0
"P41","No sabe",0.046,0.076,0.067,0.161,0.05,0.162,0.186,0.085,0.199
"P42","Agua corriente y cloacas",0.404,0.292,0.448,0.334,0.533,0.472,0.38,0.201,0.278
"P42","Energía eléctrica",0.126,0.248,0.188,0.211,0.11,0.078,0.161,0.167,0.13
"P42","Red de gas natural",0.013,0.031,0.009,0.056,0.081,0.064,0,0.121,0.097
"P42","Recolección de residuos",0.161,0.22,0.108,0.111,0.105,0.183,0.164,0.403,0.235
"P42","Ninguno",0.296,0.209,0.247,0.288,0.171,0.203,0.295,0.108,0.26
"P43","Los robos",0.309,0.374,0.332,0.279,0.441,0.353,0.29,0.045,0.403
"P43","El narcotráfico",0.279,0.347,0.285,0.283,0.277,0.383,0.423,0.191,0.335
"P43","La ausencia de patrulleros y personal policial",0.282,0.124,0.211,0.207,0.196,0.231,0.183,0.309,0.073
"P43","Otro",0.082,0.065,0.022,0.1,0.063,0.033,0.075,0.455,0.153
"P43","Ninguno",0.048,0.09,0.15,0.131,0.023,0,0.029,0,0.036
