"var","categoria","En Juntos por el Cambio, a Mauricio Macri presidente con Cristian Ritondo de gobernador","En Juntos por el Cambio, a Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador","En Juntos por el Cambio, a Patricia Bullrich presidenta con Joaquín De La Torre de gobernador","En el Frente de Todos, a Alberto Fernández presidente con Victoria Tolosa paz de gobernadora","En el Frente de Todos, a Sergio Massa presidente con Axel Kicillof de gobernador","Por los liberales, a Javier Milei presidente con Carolina Píparo de gobernadora","Solo como gobernador a José Luis Espert","A los candidatos a presidente y gobernador del Frente de Izquierda","No sabe"
"P19","No sabe",0.222,0.234,0.214,0.443,0.298,0.392,0.313,0.377,0.558
"P20","Lo votaría",0.086,0.155,0.044,0.308,0.38,0.074,0.142,0.081,0.201
"P20","Puede que lo vote",0.16,0.206,0.155,0.152,0.208,0.005,0.143,0.226,0.117
"P20","Nunca lo votaría",0.523,0.466,0.58,0.239,0.182,0.664,0.55,0.416,0.265
"P20","No sabe",0.231,0.173,0.221,0.301,0.23,0.257,0.165,0.277,0.417
"P21","Lo votaría",0.31,0.248,0.225,0.108,0.069,0.056,0.08,0,0.039
"P21","Puede que lo vote",0.194,0.236,0.283,0.061,0.127,0.145,0.024,0.127,0.107
"P21","Nunca lo votaría",0.258,0.26,0.333,0.398,0.551,0.526,0.576,0.561,0.37
"P21","No sabe",0.238,0.256,0.159,0.433,0.253,0.273,0.32,0.312,0.484
"P22","Lo votaría",0.094,0.238,0.091,0.499,0.65,0.17,0.142,0.171,0.288
"P22","Puede que lo vote",0.172,0.161,0.092,0.075,0.182,0.156,0.143,0.2,0.096
"P22","Nunca lo votaría",0.568,0.487,0.683,0.191,0.144,0.618,0.691,0.44,0.223
"P22","No sabe",0.166,0.114,0.134,0.235,0.024,0.056,0.024,0.189,0.393
"P23","Lo votaría",0.269,0.283,0.169,0.092,0.068,0.043,0.038,0.017,0.01
"P23","Puede que lo vote",0.289,0.314,0.26,0.178,0.119,0.175,0.251,0.164,0.014
"P23","Nunca lo votaría",0.24,0.217,0.364,0.379,0.582,0.612,0.397,0.611,0.376
"P23","No sabe",0.202,0.186,0.207,0.351,0.231,0.17,0.314,0.208,0.6
"P24","Lo votaría",0.052,0.088,0.066,0.12,0.171,0.105,0,0,0.046
"P24","Puede que lo vote",0.183,0.255,0.162,0.219,0.225,0.059,0,0.3,0.024
"P24","Nunca lo votaría",0.46,0.402,0.501,0.317,0.353,0.608,0.7,0.407,0.343
"P24","No sabe",0.305,0.255,0.271,0.344,0.251,0.228,0.3,0.293,0.587
"P25","Lo votaría",0.022,0.052,0.024,0.107,0.257,0.043,0,0.226,0.02
"P25","Puede que lo vote",0.107,0.167,0.038,0.248,0.174,0.105,0,0.158,0.062
"P25","Nunca lo votaría",0.613,0.503,0.634,0.315,0.321,0.417,0.731,0.346,0.318
"P25","No sabe",0.258,0.278,0.304,0.33,0.248,0.435,0.269,0.27,0.6
"P26","En Juntos por el Cambio, a Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador",0.53,0.507,0.082,0.029,0.086,0.041,0.051,0.067,0.075
"P26","En Juntos por el Cambio, a Patricia Bullrich presidenta con Joaquín De La Torre de gobernador",0.328,0.392,0.525,0.014,0.07,0.112,0.017,0,0.116
"P26","En el Frente de Todos, a Alberto Fernández presidente con Victoria Tolosa paz de gobernadora",0.067,0.038,0.171,0.716,0.078,0.047,0.167,0.019,0.046
"P26","En el Frente de Todos, a Sergio Massa presidente con Axel Kicillof de gobernador",0.072,0.047,0.123,0.169,0.697,0.062,0,0.012,0.13
"P26","Por los liberales, a  Javier Milei presidente con Carolina Píparo de gobernadora",0.003,0.004,0.068,0.003,0.047,0.653,0.142,0,0
"P26","Solo como gobernador a José Luis Espert",0,0.003,0.007,0.01,0,0.031,0.465,0,0
"P26","A los candidatos a presidente y gobernador del Frente de Izquierda",0,0,0,0.003,0,0,0.016,0.351,0
