"var","categoria","A Andrés Petrillo por Juntos por el Cambio","A Fernando Moreira por el Frente de Todos","Al candidato de los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P06","En juntos por el Cambio, a Santiago López Medrano con el apoyo de María Eugenía Vidal",0.326,0.032,0.081,0.082,0.071
"P06","En Juntos por el cambio, A Andrés Petrillo con el apoyo de Jorge Macri",0.319,0.06,0.095,0.008,0.1
"P06","En juntos por el Cambio,a Mauricio D’alessandro",0.122,0.012,0.052,0.12,0.051
"P06","En el frente de todos, a Gabriel Katopodis con el apoyo de Alberto Fernández",0.057,0.617,0.058,0.204,0.296
"P06","En el frente de todos, a Juan Esleiman con el apoyo de Sergio Massa",0.03,0.128,0.057,0.068,0.098
"P06","En el frente de todos, a Leonardo Grosso",0.024,0.09,0.007,0.1,0.032
"P06","Al candidato de Javier Milei",0.057,0.021,0.574,0.126,0.072
"P06","Al Candidato de la izquierda",0.006,0.006,0.004,0.188,0.006
"P06","No sabe",0.059,0.034,0.072,0.104,0.274
"P08","En Juntos por el Cambio, a Santiago López Medrano con el apoyo de María Eugenía Vidal",0.321,0.113,0.077,0.076,0.115
"P08","En Juntos por el Cambio, a Andrés Petrillo con el apoyo de Jorge Macri",0.334,0.032,0.062,0.073,0.042
"P08","En Juntos por el Cambio, a Mauricio D’alessandro",0.109,0.042,0.057,0,0.053
"P08","En el Frente de Todos, a Fernando Moreira con el apoyo de Alberto Fernández",0.077,0.499,0.059,0.209,0.187
"P08","En el Frente de Todos, a Juan Esleiman con el apoyo de Sergio Massa",0.042,0.127,0.022,0.077,0.096
"P08","En el Frente de Todos, a Leonardo Grosso",0.052,0.139,0.006,0.175,0.051
"P08","Al candidato de Javier Milei",0.022,0.016,0.632,0.165,0.084
"P08","Al Candidato del Frente de Izquierda",0.008,0,0.007,0.179,0.003
"P08","No sabe",0.035,0.032,0.078,0.046,0.369
"P10","A Santiago López Medrano por Juntos por el Cambio",0.656,0.11,0.131,0.019,0.185
"P10","A Gabriel Katopodis por el Frente de Todos",0.154,0.768,0.038,0.321,0.227
"P10","Al candidato de los liberales libertarios",0.059,0.025,0.744,0.011,0.03
"P10","Al candidato del Frente de Izquierda",0.038,0.034,0.011,0.53,0.043
"P10","No sabe",0.093,0.063,0.076,0.119,0.515
"P12","A Santiago López Medrano por Juntos por el Cambio",0.72,0.112,0.068,0.102,0.152
"P12","A Fernando Moreira por el Frente de Todos",0.125,0.768,0.041,0.161,0.073
"P12","Al candidato de los liberales libertarios",0.066,0.003,0.808,0.011,0.028
"P12","Al candidato del Frente de Izquierda",0.011,0.019,0.011,0.512,0.051
"P12","No sabe",0.078,0.098,0.072,0.214,0.696
"P14","A Santiago López Medrano por Juntos por el Cambio",0.757,0.147,0.089,0.032,0.14
"P14","A Juan Esleiman por el Frente de Todos",0.107,0.595,0.025,0.069,0.114
"P14","Al candidato de los liberales libertarios",0.055,0.02,0.823,0.055,0.032
"P14","Al candidato del Frente de Izquierda",0.007,0.035,0.024,0.71,0.006
"P14","No sabe",0.074,0.203,0.039,0.134,0.708
"P16","A Andrés Petrillo por Juntos por el Cambio",0.788,0.084,0.043,0.123,0.074
"P16","A Gabriel Katopodis por el Frente de Todos",0.104,0.829,0.052,0.274,0.2
"P16","Al candidato de los liberales libertarios",0.021,0.009,0.862,0.043,0.029
"P16","Al candidato del Frente de Izquierda",0.011,0.011,0.006,0.495,0.001
"P16","No sabe",0.076,0.067,0.037,0.065,0.696
"P18","A Andrés Petrillo por Juntos por el Cambio",0.915,0.042,0.065,0.013,0.053
"P18","A Juan Esleiman por el Frente de Todos",0.024,0.755,0.026,0.131,0.094
"P18","Al candidato de los liberales libertarios",0.019,0.013,0.884,0,0.039
"P18","Al candidato del Frente de Izquierda",0,0.023,0.022,0.798,0
"P18","No sabe",0.042,0.167,0.003,0.058,0.814
"P19","Lo votaría",0.322,0.12,0.076,0.189,0.05
"P19","Puede que lo vote",0.26,0.11,0.121,0,0.081
"P19","Nunca lo votaría",0.24,0.479,0.469,0.499,0.335
"P19","No sabe",0.178,0.291,0.334,0.312,0.534
"P20","Lo votaría",0.075,0.455,0.017,0.141,0.104
"P20","Puede que lo vote",0.147,0.244,0.066,0.163,0.066
"P20","Nunca lo votaría",0.591,0.133,0.68,0.501,0.356
"P20","No sabe",0.187,0.168,0.237,0.195,0.474
"P21","Lo votaría",0.35,0.129,0.033,0.174,0.066
"P21","Puede que lo vote",0.286,0.095,0.176,0.024,0.066
"P21","Nunca lo votaría",0.184,0.506,0.489,0.556,0.414
"P21","No sabe",0.18,0.27,0.302,0.246,0.454
"P22","Lo votaría",0.077,0.695,0.031,0.335,0.222
"P22","Puede que lo vote",0.151,0.13,0.102,0.357,0.16
"P22","Nunca lo votaría",0.664,0.105,0.733,0.26,0.323
"P22","No sabe",0.108,0.07,0.134,0.048,0.295
"P23","Lo votaría",0.274,0.135,0.124,0.115,0.077
"P23","Puede que lo vote",0.336,0.129,0.154,0.248,0.1
"P23","Nunca lo votaría",0.194,0.554,0.52,0.539,0.353
"P23","No sabe",0.196,0.182,0.202,0.098,0.47
"P24","Lo votaría",0.049,0.165,0.054,0.228,0.045
"P24","Puede que lo vote",0.19,0.263,0.128,0.162,0.123
"P24","Nunca lo votaría",0.516,0.284,0.578,0.429,0.399
"P24","No sabe",0.245,0.288,0.24,0.181,0.433
"P25","Lo votaría",0.043,0.223,0.024,0.194,0.026
"P25","Puede que lo vote",0.103,0.216,0.083,0.13,0.095
"P25","Nunca lo votaría",0.605,0.312,0.581,0.482,0.377
"P25","No sabe",0.249,0.249,0.312,0.194,0.502
"P26","En Juntos por el Cambio, a Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador",0.34,0.121,0.145,0.107,0.12
"P26","En Juntos por el Cambio, a Patricia Bullrich presidenta con Joaquín De La Torre de gobernador",0.401,0.107,0.182,0.143,0.133
"P26","En el Frente de Todos, a Alberto Fernández presidente con Victoria Tolosa paz de gobernadora",0.078,0.23,0.049,0.098,0.225
"P26","En el Frente de Todos, a Sergio Massa presidente con Axel Kicillof de gobernador",0.074,0.469,0.078,0.324,0.216
"P26","Por los liberales, a  Javier Milei presidente con Carolina Píparo de gobernadora",0.061,0.001,0.427,0,0.057
"P26","Solo como gobernador a José Luis Espert",0.013,0.001,0.073,0,0.009
"P26","A los candidatos a presidente y gobernador del Frente de Izquierda",0,0.017,0,0.204,0.006
"P26","No sabe",0.033,0.054,0.046,0.124,0.234
"P27","En Juntos por el Cambio, a Mauricio Macri presidente con Cristian Ritondo de gobernador",0.299,0.052,0.126,0.075,0.081
"P27","En Juntos por el Cambio, a Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador",0.277,0.082,0.065,0.092,0.122
"P27","En Juntos por el Cambio, a Patricia Bullrich presidenta con Joaquín De La Torre de gobernador",0.257,0.033,0.147,0.177,0.094
"P27","En el Frente de Todos, a Alberto Fernández presidente con Victoria Tolosa paz de gobernadora",0.031,0.224,0.027,0.042,0.217
"P27","En el Frente de Todos, a Sergio Massa presidente con Axel Kicillof de gobernador",0.071,0.545,0.088,0.237,0.154
"P27","Por los liberales, a Javier Milei presidente con Carolina Píparo de gobernadora",0.036,0.004,0.407,0.133,0.057
"P27","Solo como gobernador a José Luis Espert",0.021,0,0.109,0.016,0.02
"P27","A los candidatos a presidente y gobernador del Frente de Izquierda",0,0.024,0.027,0.228,0.067
"P27","No sabe",0.008,0.036,0.004,0,0.188
"P28","A Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador por Juntos por el Cambio",0.518,0.078,0.044,0.113,0.171
"P28","A Sergio Massa presidente con Axel Kicillof de gobernador por el Frente de Todos",0.073,0.672,0.009,0.386,0.245
"P28","A Javier Milei presidente con Carolina Píparo de gobernadora por la Libertad Avanza",0.13,0.031,0.582,0,0.082
"P28","Solo como gobernador a José Luis Espert",0.131,0.025,0.165,0,0.083
"P28","A los candidatos a presidente y gobernador del Frente de Izquierda",0.043,0.096,0.011,0.36,0.039
"P28","No sabe",0.105,0.098,0.189,0.141,0.38
"P29","A Patricia Bullrich presidenta con Joaquín De La Torre de gobernador por Juntos por el Cambio",0.766,0.077,0.14,0.108,0.175
"P29","A Sergio Massa presidente con Axel Kicillof de gobernador por el Frente de Todos",0.049,0.783,0.01,0.502,0.273
