"var","categoria","La seguridad","El tránsito","El arreglo de las calles","Los parques y espacios públicos","El sistema de salud","La limpieza de las calles","El deporte y la cultura","La luminaria","No sabe"
"P06","En juntos por el Cambio, a Santiago López Medrano con el apoyo de María Eugenía Vidal",0.068,0.03,0.065,0.187,0,0.199,0.085,0.157,0.13
"P06","En Juntos por el cambio, A Andrés Petrillo con el apoyo de Jorge Macri",0.211,0.063,0.159,0.167,0.032,0.102,0.2,0.287,0.167
"P06","En juntos por el Cambio,a Mauricio D’alessandro",0.011,0.047,0.024,0.065,0,0.072,0,0.093,0.095
"P06","En el frente de todos, a Gabriel Katopodis con el apoyo de Alberto Fernández",0.471,0.405,0.471,0.335,0.341,0.285,0.417,0.075,0.194
"P06","En el frente de todos, a Juan Esleiman con el apoyo de Sergio Massa",0.104,0.235,0.096,0.05,0.208,0.073,0.035,0.117,0.053
"P06","En el frente de todos, a Leonardo Grosso",0.054,0.06,0.057,0.045,0.246,0.018,0.116,0.055,0.036
"P06","Al candidato de Javier Milei",0.045,0.056,0.037,0.085,0.003,0.137,0.06,0.123,0.191
"P06","Al Candidato de la izquierda",0,0,0.005,0.006,0.072,0.047,0.028,0.061,0.007
"P06","No sabe",0.036,0.104,0.086,0.06,0.098,0.067,0.059,0.032,0.127
"P08","En Juntos por el Cambio, a Santiago López Medrano con el apoyo de María Eugenía Vidal",0.218,0.075,0.126,0.179,0.079,0.175,0.181,0.178,0.169
"P08","En Juntos por el Cambio, a Andrés Petrillo con el apoyo de Jorge Macri",0.163,0.103,0.045,0.162,0.011,0.272,0.124,0.233,0.139
"P08","En Juntos por el Cambio, a Mauricio D’alessandro",0.079,0.104,0.038,0.068,0.095,0.071,0.017,0.096,0.101
"P08","En el Frente de Todos, a Fernando Moreira con el apoyo de Alberto Fernández",0.41,0.281,0.364,0.289,0.353,0.236,0.251,0.169,0.146
"P08","En el Frente de Todos, a Juan Esleiman con el apoyo de Sergio Massa",0.017,0.19,0.213,0.064,0.13,0.073,0.047,0.069,0.039
"P08","En el Frente de Todos, a Leonardo Grosso",0.043,0.078,0.088,0.066,0.292,0.019,0.187,0.033,0.078
"P08","Al candidato de Javier Milei",0.064,0.056,0.045,0.125,0.003,0.061,0.071,0.142,0.16
"P08","Al Candidato del Frente de Izquierda",0,0,0.005,0.002,0,0,0.017,0.08,0.011
"P08","No sabe",0.006,0.113,0.076,0.045,0.037,0.093,0.105,0,0.157
"P10","A Santiago López Medrano por Juntos por el Cambio",0.204,0.153,0.252,0.323,0.057,0.306,0.175,0.482,0.369
"P10","A Gabriel Katopodis por el Frente de Todos",0.643,0.469,0.611,0.337,0.764,0.276,0.552,0.119,0.214
"P10","Al candidato de los liberales libertarios",0.034,0.168,0.037,0.157,0.106,0.181,0.149,0.138,0.198
"P10","Al candidato del Frente de Izquierda",0.047,0.06,0.018,0.037,0.04,0.099,0.033,0.104,0.031
"P10","No sabe",0.072,0.15,0.082,0.146,0.033,0.138,0.091,0.157,0.188
"P12","A Santiago López Medrano por Juntos por el Cambio",0.469,0.095,0.245,0.316,0.14,0.205,0.159,0.416,0.385
"P12","A Fernando Moreira por el Frente de Todos",0.307,0.561,0.578,0.338,0.703,0.276,0.585,0.144,0.16
"P12","Al candidato de los liberales libertarios",0.029,0.064,0.044,0.162,0.003,0.163,0.102,0.157,0.178
"P12","Al candidato del Frente de Izquierda",0.005,0.104,0.008,0.014,0.028,0,0.021,0.093,0.015
"P12","No sabe",0.19,0.176,0.125,0.17,0.126,0.356,0.133,0.19,0.262
"P14","A Santiago López Medrano por Juntos por el Cambio",0.224,0.188,0.215,0.371,0.035,0.247,0.227,0.413,0.378
"P14","A Juan Esleiman por el Frente de Todos",0.578,0.351,0.445,0.262,0.727,0.186,0.329,0.202,0.155
"P14","Al candidato de los liberales libertarios",0.029,0.064,0.088,0.138,0.003,0.162,0.053,0.218,0.196
"P14","Al candidato del Frente de Izquierda",0,0.164,0.008,0.04,0.04,0,0.111,0.041,0.017
"P14","No sabe",0.169,0.233,0.244,0.189,0.195,0.405,0.28,0.126,0.254
"P16","A Andrés Petrillo por Juntos por el Cambio",0.312,0.32,0.225,0.294,0.115,0.218,0.178,0.523,0.285
"P16","A Gabriel Katopodis por el Frente de Todos",0.585,0.41,0.559,0.429,0.733,0.452,0.614,0.193,0.256
"P16","Al candidato de los liberales libertarios",0.029,0.064,0.082,0.153,0.003,0.191,0.101,0.196,0.177
"P16","Al candidato del Frente de Izquierda",0,0,0.004,0.018,0.01,0,0.025,0.021,0.015
"P16","No sabe",0.074,0.206,0.13,0.106,0.139,0.139,0.082,0.067,0.267
"P17","A Andrés Petrillo por Juntos por el Cambio",0.395,0.143,0.233,0.328,0.011,0.287,0.186,0.499,0.32
"P17","A Fernando Moreira por el Frente de Todos",0.477,0.626,0.565,0.317,0.91,0.332,0.591,0.206,0.153
"P17","Al candidato de los liberales libertarios",0.029,0.064,0.062,0.194,0.003,0.163,0.101,0.185,0.194
"P17","Al candidato del Frente de Izquierda",0.019,0.062,0.012,0.018,0.011,0.041,0.036,0.032,0.02
"P17","No sabe",0.08,0.105,0.128,0.143,0.065,0.177,0.086,0.078,0.313
"P18","A Andrés Petrillo por Juntos por el Cambio",0.374,0.143,0.198,0.323,0.028,0.263,0.186,0.562,0.335
"P18","A Juan Esleiman por el Frente de Todos",0.431,0.498,0.484,0.299,0.822,0.216,0.376,0.093,0.137
"P18","Al candidato de los liberales libertarios",0.064,0.064,0.051,0.164,0.003,0.163,0.101,0.218,0.195
"P18","Al candidato del Frente de Izquierda",0,0.049,0.008,0.058,0.023,0.041,0.056,0.032,0.025
"P18","No sabe",0.131,0.246,0.259,0.156,0.124,0.317,0.281,0.095,0.308
"P19","Lo votaría",0.224,0.241,0.102,0.109,0.017,0.155,0.053,0.16,0.212
"P19","Puede que lo vote",0.201,0.023,0.146,0.132,0.234,0.065,0.174,0.15,0.151
"P19","Nunca lo votaría",0.391,0.555,0.468,0.428,0.525,0.329,0.592,0.386,0.396
"P19","No sabe",0.184,0.181,0.284,0.331,0.224,0.451,0.181,0.304,0.241
"P20","Lo votaría",0.261,0.259,0.376,0.172,0.407,0.137,0.415,0.076,0.117
"P20","Puede que lo vote",0.259,0.095,0.115,0.205,0.174,0.179,0.191,0.193,0.111
"P20","Nunca lo votaría",0.315,0.302,0.295,0.383,0.12,0.563,0.357,0.625,0.541
"P20","No sabe",0.165,0.344,0.214,0.24,0.299,0.121,0.037,0.106,0.231
"P21","Lo votaría",0.184,0.076,0.227,0.115,0.092,0.331,0.084,0.073,0.184
"P21","Puede que lo vote",0.298,0.009,0.115,0.21,0.046,0.161,0.211,0.192,0.146
"P21","Nunca lo votaría",0.339,0.634,0.385,0.424,0.595,0.308,0.544,0.455,0.414
"P21","No sabe",0.179,0.281,0.273,0.251,0.267,0.2,0.161,0.28,0.256
"P22","Lo votaría",0.47,0.518,0.556,0.345,0.775,0.283,0.49,0.137,0.208
"P22","Puede que lo vote",0.229,0.083,0.08,0.169,0.115,0.103,0.185,0.114,0.1
"P22","Nunca lo votaría",0.212,0.216,0.263,0.38,0.025,0.413,0.288,0.705,0.591
"P22","No sabe",0.089,0.183,0.101,0.106,0.085,0.201,0.037,0.044,0.101
"P23","Lo votaría",0.298,0.147,0.121,0.114,0,0.198,0.041,0.133,0.172
"P23","Puede que lo vote",0.255,0.065,0.112,0.254,0.031,0.217,0.077,0.315,0.196
"P23","Nunca lo votaría",0.294,0.558,0.527,0.391,0.782,0.255,0.743,0.385,0.404
"P23","No sabe",0.153,0.23,0.24,0.241,0.187,0.33,0.139,0.167,0.228
"P24","Lo votaría",0.171,0.19,0.132,0.118,0.089,0.024,0.159,0.141,0.041
"P24","Puede que lo vote",0.178,0.233,0.14,0.249,0.256,0.263,0.243,0.08,0.152
"P24","Nunca lo votaría",0.534,0.31,0.394,0.359,0.5,0.362,0.455,0.485,0.499
"P24","No sabe",0.117,0.267,0.334,0.274,0.155,0.351,0.143,0.294,0.308
"P25","Lo votaría",0.132,0.387,0.11,0.067,0.231,0.018,0.339,0.045,0.056
"P25","Puede que lo vote",0.237,0.049,0.187,0.141,0.132,0.07,0.087,0.293,0.088
"P25","Nunca lo votaría",0.487,0.263,0.406,0.509,0.398,0.493,0.45,0.488,0.521
"P25","No sabe",0.144,0.301,0.297,0.283,0.239,0.419,0.124,0.174,0.335
"P26","En Juntos por el Cambio, a Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador",0.25,0.279,0.102,0.204,0.067,0.159,0.273,0.227,0.14
"P26","En Juntos por el Cambio, a Patricia Bullrich presidenta con Joaquín De La Torre de gobernador",0.119,0.067,0.268,0.239,0.079,0.349,0.182,0.26,0.281
"P26","En el Frente de Todos, a Alberto Fernández presidente con Victoria Tolosa paz de gobernadora",0.252,0.254,0.187,0.172,0.025,0.124,0.029,0.221,0.102
"P26","En el Frente de Todos, a Sergio Massa presidente con Axel Kicillof de gobernador",0.168,0.23,0.389,0.232,0.7,0.231,0.355,0.162,0.198
"P26","Por los liberales, a  Javier Milei presidente con Carolina Píparo de gobernadora",0.077,0.019,0.033,0.086,0.003,0.037,0.055,0.102,0.148
"P26","Solo como gobernador a José Luis Espert",0.019,0,0.008,0.026,0,0,0,0.011,0.03
"P26","A los candidatos a presidente y gobernador del Frente de Izquierda",0,0.104,0.008,0.012,0.011,0.028,0.017,0,0.007
"P26","No sabe",0.115,0.047,0.005,0.029,0.115,0.072,0.089,0.017,0.094
"P27","En Juntos por el Cambio, a Mauricio Macri presidente con Cristian Ritondo de gobernador",0.129,0.104,0.082,0.155,0,0.147,0.092,0.127,0.15
"P27","En Juntos por el Cambio, a Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador",0.151,0.226,0.103,0.181,0.038,0.055,0.108,0.173,0.144
"P27","En Juntos por el Cambio, a Patricia Bullrich presidenta con Joaquín De La Torre de gobernador",0.144,0.089,0.151,0.132,0,0.306,0.077,0.159,0.151
"P27","En el Frente de Todos, a Alberto Fernández presidente con Victoria Tolosa paz de gobernadora",0.109,0.137,0.163,0.113,0.036,0.028,0.064,0.158,0.079
"P27","En el Frente de Todos, a Sergio Massa presidente con Axel Kicillof de gobernador",0.379,0.274,0.397,0.26,0.797,0.331,0.484,0.192,0.167
"P27","Por los liberales, a Javier Milei presidente con Carolina Píparo de gobernadora",0.019,0.019,0.029,0.065,0.033,0.037,0.072,0.163,0.153
"P27","Solo como gobernador a José Luis Espert",0.068,0,0.007,0.035,0,0.024,0,0.011,0.04
"P27","A los candidatos a presidente y gobernador del Frente de Izquierda",0.001,0.151,0.008,0.039,0.011,0,0.017,0,0.047
"P27","No sabe",0,0,0.06,0.02,0.085,0.072,0.086,0.017,0.069
"P28","A Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador por Juntos por el Cambio",0.251,0.285,0.189,0.233,0.106,0.199,0.144,0.397,0.221
"P28","A Sergio Massa presidente con Axel Kicillof de gobernador por el Frente de Todos",0.34,0.485,0.531,0.307,0.699,0.203,0.397,0.103,0.25
"P28","A Javier Milei presidente con Carolina Píparo de gobernadora por la Libertad Avanza",0.084,0.064,0.053,0.196,0.033,0.138,0.066,0.146,0.197
"P28","Solo como gobernador a José Luis Espert",0.111,0,0.079,0.069,0,0.143,0.069,0.173,0.095
"P28","A los candidatos a presidente y gobernador del Frente de Izquierda",0.078,0.069,0.032,0.043,0.096,0.1,0.14,0.142,0.024
"P28","No sabe",0.136,0.097,0.116,0.152,0.066,0.217,0.184,0.039,0.213
"P29","A Patricia Bullrich presidenta con Joaquín De La Torre de gobernador por Juntos por el Cambio",0.359,0.313,0.215,0.388,0.103,0.347,0.21,0.471,0.346
"P29","A Sergio Massa presidente con Axel Kicillof de gobernador por el Frente de Todos",0.359,0.443,0.593,0.315,0.748,0.33,0.502,0.146,0.266
"P29","A Javier Milei presidente con Carolina Píparo de gobernadora por la Libertad Avanza",0.122,0.019,0.06,0.122,0.003,0.138,0.071,0.161,0.175
"P29","Solo como gobernador a José Luis Espert",0,0,0.024,0.067,0,0.066,0.016,0.054,0.04
"P29","A los candidatos a presidente y gobernador del Frente de Izquierda",0,0.02,0.008,0.011,0.096,0,0.017,0.153,0.008
"P29","No sabe",0.16,0.205,0.1,0.097,0.05,0.119,0.184,0.015,0.165
"P30","A Mauricio Macri presidente con Cristian Ritondo de gobernador por Juntos por el Cambio",0.354,0.105,0.133,0.366,0.132,0.242,0.09,0.4,0.393
"P30","A Sergio Massa presidente con Axel Kicillof de gobernador por el Frente de Todos",0.404,0.436,0.599,0.325,0.748,0.33,0.52,0.2,0.229
"P30","A Javier Milei presidente con Carolina Píparo de gobernadora por la Libertad Avanza",0.093,0.16,0.078,0.107,0.003,0.163,0.078,0.235,0.154
"P30","Solo como gobernador a José Luis Espert",0.053,0,0.033,0.086,0,0.146,0.117,0.062,0.074
"P30","A los candidatos a presidente y gobernador del Frente de Izquierda",0,0.104,0.008,0.014,0.096,0,0.016,0.092,0.02
"P30","No sabe",0.096,0.195,0.149,0.102,0.021,0.119,0.179,0.011,0.13
"P31","Muy buena",0.271,0.276,0.078,0.095,0.025,0.018,0.024,0.062,0.095
"P31","Buena",0.144,0.025,0.15,0.11,0.109,0.037,0.088,0.067,0.119
"P31","Ni buena ni mala",0.345,0.397,0.295,0.383,0.168,0.443,0.238,0.443,0.279
"P31","Mala",0.077,0.076,0.073,0.095,0.144,0.041,0.086,0.061,0.122
"P31","Muy mala",0.068,0.147,0.096,0.058,0.189,0.09,0.168,0.187,0.055
"P31","No sabe",0.095,0.079,0.308,0.259,0.365,0.371,0.396,0.18,0.33
"P32","Muy buena",0.255,0.265,0.191,0.083,0.31,0.046,0.289,0.033,0.035
"P32","Buena",0.128,0.248,0.222,0.136,0.25,0.052,0.167,0.074,0.045
"P32","Ni buena ni mala",0.311,0.321,0.289,0.284,0.193,0.432,0.179,0.492,0.259
"P32","Mala",0.113,0.03,0.095,0.136,0.01,0.129,0.13,0.056,0.233
"P32","Muy mala",0.097,0.076,0.048,0.152,0.033,0.057,0.138,0.24,0.156
"P32","No sabe",0.096,0.06,0.155,0.209,0.204,0.284,0.097,0.105,0.272
"P33","Muy buena",0.225,0.202,0.03,0.054,0,0.113,0.098,0.068,0.013
"P33","Buena",0.14,0.153,0.109,0.107,0.067,0.053,0.07,0.183,0.122
"P33","Ni buena ni mala",0.278,0.405,0.321,0.321,0.166,0.357,0.316,0.346,0.265
"P33","Mala",0.127,0.155,0.127,0.111,0.21,0,0.067,0.072,0.137
"P33","Muy mala",0.114,0.019,0.147,0.165,0.321,0.057,0.219,0.159,0.118
"P33","No sabe",0.116,0.066,0.266,0.242,0.236,0.42,0.23,0.172,0.345
"P34","Muy buena",0.404,0.323,0.459,0.244,0.617,0.285,0.425,0.087,0.127
"P34","Buena",0.189,0.131,0.141,0.145,0.066,0.235,0.12,0.083,0.085
"P34","Ni buena ni mala",0.201,0.333,0.172,0.147,0.109,0.15,0.251,0.28,0.205
