"var","categoria","En Juntos por el Cambio, a Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador","En Juntos por el Cambio, a Patricia Bullrich presidenta con Joaquín De La Torre de gobernador","En el Frente de Todos, a Alberto Fernández presidente con Victoria Tolosa paz de gobernadora","En el Frente de Todos, a Sergio Massa presidente con Axel Kicillof de gobernador","Por los liberales, a  Javier Milei presidente con Carolina Píparo de gobernadora","Solo como gobernador a José Luis Espert","A los candidatos a presidente y gobernador del Frente de Izquierda","No sabe"
"P06","En juntos por el Cambio, a Santiago López Medrano con el apoyo de María Eugenía Vidal",0.204,0.223,0.09,0.031,0.004,0,0.059,0.08
"P06","En Juntos por el cambio, A Andrés Petrillo con el apoyo de Jorge Macri",0.289,0.239,0.116,0.053,0.163,0.091,0,0.137
"P06","En juntos por el Cambio,a Mauricio D’alessandro",0.051,0.116,0.04,0.027,0.097,0.021,0,0.006
"P06","En el frente de todos, a Gabriel Katopodis con el apoyo de Alberto Fernández",0.216,0.162,0.534,0.527,0.086,0.246,0.474,0.236
"P06","En el frente de todos, a Juan Esleiman con el apoyo de Sergio Massa",0.047,0.037,0.148,0.155,0.018,0,0,0.092
"P06","En el frente de todos, a Leonardo Grosso",0.041,0.051,0.02,0.138,0,0,0.096,0.043
"P06","Al candidato de Javier Milei",0.026,0.092,0.017,0.011,0.601,0.642,0,0
"P06","Al Candidato de la izquierda",0.002,0,0.014,0.015,0,0,0.19,0.059
"P06","No sabe",0.124,0.08,0.021,0.043,0.031,0,0.181,0.347
"P08","En Juntos por el Cambio, a Santiago López Medrano con el apoyo de María Eugenía Vidal",0.313,0.224,0.122,0.059,0,0.064,0,0.079
"P08","En Juntos por el Cambio, a Andrés Petrillo con el apoyo de Jorge Macri",0.265,0.206,0.068,0.067,0.083,0.027,0,0.067
"P08","En Juntos por el Cambio, a Mauricio D’alessandro",0.074,0.112,0.05,0.036,0.105,0.021,0.432,0.031
"P08","En el Frente de Todos, a Fernando Moreira con el apoyo de Alberto Fernández",0.07,0.172,0.502,0.408,0.099,0.153,0.199,0.289
"P08","En el Frente de Todos, a Juan Esleiman con el apoyo de Sergio Massa",0.07,0.065,0.076,0.148,0.018,0,0,0.011
"P08","En el Frente de Todos, a Leonardo Grosso",0.051,0.07,0.063,0.207,0,0,0.123,0.086
"P08","Al candidato de Javier Milei",0.036,0.075,0.017,0.028,0.65,0.704,0,0.009
"P08","Al Candidato del Frente de Izquierda",0.007,0,0.017,0.005,0,0,0.163,0.036
"P08","No sabe",0.114,0.076,0.085,0.042,0.045,0.031,0.083,0.392
"P10","A Santiago López Medrano por Juntos por el Cambio",0.423,0.5,0.259,0.103,0.133,0.064,0,0.149
"P10","A Gabriel Katopodis por el Frente de Todos",0.312,0.21,0.492,0.732,0.125,0.124,0.217,0.363
"P10","Al candidato de los liberales libertarios",0.096,0.087,0.017,0.029,0.653,0.781,0.432,0.063
"P10","Al candidato del Frente de Izquierda",0.023,0.039,0.074,0.036,0,0,0.268,0.043
"P10","No sabe",0.146,0.164,0.158,0.1,0.089,0.031,0.083,0.382
"P12","A Santiago López Medrano por Juntos por el Cambio",0.481,0.527,0.225,0.124,0.029,0.085,0,0.159
"P12","A Fernando Moreira por el Frente de Todos",0.227,0.203,0.457,0.684,0.099,0.118,0.16,0.234
"P12","Al candidato de los liberales libertarios",0.069,0.104,0.038,0.027,0.738,0.666,0,0.059
"P12","Al candidato del Frente de Izquierda",0.009,0.006,0.033,0.017,0,0,0.757,0.042
"P12","No sabe",0.214,0.16,0.247,0.148,0.134,0.131,0.083,0.506
"P14","A Santiago López Medrano por Juntos por el Cambio",0.541,0.503,0.251,0.115,0.029,0.211,0,0.154
"P14","A Juan Esleiman por el Frente de Todos",0.184,0.192,0.438,0.54,0.094,0,0.042,0.122
"P14","Al candidato de los liberales libertarios",0.067,0.118,0.054,0.04,0.698,0.665,0,0.059
"P14","Al candidato del Frente de Izquierda",0.006,0.016,0.019,0.045,0.039,0,0.875,0.036
"P14","No sabe",0.202,0.171,0.238,0.26,0.14,0.124,0.083,0.629
"P16","A Andrés Petrillo por Juntos por el Cambio",0.505,0.522,0.128,0.086,0.133,0.202,0,0.186
"P16","A Gabriel Katopodis por el Frente de Todos",0.272,0.215,0.639,0.725,0.112,0.124,0.649,0.23
"P16","Al candidato de los liberales libertarios",0.087,0.097,0.032,0.042,0.618,0.674,0,0.059
"P16","Al candidato del Frente de Izquierda",0.006,0.003,0,0.024,0,0,0.268,0.036
"P16","No sabe",0.13,0.163,0.201,0.123,0.137,0,0.083,0.489
"P17","A Andrés Petrillo por Juntos por el Cambio",0.503,0.538,0.127,0.076,0.21,0.238,0,0.107
"P17","A Fernando Moreira por el Frente de Todos",0.264,0.212,0.561,0.705,0.007,0.027,0.533,0.257
"P17","Al candidato de los liberales libertarios",0.094,0.107,0.035,0.034,0.645,0.607,0,0.065
"P17","Al candidato del Frente de Izquierda",0.014,0.017,0.015,0.03,0,0,0.384,0.036
"P17","No sabe",0.125,0.126,0.262,0.155,0.138,0.128,0.083,0.535
"P18","A Andrés Petrillo por Juntos por el Cambio",0.553,0.538,0.202,0.073,0.162,0.147,0,0.043
"P18","A Juan Esleiman por el Frente de Todos",0.225,0.203,0.374,0.614,0.041,0.096,0.474,0.121
"P18","Al candidato de los liberales libertarios",0.07,0.097,0.066,0.035,0.612,0.698,0,0.133
"P18","Al candidato del Frente de Izquierda",0.012,0.015,0.027,0.039,0,0,0.443,0.036
"P18","No sabe",0.14,0.147,0.331,0.239,0.185,0.059,0.083,0.667
"P19","Lo votaría",0.213,0.286,0.11,0.061,0.117,0.021,0,0.067
"P19","Puede que lo vote",0.203,0.212,0.065,0.094,0.1,0.192,0.083,0.095
"P19","Nunca lo votaría",0.358,0.249,0.489,0.528,0.453,0.388,0.818,0.289
"P19","No sabe",0.226,0.253,0.336,0.317,0.33,0.399,0.099,0.549
"P20","Lo votaría",0.155,0.106,0.289,0.364,0.055,0.092,0.101,0.173
"P20","Puede que lo vote",0.183,0.142,0.161,0.24,0.018,0.207,0.157,0.108
"P20","Nunca lo votaría",0.459,0.548,0.317,0.179,0.658,0.52,0.659,0.237
"P20","No sabe",0.203,0.204,0.233,0.217,0.269,0.181,0.083,0.482
"P21","Lo votaría",0.207,0.331,0.113,0.067,0.106,0.138,0,0.002
"P21","Puede que lo vote",0.261,0.204,0.071,0.107,0.214,0.1,0,0.116
"P21","Nunca lo votaría",0.33,0.215,0.475,0.551,0.528,0.353,0.818,0.34
"P21","No sabe",0.202,0.25,0.341,0.275,0.152,0.409,0.182,0.542
"P22","Lo votaría",0.205,0.176,0.509,0.619,0.118,0.124,0.118,0.238
"P22","Puede que lo vote",0.206,0.128,0.043,0.178,0.099,0.297,0.28,0.124
"P22","Nunca lo votaría",0.481,0.581,0.297,0.134,0.71,0.579,0.602,0.243
"P22","No sabe",0.108,0.115,0.151,0.069,0.073,0,0,0.395
"P23","Lo votaría",0.234,0.223,0.151,0.038,0.202,0.056,0,0.013
"P23","Puede que lo vote",0.303,0.249,0.183,0.132,0.092,0.408,0.157,0.135
"P23","Nunca lo votaría",0.282,0.294,0.432,0.588,0.496,0.317,0.718,0.334
"P23","No sabe",0.181,0.234,0.234,0.242,0.21,0.219,0.125,0.518
"P24","Lo votaría",0.112,0.068,0.134,0.138,0.058,0,0,0.01
"P24","Puede que lo vote",0.187,0.195,0.192,0.296,0.067,0.09,0.432,0.069
"P24","Nunca lo votaría",0.46,0.44,0.442,0.278,0.721,0.44,0.386,0.263
"P24","No sabe",0.241,0.297,0.232,0.288,0.154,0.47,0.182,0.658
"P25","Lo votaría",0.132,0.048,0.086,0.204,0.045,0,0.528,0.048
"P25","Puede que lo vote",0.112,0.156,0.178,0.182,0.058,0.118,0.116,0.103
"P25","Nunca lo votaría",0.527,0.482,0.511,0.298,0.64,0.45,0.231,0.269
"P25","No sabe",0.229,0.314,0.225,0.316,0.257,0.432,0.125,0.58
"P27","En Juntos por el Cambio, a Mauricio Macri presidente con Cristian Ritondo de gobernador",0.373,0.22,0.053,0.037,0.006,0,0,0
"P27","En Juntos por el Cambio, a Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador",0.373,0.275,0.032,0.025,0.007,0.025,0,0.017
"P27","En Juntos por el Cambio, a Patricia Bullrich presidenta con Joaquín De La Torre de gobernador",0.053,0.323,0.125,0.058,0.111,0.056,0,0.04
"P27","En el Frente de Todos, a Alberto Fernández presidente con Victoria Tolosa paz de gobernadora",0.022,0.01,0.6,0.091,0.005,0.088,0.043,0.105
"P27","En el Frente de Todos, a Sergio Massa presidente con Axel Kicillof de gobernador",0.126,0.098,0.129,0.744,0.173,0,0,0.08
"P27","Por los liberales, a Javier Milei presidente con Carolina Píparo de gobernadora",0.016,0.042,0.021,0.018,0.654,0.145,0,0.054
"P27","Solo como gobernador a José Luis Espert",0.006,0.002,0.023,0,0.044,0.686,0.032,0.044
"P27","A los candidatos a presidente y gobernador del Frente de Izquierda",0.011,0,0.003,0.001,0,0,0.925,0.225
"P27","No sabe",0.02,0.03,0.014,0.026,0,0,0,0.435
"P28","A Horacio Rodríguez Larreta presidente con Diego Santilli de gobernador por Juntos por el Cambio",0.482,0.312,0.146,0.077,0.007,0,0.425,0.103
"P28","A Sergio Massa presidente con Axel Kicillof de gobernador por el Frente de Todos",0.144,0.161,0.416,0.753,0.006,0.093,0,0.127
"P28","A Javier Milei presidente con Carolina Píparo de gobernadora por la Libertad Avanza",0.118,0.091,0.066,0.044,0.889,0.223,0,0.011
"P28","Solo como gobernador a José Luis Espert",0.063,0.153,0.065,0.021,0.051,0.656,0,0.105
"P28","A los candidatos a presidente y gobernador del Frente de Izquierda",0.074,0.05,0.129,0.036,0,0,0.488,0.098
"P28","No sabe",0.119,0.233,0.178,0.069,0.047,0.028,0.087,0.556
"P29","A Patricia Bullrich presidenta con Joaquín De La Torre de gobernador por Juntos por el Cambio",0.462,0.702,0.169,0.076,0,0.083,0.436,0.085
"P29","A Sergio Massa presidente con Axel Kicillof de gobernador por el Frente de Todos",0.172,0.161,0.556,0.834,0.006,0,0.102,0.119
"P29","A Javier Milei presidente con Carolina Píparo de gobernadora por la Libertad Avanza",0.099,0.039,0.042,0.018,0.908,0.414,0,0.011
"P29","Solo como gobernador a José Luis Espert",0.042,0.037,0.033,0.004,0.022,0.503,0,0
"P29","A los candidatos a presidente y gobernador del Frente de Izquierda",0.025,0.005,0.026,0.015,0,0,0.462,0.089
"P29","No sabe",0.2,0.056,0.174,0.053,0.064,0,0,0.696
"P30","A Mauricio Macri presidente con Cristian Ritondo de gobernador por Juntos por el Cambio",0.423,0.589,0.2,0.073,0.006,0.213,0,0.156
"P30","A Sergio Massa presidente con Axel Kicillof de gobernador por el Frente de Todos",0.202,0.17,0.453,0.835,0.006,0,0.05,0.122
"P30","A Javier Milei presidente con Carolina Píparo de gobernadora por la Libertad Avanza",0.116,0.056,0.067,0.018,0.916,0.31,0,0.012
"P30","Solo como gobernador a José Luis Espert",0.074,0.109,0.081,0.014,0.072,0.477,0,0.075
"P30","A los candidatos a presidente y gobernador del Frente de Izquierda",0.016,0,0.004,0.017,0,0,0.95,0.095
"P30","No sabe",0.169,0.076,0.195,0.043,0,0,0,0.54
"P31","Muy buena",0.207,0.182,0.096,0.033,0,0,0,0.129
"P31","Buena",0.091,0.225,0.068,0.105,0,0,0,0.097
"P31","Ni buena ni mala",0.425,0.32,0.351,0.241,0.485,0.354,0.032,0.152
"P31","Mala",0.02,0.09,0.172,0.094,0.105,0.282,0.089,0.011
"P31","Muy mala",0.034,0.01,0.094,0.151,0.103,0.081,0.684,0.085
"P31","No sabe",0.223,0.173,0.219,0.376,0.307,0.283,0.195,0.526
"P32","Muy buena",0.173,0.091,0.122,0.219,0.008,0,0.049,0.116
"P32","Buena",0.056,0.102,0.105,0.22,0,0.107,0.447,0.084
"P32","Ni buena ni mala",0.377,0.261,0.353,0.24,0.238,0.271,0.237,0.29
"P32","Mala",0.14,0.252,0.085,0.035,0.229,0.156,0.192,0.081
"P32","Muy mala",0.127,0.142,0.158,0.045,0.256,0.218,0,0.098
"P32","No sabe",0.127,0.152,0.177,0.241,0.269,0.248,0.075,0.331
"P33","Muy buena",0.141,0.108,0.094,0.026,0.018,0,0,0.048
"P33","Buena",0.182,0.172,0.068,0.064,0.019,0,0.445,0.018
"P33","Ni buena ni mala",0.327,0.297,0.353,0.24,0.345,0.543,0.1,0.16
"P33","Mala",0.089,0.142,0.069,0.159,0.133,0.049,0.09,0.059
"P33","Muy mala",0.058,0.063,0.189,0.188,0.275,0.123,0.032,0.246
"P33","No sabe",0.203,0.218,0.227,0.323,0.21,0.285,0.333,0.469
"P34","Muy buena",0.176,0.129,0.405,0.507,0.059,0,0.119,0.211
"P34","Buena",0.1,0.106,0.065,0.179,0.121,0.211,0.662,0.062
"P34","Ni buena ni mala",0.326,0.166,0.168,0.153,0.227,0.232,0.082,0.205
"P34","Mala",0.204,0.212,0.02,0.043,0.284,0.363,0.137,0.012
"P34","Muy mala",0.095,0.322,0.274,0.039,0.294,0.126,0,0.336
"P34","No sabe",0.099,0.065,0.068,0.079,0.015,0.068,0,0.174
