"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna"
"A Horacio Rodriguez Larreta",0.447,0.599,0.325,0.987,0.404,0.23,0.43,0.776,0.25,0.521,0.72,0.558,0.862,0.272,0.314,0.044,0.663,0.362,0.6
"A Mauricio Macri",0.218,0.249,0.193,0.013,0.499,0.068,0.061,0.015,0.34,0.173,0.106,0.346,0.028,0.01,0.228,0.433,0.028,0.284,0
"A Patricia Bullrich",0.259,0.113,0.378,0,0.071,0.654,0.239,0.022,0.398,0.215,0.135,0.068,0.11,0.45,0.343,0.523,0.028,0.338,0
"A Facundo Manes",0.022,0.03,0.014,0,0.021,0.041,0.01,0,0.012,0.073,0.029,0.028,0,0.01,0.086,0,0.029,0.013,0.4
"A Martín Lousteau",0.054,0.009,0.09,0,0.005,0.007,0.26,0.187,0,0.018,0.01,0,0,0.258,0.029,0,0.252,0.003,0
