"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.064,0.068,0.06,0.073,0.073,0.033,0.073,0.086,0.048,0.051,0.154,0.05,0.018,0.07,0.054,0.021,0.037,0.128,0.017,6
"Buena",0.086,0.085,0.087,0.095,0.09,0.072,0.084,0.058,0.12,0.068,0.052,0.099,0.09,0.024,0.096,0.138,0.05,0.146,0.21,6
"Ni buena ni mala",0.366,0.374,0.358,0.285,0.405,0.39,0.344,0.37,0.351,0.39,0.357,0.372,0.449,0.351,0.281,0.396,0.372,0.36,0.48,6
"Mala",0.112,0.146,0.078,0.078,0.115,0.115,0.159,0.111,0.104,0.135,0.146,0.083,0.141,0.069,0.093,0.186,0.16,0.079,0.034,6
"Muy mala",0.158,0.094,0.223,0.257,0.135,0.112,0.139,0.142,0.161,0.186,0.127,0.163,0.086,0.138,0.315,0.113,0.143,0.134,0.101,6
"No sabe",0.214,0.233,0.194,0.212,0.182,0.278,0.201,0.233,0.216,0.17,0.164,0.233,0.216,0.348,0.161,0.146,0.238,0.153,0.158,6
"Positiva",0.15,0.153,0.147,0.168,0.163,0.105,0.157,0.144,0.168,0.119,0.206,0.149,0.108,0.094,0.15,0.159,0.087,0.274,0.227,4
"Neutra",0.366,0.374,0.358,0.285,0.405,0.39,0.344,0.37,0.351,0.39,0.357,0.372,0.449,0.351,0.281,0.396,0.372,0.36,0.48,4
"Negativa",0.27,0.24,0.301,0.335,0.25,0.227,0.298,0.253,0.265,0.321,0.273,0.246,0.227,0.207,0.408,0.299,0.303,0.213,0.135,4
"No sabe",0.214,0.233,0.194,0.212,0.182,0.278,0.201,0.233,0.216,0.17,0.164,0.233,0.216,0.348,0.161,0.146,0.238,0.153,0.158,4
