"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.082,0.082,0.083,0.097,0.083,0.046,0.118,0.08,0.09,0.067,0.122,0.096,0.068,0.007,0.057,0.099,0.049,0.155,0.033,6
"Buena",0.098,0.088,0.108,0.081,0.083,0.113,0.151,0.101,0.091,0.11,0.067,0.081,0.158,0.108,0.06,0.161,0.065,0.203,0.023,6
"Ni buena ni mala",0.384,0.368,0.399,0.298,0.467,0.432,0.204,0.359,0.41,0.38,0.423,0.379,0.356,0.472,0.32,0.337,0.418,0.327,0.612,6
"Mala",0.127,0.139,0.116,0.168,0.092,0.085,0.235,0.156,0.114,0.094,0.1,0.13,0.12,0.042,0.205,0.174,0.159,0.09,0.173,6
"Muy mala",0.126,0.099,0.151,0.149,0.107,0.131,0.128,0.089,0.125,0.208,0.121,0.098,0.191,0.147,0.224,0.066,0.112,0.09,0.135,6
"No sabe",0.183,0.224,0.143,0.207,0.168,0.193,0.164,0.215,0.17,0.141,0.167,0.216,0.107,0.224,0.134,0.163,0.197,0.135,0.024,6
"Positiva",0.18,0.17,0.191,0.178,0.166,0.159,0.269,0.181,0.181,0.177,0.189,0.177,0.226,0.115,0.117,0.26,0.114,0.358,0.056,4
"Neutra",0.384,0.368,0.399,0.298,0.467,0.432,0.204,0.359,0.41,0.38,0.423,0.379,0.356,0.472,0.32,0.337,0.418,0.327,0.612,4
"Negativa",0.253,0.238,0.267,0.317,0.199,0.216,0.363,0.245,0.239,0.302,0.221,0.228,0.311,0.189,0.429,0.24,0.271,0.18,0.308,4
"No sabe",0.183,0.224,0.143,0.207,0.168,0.193,0.164,0.215,0.17,0.141,0.167,0.216,0.107,0.224,0.134,0.163,0.197,0.135,0.024,4
