"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna"
"Frente de Todos y el peronismo",0.352,0.355,0.35,0.21,0.32,0.47,0.458,0.399,0.322,0.321,0.323,0.333,0.393,0.324,0.266,0.526,0.576,0.183,0.002
"Cambiemos",0.173,0.181,0.164,0.098,0.191,0.164,0.249,0.138,0.18,0.229,0.292,0.176,0.159,0.062,0.208,0.117,0.056,0.458,0.068
"Liberales",0.192,0.223,0.162,0.27,0.247,0.105,0.068,0.17,0.195,0.233,0.23,0.203,0.064,0.149,0.24,0.183,0.086,0.166,0.779
"Izquierda",0.047,0.034,0.06,0.04,0.035,0.064,0.065,0.033,0.042,0.088,0.062,0.061,0.013,0.016,0.055,0.032,0.022,0.046,0.013
"No sabe",0.236,0.207,0.264,0.382,0.207,0.197,0.16,0.26,0.261,0.129,0.093,0.227,0.371,0.449,0.231,0.142,0.26,0.147,0.138
