"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P22","No sabe",0,0.08,0.433,0.074,0.3,0.648
"P23","Frente de Todos y el peronismo",0.586,0.596,0.385,0.315,0.13,0.133
"P23","Cambiemos",0.127,0.071,0.137,0.228,0.256,0.056
"P23","Liberales",0.098,0.105,0.151,0.178,0.324,0.252
"P23","Izquierda",0.069,0.013,0.056,0.037,0.063,0
"P23","No sabe",0.12,0.215,0.271,0.242,0.227,0.559
"P25","A Alberto Fernández",0.495,0.452,0.435,0.464,0.263,0.685
"P25","A Sergio Massa",0.121,0.062,0.176,0.008,0.215,0
"P25","A algún candidato del peronismo",0.195,0.22,0.078,0.277,0.228,0.315
"P25","A algún candidato del kirchnerismo",0.189,0.266,0.311,0.251,0.294,0
"P26","A Alberto Fernández",0.203,0.212,0.335,0.27,0.239,0.683
"P26","A Sergio Massa",0.216,0.024,0.128,0.004,0.158,0
"P26","A algún candidato del peronismo",0.039,0.174,0.035,0.269,0.171,0.317
"P26","A Cristina Fernández de Kirchner",0.542,0.59,0.502,0.457,0.432,0
"P27","A Horacio Rodriguez Larreta",0.968,0.053,0.928,0.281,0.144,0.036
"P27","A Mauricio Macri",0.016,0.84,0.018,0.165,0.521,0
"P27","A Patricia Bullrich",0.016,0,0.036,0.536,0.294,0
"P27","A Facundo Manes",0,0.107,0.018,0.018,0.025,0.036
"P27","A Martín Lousteau",0,0,0,0,0.016,0.928
"P28","Seguro lo votaria",0.934,0.733,0.009,0.253,0.17,0.036
"P28","Quizás lo votaría",0.033,0,0.299,0.092,0.565,0
"P28","Nunca lo votaría",0.033,0.267,0.692,0.655,0.265,0.964
"P29","Muy buena",0.304,0.104,0.151,0.072,0.083,0.23
"P29","Buena",0.195,0.528,0.14,0.052,0.058,0.109
"P29","Ni buena ni mala",0.278,0.134,0.396,0.117,0.072,0.558
"P29","Mala",0.113,0.08,0.155,0.339,0.102,0.075
"P29","Muy mala",0.11,0.072,0.145,0.395,0.678,0.017
