"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna"
"A Gustavo Menéndez",0.41,0.395,0.423,0.365,0.386,0.349,0.678,0.404,0.406,0.429,0.661,0.272,0.78,0.131,0.602,0.249,0.356,0.777,1
"A Karina Menéndez",0.162,0.192,0.136,0.265,0.073,0.242,0.092,0.192,0.102,0.246,0.112,0.125,0.113,0.136,0.195,0.308,0.195,0.039,0
"A Florencia Lizaraso",0.067,0.077,0.058,0,0.111,0.091,0.001,0.012,0.116,0.058,0.096,0.086,0,0,0.021,0.101,0.08,0.021,0
"A Raúl Otahacé",0.169,0.2,0.144,0.185,0.236,0.119,0.044,0.164,0.17,0.179,0.083,0.237,0.047,0.033,0.041,0.315,0.139,0.106,0
"No sabe",0.192,0.136,0.239,0.185,0.194,0.199,0.185,0.228,0.206,0.088,0.048,0.28,0.06,0.7,0.141,0.027,0.23,0.057,0
