"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.153,0.214,0.094,0.196,0.161,0.088,0.166,0.221,0.106,0.112,0.203,0.145,0.121,0.094,0.095,0.247,0.192,0.129,0.388,6
"Buena",0.144,0.123,0.164,0.138,0.128,0.156,0.181,0.198,0.117,0.084,0.152,0.109,0.137,0.21,0.285,0.044,0.18,0.156,0.031,6
"Ni buena ni mala",0.28,0.277,0.282,0.139,0.276,0.349,0.418,0.287,0.282,0.256,0.323,0.328,0.409,0.213,0.209,0.163,0.263,0.263,0.314,6
"Mala",0.197,0.159,0.234,0.263,0.208,0.142,0.144,0.153,0.258,0.153,0.131,0.167,0.183,0.27,0.169,0.309,0.19,0.233,0.124,6
"Muy mala",0.152,0.159,0.145,0.147,0.163,0.182,0.076,0.086,0.148,0.311,0.136,0.138,0.124,0.134,0.21,0.188,0.1,0.186,0.087,6
"No sabe",0.074,0.068,0.081,0.117,0.064,0.083,0.015,0.055,0.089,0.084,0.055,0.113,0.026,0.079,0.032,0.049,0.075,0.033,0.056,6
"Positiva",0.297,0.337,0.258,0.334,0.289,0.244,0.347,0.419,0.223,0.196,0.355,0.254,0.258,0.304,0.38,0.291,0.372,0.285,0.419,4
"Neutra",0.28,0.277,0.282,0.139,0.276,0.349,0.418,0.287,0.282,0.256,0.323,0.328,0.409,0.213,0.209,0.163,0.263,0.263,0.314,4
"Negativa",0.349,0.318,0.379,0.41,0.371,0.324,0.22,0.239,0.406,0.464,0.267,0.305,0.307,0.404,0.379,0.497,0.29,0.419,0.211,4
"No sabe",0.074,0.068,0.081,0.117,0.064,0.083,0.015,0.055,0.089,0.084,0.055,0.113,0.026,0.079,0.032,0.049,0.075,0.033,0.056,4
