"var","categoria","A Horacio Rodriguez Larreta","A Mauricio Macri","A Patricia Bullrich","A Facundo Manes","A Martín Lousteau"
"P07","Muy buena",0.26,0.009,0.007,0,0
"P07","Buena",0.004,0.142,0,0.183,0
"P07","Ni buena ni mala",0.444,0.018,0.03,0.18,0
"P07","Mala",0.209,0.251,0.688,0.27,0
"P07","Muy mala",0.078,0.58,0.275,0.277,0.072
"P07","No sabe",0.005,0,0,0.09,0.928
"P08","Muy buena",0.209,0.375,0.045,0.18,0
"P08","Buena",0.017,0.526,0.169,0.277,0.036
"P08","Ni buena ni mala",0.308,0.081,0.402,0.453,0.036
"P08","Mala",0.022,0,0.015,0,0
"P08","Muy mala",0.149,0.018,0.038,0,0
"P08","No sabe",0.295,0,0.331,0.09,0.928
"P09","Muy buena",0.17,0,0,0.093,0
"P09","Buena",0.179,0.027,0.03,0.09,0
"P09","Ni buena ni mala",0.12,0.054,0.323,0.27,0
"P09","Mala",0.222,0.251,0.376,0.09,0
"P09","Muy mala",0.192,0.659,0.237,0.367,0.072
"P09","No sabe",0.117,0.009,0.034,0.09,0.928
"P10","Muy buena",0.187,0.053,0.023,0,0.036
"P10","Buena",0.017,0.311,0.102,0.27,0.036
"P10","Ni buena ni mala",0.169,0.458,0.176,0.363,0
"P10","Mala",0.013,0.036,0.308,0.187,0
"P10","Muy mala",0.305,0.124,0.06,0,0
"P10","No sabe",0.309,0.018,0.331,0.18,0.928
"P11","Muy buena",0.183,0.036,0.03,0.097,0
"P11","Buena",0.026,0.215,0.079,0,0
"P11","Ni buena ni mala",0.039,0.293,0.053,0.18,0
"P11","Mala",0.295,0.349,0.696,0.183,0.036
"P11","Muy mala",0.344,0.098,0.135,0.45,0.036
"P11","No sabe",0.113,0.009,0.007,0.09,0.928
"P12","Muy buena",0.192,0.098,0.368,0.187,0
"P12","Buena",0.039,0.311,0.132,0.27,0
"P12","Ni buena ni mala",0.039,0.546,0.395,0.18,0.072
"P12","Mala",0.009,0.009,0.022,0.093,0
"P12","Muy mala",0.305,0,0.015,0,0
"P12","No sabe",0.416,0.036,0.068,0.27,0.928
"P13","Muy buena",0.174,0,0.015,0,0.928
"P13","Buena",0.013,0.018,0.022,0.09,0
"P13","Ni buena ni mala",0.178,0.635,0.406,0.453,0.072
"P13","Mala",0.183,0.009,0.03,0,0
"P13","Muy mala",0.144,0.142,0.072,0,0
"P13","No sabe",0.308,0.196,0.455,0.457,0
"P14","Muy buena",0.174,0,0,0,0
"P14","Buena",0,0.009,0.042,0.09,0
"P14","Ni buena ni mala",0.066,0.411,0.436,0.363,0.072
"P14","Mala",0.314,0.18,0.015,0,0
"P14","Muy mala",0.013,0.009,0.03,0,0
"P14","No sabe",0.433,0.391,0.477,0.547,0.928
"P15","La seguridad",0.183,0,0.022,0,0
"P15","El tránsito",0,0.009,0.034,0.187,0
"P15","El arreglo de las calles",0.099,0.027,0.03,0.09,0
"P15","El estado de las escuelas y la educación",0.149,0,0,0.093,0
"P15","El sistema de salud",0,0,0.022,0,0
"P15","El deporte y la cultura",0.174,0.213,0.331,0,0
"P15","La obra pública",0,0.009,0,0,0
"P15","La luminaria",0.304,0.018,0.068,0.18,0.036
"P15","No sabe",0.091,0.724,0.493,0.45,0.964
"P16","La seguridad",0.565,0.544,0.545,0.637,1
