"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A Cristina Fernández de Kirchner"
"P07","Muy buena",0.13,0.38,0.041,0.177
"P07","Buena",0.198,0.062,0.264,0.279
"P07","Ni buena ni mala",0.195,0.205,0.033,0.149
"P07","Mala",0.259,0.01,0.42,0.222
"P07","Muy mala",0.189,0.343,0.22,0.173
"P07","No sabe",0.029,0,0.022,0
"P08","Muy buena",0.029,0,0,0.007
"P08","Buena",0.088,0.13,0.681,0.038
"P08","Ni buena ni mala",0.611,0.325,0.131,0.23
"P08","Mala",0.064,0.151,0.06,0.296
"P08","Muy mala",0.007,0.374,0.062,0.262
"P08","No sabe",0.201,0.02,0.066,0.167
"P09","Muy buena",0.164,0.597,0.021,0.184
"P09","Buena",0.028,0.049,0.024,0.13
"P09","Ni buena ni mala",0.429,0.314,0.102,0.4
"P09","Mala",0.003,0,0.356,0.109
"P09","Muy mala",0.189,0.029,0.451,0.126
"P09","No sabe",0.187,0.011,0.046,0.051
"P10","Muy buena",0.086,0,0,0.013
"P10","Buena",0.007,0.01,0.077,0.012
"P10","Ni buena ni mala",0.648,0.446,0.423,0.242
"P10","Mala",0.054,0.036,0.368,0.187
"P10","Muy mala",0.004,0.177,0.08,0.339
"P10","No sabe",0.201,0.331,0.052,0.207
"P11","Muy buena",0.089,0.009,0.007,0.026
"P11","Buena",0.033,0.053,0.255,0.114
"P11","Ni buena ni mala",0.399,0.239,0.046,0.154
"P11","Mala",0.26,0.316,0.462,0.278
"P11","Muy mala",0.209,0.047,0.208,0.313
"P11","No sabe",0.01,0.336,0.022,0.115
"P12","Muy buena",0.011,0.322,0.007,0.006
"P12","Buena",0,0.021,0.599,0.008
"P12","Ni buena ni mala",0.591,0.505,0.118,0.214
"P12","Mala",0.021,0.02,0.124,0.055
"P12","Muy mala",0.01,0.039,0.089,0.315
"P12","No sabe",0.367,0.093,0.063,0.402
"P13","Muy buena",0.022,0.322,0,0.099
"P13","Buena",0.011,0,0.056,0.02
"P13","Ni buena ni mala",0.405,0.28,0.696,0.275
"P13","Mala",0.007,0.02,0.028,0.083
"P13","Muy mala",0,0.159,0.065,0.051
"P13","No sabe",0.555,0.219,0.155,0.472
"P14","Muy buena",0.18,0.014,0,0
"P14","Buena",0.007,0.369,0.05,0.005
"P14","Ni buena ni mala",0.397,0.147,0.636,0.353
"P14","Mala",0.016,0,0.056,0.067
"P14","Muy mala",0,0.177,0.107,0.02
"P14","No sabe",0.4,0.293,0.151,0.555
"P15","La seguridad",0.181,0.115,0,0.006
"P15","El tránsito",0.011,0.338,0.023,0.011
"P15","El arreglo de las calles",0.42,0.223,0.311,0.208
"P15","El estado de las escuelas y la educación",0.244,0.082,0.049,0.019
"P15","El sistema de salud",0,0.03,0,0.034
"P15","El deporte y la cultura",0.029,0.024,0.349,0.425
"P15","La obra pública",0.047,0.149,0,0.053
"P15","La luminaria",0,0.028,0.09,0.017
"P15","No sabe",0.068,0.011,0.178,0.227
"P16","La seguridad",0.577,0.346,0.334,0.244
"P16","El tránsito",0,0.009,0.006,0.024
"P16","El arreglo de las calles",0.22,0.124,0.541,0.086
"P16","El estado de las escuelas y la educación",0.181,0,0.005,0.033
"P16","El sistema de salud",0,0.491,0.034,0.282
"P16","El deporte y la cultura",0,0,0.009,0.113
"P16","La obra pública",0,0.012,0.012,0
"P16","La luminaria",0,0.008,0,0.022
"P16","No sabe",0.022,0.01,0.059,0.196
"P17","Agua corriente y cloacas",0.117,0.31,0.546,0.432
"P17","Energía eléctrica",0.198,0.322,0,0.035
"P17","Red de gas natural",0.199,0.022,0.036,0.212
"P17","Recolección de residuos",0.462,0.139,0.38,0.149
"P17","Ninguno",0.024,0.207,0.038,0.172
"P18","Los robos",0.406,0.72,0.62,0.626
"P18","El narcotráfico",0.004,0,0.333,0.102
"P18","La ausencia de patrulleros y personal policial",0.558,0.044,0.034,0.191
"P18","Otro",0.014,0.214,0.013,0.038
"P18","Ninguno",0.018,0.022,0,0.043
"P19","Muy buena",0.074,0.283,0.054,0.194
"P19","Buena",0.118,0.102,0.046,0.201
"P19","Ni buena ni mala",0.397,0.293,0.487,0.308
"P19","Mala",0.222,0.322,0.298,0.13
"P19","Muy mala",0.189,0,0.093,0.019
"P19","No sabe",0,0,0.022,0.148
"P20","Muy buena",0.071,0.046,0.026,0.152
"P20","Buena",0.2,0.092,0.043,0.199
"P20","Ni buena ni mala",0.36,0.467,0.585,0.352
"P20","Mala",0.166,0.073,0.061,0.212
"P20","Muy mala",0.193,0.322,0.139,0.029
"P20","No sabe",0.01,0,0.146,0.056
"P21","Al candidato del Frente de Todos",0.366,0.405,0.106,0.833
"P21","Al candidato de Juntos por el Cambio",0.255,0.022,0.772,0.02
"P21","Al candidato de la Izquierda",0.003,0.146,0.051,0.056
"P21","A otro candidato",0.192,0,0.052,0.012
"P21","No sabe",0.184,0.427,0.019,0.079
"P22","A Gustavo Menéndez",0.428,0.497,0.347,0.383
"P22","A Karina Menéndez",0.168,0.381,0.132,0.27
"P22","A Florencia Lizaraso",0.012,0,0,0.069
"P22","A Raúl Otahacé",0,0.027,0.48,0.085
"P22","No sabe",0.392,0.095,0.041,0.193
"P25","A Alberto Fernández",0.992,0.021,0,0.345
"P25","A Sergio Massa",0.008,0.753,0.099,0.037
"P25","A algún candidato del peronismo",0,0.226,0.884,0.102
"P25","A algún candidato del kirchnerismo",0,0,0.017,0.516
"P29","Muy buena",0.763,0.019,0.014,0.047
"P29","Buena",0.173,0.168,0.088,0.269
"P29","Ni buena ni mala",0.041,0.252,0.07,0.248
"P29","Mala",0,0.06,0.02,0.409
"P29","Muy mala",0.023,0.501,0.808,0.022
"P29","No sabe",0,0,0,0.005
"P30","Muy buena",0.009,0,0.007,0.021
"P30","Buena",0,0.422,0.346,0.014
"P30","Ni buena ni mala",0,0.03,0.085,0.002
"P30","Mala",0.33,0.22,0.12,0.035
"P30","Muy mala",0.661,0.213,0.442,0.837
"P30","No sabe",0,0.115,0,0.091
"P31","Muy buena",0.379,0.206,0.029,0.664
"P31","Buena",0.421,0.145,0.085,0.036
"P31","Ni buena ni mala",0.037,0.037,0.045,0.11
"P31","Mala",0.159,0.075,0.007,0.107
"P31","Muy mala",0.004,0.422,0.834,0.079
"P31","No sabe",0,0.115,0,0.004
"P32","Muy buena",0.198,0,0.157,0.002
"P32","Buena",0.195,0.145,0.684,0.008
"P32","Ni buena ni mala",0.046,0.174,0.014,0.111
"P32","Mala",0.239,0.092,0.034,0.181
"P32","Muy mala",0.318,0.589,0.111,0.676
"P32","No sabe",0.004,0,0,0.022
"P33","Muy buena",0.05,0.226,0.012,0.056
"P33","Buena",0.209,0.133,0.052,0.335
"P33","Ni buena ni mala",0.552,0.255,0.213,0.399
"P33","Mala",0.008,0.022,0.058,0.114
"P33","Muy mala",0.003,0.364,0.643,0.092
"P33","No sabe",0.178,0,0.022,0.004
"P34","Muy buena",0.011,0,0.037,0.007
"P34","Buena",0.004,0.035,0.797,0.007
"P34","Ni buena ni mala",0.042,0.188,0.018,0.015
"P34","Mala",0.374,0.081,0.021,0.18
"P34","Muy mala",0.569,0.581,0.101,0.713
"P34","No sabe",0,0.115,0.026,0.078
"P35","Muy buena",0.013,0.465,0,0.003
"P35","Buena",0.156,0,0.044,0.006
"P35","Ni buena ni mala",0.339,0.102,0.392,0.267
"P35","Mala",0.228,0.074,0.347,0.076
"P35","Muy mala",0.26,0.244,0.206,0.642
"P35","No sabe",0.004,0.115,0.011,0.006
