"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.118,0.143,0.093,0.112,0.115,0.095,0.175,0.199,0.061,0.071,0.149,0.103,0.099,0.128,0.076,0.15,0.144,0.138,0.016,6
"Buena",0.096,0.09,0.103,0.038,0.08,0.141,0.17,0.096,0.092,0.109,0.076,0.093,0.179,0.092,0.105,0.081,0.141,0.051,0.031,6
"Ni buena ni mala",0.307,0.308,0.305,0.211,0.388,0.299,0.244,0.328,0.32,0.225,0.322,0.341,0.306,0.372,0.178,0.244,0.346,0.24,0.289,6
"Mala",0.153,0.187,0.119,0.131,0.151,0.167,0.174,0.152,0.148,0.166,0.127,0.145,0.127,0.142,0.187,0.2,0.136,0.205,0.294,6
"Muy mala",0.245,0.176,0.314,0.384,0.209,0.212,0.168,0.145,0.288,0.369,0.263,0.188,0.262,0.188,0.399,0.29,0.138,0.309,0.37,6
"No sabe",0.081,0.096,0.066,0.124,0.057,0.086,0.069,0.08,0.091,0.06,0.063,0.13,0.027,0.078,0.055,0.035,0.095,0.057,0,6
"Positiva",0.214,0.233,0.196,0.15,0.195,0.236,0.345,0.295,0.153,0.18,0.225,0.196,0.278,0.22,0.181,0.231,0.285,0.189,0.047,4
"Neutra",0.307,0.308,0.305,0.211,0.388,0.299,0.244,0.328,0.32,0.225,0.322,0.341,0.306,0.372,0.178,0.244,0.346,0.24,0.289,4
"Negativa",0.398,0.363,0.433,0.515,0.36,0.379,0.342,0.297,0.436,0.535,0.39,0.333,0.389,0.33,0.586,0.49,0.274,0.514,0.664,4
"No sabe",0.081,0.096,0.066,0.124,0.057,0.086,0.069,0.08,0.091,0.06,0.063,0.13,0.027,0.078,0.055,0.035,0.095,0.057,0,4
