"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna"
"Seguro lo votaria",0.269,0.331,0.219,0.487,0.137,0.454,0.071,0.467,0.233,0.11,0.648,0.17,0.028,0,0.143,0.431,0.048,0.292,0.2
"Quizás lo votaría",0.236,0.275,0.204,0,0.477,0.082,0.189,0.015,0.346,0.243,0.127,0.217,0.055,0.347,0.343,0.298,0.286,0.231,0.4
"Nunca lo votaría",0.495,0.394,0.577,0.513,0.386,0.464,0.74,0.518,0.421,0.647,0.225,0.613,0.917,0.653,0.514,0.271,0.666,0.477,0.4
