"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A algún candidato del kirchnerismo"
"P07","Muy buena",0.19,0.186,0.15,0.118
"P07","Buena",0.253,0.14,0.246,0.243
"P07","Ni buena ni mala",0.151,0.244,0.054,0.176
"P07","Mala",0.264,0.019,0.316,0.234
"P07","Muy mala",0.125,0.411,0.218,0.229
"P07","No sabe",0.017,0,0.016,0
"P08","Muy buena",0.017,0,0.006,0.012
"P08","Buena",0.05,0.303,0.478,0.017
"P08","Ni buena ni mala",0.401,0.308,0.241,0.258
"P08","Mala",0.256,0.01,0.149,0.176
"P08","Muy mala",0.015,0.329,0.062,0.473
"P08","No sabe",0.261,0.05,0.064,0.064
"P09","Muy buena",0.208,0.379,0.161,0.115
"P09","Buena",0.047,0.136,0.046,0.144
"P09","Ni buena ni mala",0.372,0.333,0.219,0.437
"P09","Mala",0.006,0,0.266,0.197
"P09","Muy mala",0.233,0.133,0.283,0.045
"P09","No sabe",0.134,0.019,0.025,0.062
"P10","Muy buena",0.054,0.008,0,0.016
"P10","Buena",0.004,0.057,0.064,0.003
"P10","Ni buena ni mala",0.427,0.423,0.364,0.344
"P10","Mala",0.038,0.183,0.371,0.204
"P10","Muy mala",0.229,0.015,0.136,0.276
"P10","No sabe",0.248,0.314,0.065,0.157
"P11","Muy buena",0.055,0.007,0.03,0.026
"P11","Buena",0.049,0.067,0.334,0.044
"P11","Ni buena ni mala",0.255,0.084,0.13,0.243
"P11","Mala",0.265,0.325,0.371,0.311
"P11","Muy mala",0.242,0.221,0.115,0.368
"P11","No sabe",0.134,0.296,0.02,0.008
"P12","Muy buena",0.007,0.285,0.005,0.011
"P12","Buena",0.003,0.038,0.449,0
"P12","Ni buena ni mala",0.391,0.432,0.252,0.222
"P12","Mala",0.017,0.046,0.121,0.061
"P12","Muy mala",0.123,0.034,0.069,0.411
"P12","No sabe",0.459,0.165,0.104,0.295
"P13","Muy buena",0.015,0.285,0,0.188
"P13","Buena",0.006,0.018,0.067,0.015
"P13","Ni buena ni mala",0.294,0.399,0.587,0.314
"P13","Mala",0.004,0.046,0.031,0.14
"P13","Muy mala",0.005,0.016,0.12,0.08
"P13","No sabe",0.676,0.236,0.195,0.263
"P14","Muy buena",0.108,0.012,0,0
"P14","Buena",0.004,0.346,0.027,0.01
"P14","Ni buena ni mala",0.28,0.311,0.54,0.477
"P14","Mala",0.009,0.037,0.071,0.089
"P14","Muy mala",0.007,0.015,0.163,0.015
"P14","No sabe",0.592,0.279,0.199,0.409
"P15","La seguridad",0.11,0.122,0.006,0
"P15","El tránsito",0.012,0.327,0.017,0
"P15","El arreglo de las calles",0.255,0.177,0.267,0.368
"P15","El estado de las escuelas y la educación",0.145,0.071,0.05,0.025
"P15","El sistema de salud",0.006,0.008,0.05,0.021
"P15","El deporte y la cultura",0.258,0.139,0.353,0.292
"P15","La obra pública",0.033,0.008,0.07,0.095
"P15","La luminaria",0.003,0.136,0.007,0.031
"P15","No sabe",0.178,0.012,0.18,0.168
"P16","La seguridad",0.356,0.47,0.348,0.301
"P16","El tránsito",0.008,0.016,0.008,0.027
"P16","El arreglo de las calles",0.162,0.177,0.446,0.046
"P16","El estado de las escuelas y la educación",0.111,0.009,0.027,0.033
"P16","El sistema de salud",0.135,0.292,0.1,0.323
"P16","El deporte y la cultura",0.105,0,0.007,0.045
"P16","La obra pública",0,0.01,0,0.007
"P16","La luminaria",0,0.017,0,0.038
"P16","No sabe",0.123,0.009,0.064,0.18
"P17","Agua corriente y cloacas",0.205,0.359,0.59,0.429
"P17","Energía eléctrica",0.122,0.302,0,0.051
"P17","Red de gas natural",0.347,0.028,0.038,0.021
