"var","categoria","Unión por la Patria","Juntos por el Cambio","Liberales","Izquierda","Otro","No sabe"
"P05","Mucho",0.495,0.359,0.277,0.429,0.341,0.187
"P05","Bastante",0.364,0.44,0.45,0.339,0.301,0.296
"P05","Poco",0.122,0.17,0.199,0.165,0.29,0.287
"P05","Nada",0.014,0.03,0.056,0.067,0.058,0.204
"P05","No sabe",0.005,0.001,0.018,0,0.01,0.026
"P06","Siempre",0.279,0.229,0.187,0.214,0.224,0.143
"P06","Casi siempre",0.456,0.469,0.354,0.365,0.347,0.294
"P06","Casi nunca",0.197,0.226,0.349,0.202,0.246,0.318
"P06","Nunca, pero esta es una excepción",0.068,0.076,0.11,0.219,0.183,0.245
"P15","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.698,0.083,0.013,0.105,0.113,0.161
"P15","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.153,0.025,0.016,0.191,0.17,0.049
"P15","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.072,0.573,0.097,0.019,0.097,0.105
"P15","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.025,0.242,0.041,0.054,0.089,0.058
"P15","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.036,0.034,0.797,0.119,0.118,0.148
"P15","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.004,0.004,0.002,0.364,0.022,0.014
"P15","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.002,0.004,0.007,0.024,0.071,0.032
"P15","Otros",0.005,0.015,0.017,0.092,0.238,0.067
"P15","En blanco",0.001,0.004,0.005,0.016,0.066,0.119
"P15","No sabe",0.004,0.016,0.005,0.016,0.016,0.247
"P24","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.538,0.084,0.053,0.239,0.219,0.181
"P24","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.201,0.033,0.029,0.201,0.055,0.051
"P24","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.085,0.461,0.403,0.117,0.143,0.088
"P24","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.059,0.234,0.1,0.055,0.151,0.093
"P24","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.066,0.132,0.345,0.03,0.091,0.13
"P24","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.018,0.004,0.012,0.26,0.018,0.031
"P24","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.007,0.004,0.003,0.032,0.048,0.048
"P24","Otros",0.014,0.012,0.022,0.03,0.161,0.048
"P24","En blanco",0.003,0.013,0.023,0.026,0.098,0.081
"P24","No sabe",0.009,0.023,0.01,0.01,0.016,0.249
"P25","Totalmente seguro",0.703,0.639,0.712,0.488,0.494,0.208
"P25","Bastante seguro",0.151,0.2,0.139,0.243,0.118,0.166
"P25","Algo seguro",0.099,0.096,0.071,0.144,0.149,0.171
"P25","Para nada seguro",0.047,0.065,0.078,0.125,0.239,0.455
"P26","Tiene Decidido que va a ir a votar",0.928,0.918,0.88,0.679,0.768,0.698
"P26","Tiene dudas sobre si va a ir a  votar",0.042,0.064,0.105,0.265,0.146,0.229
"P26","Tiene Decidido que no va a ir a votar",0.03,0.018,0.015,0.056,0.086,0.073
"P31","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.801,0.097,0.03,0.145,0.233,0.227
"P31","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.093,0.73,0.125,0.111,0.111,0.148
"P31","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.039,0.051,0.798,0.037,0.192,0.185
"P31","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.029,0.018,0,0.518,0.02,0.03
