"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior"
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.388,0.388,0.389,0.282,0.338,0.444,0.508,0.377,0.389,0.398,0.171,0.675,0.351,0.384,0.396
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.217,0.253,0.178,0.388,0.246,0.153,0.103,0.245,0.208,0.203,0.153,0.222,0.368,0.202,0.245
"En blanco",0.286,0.274,0.298,0.245,0.312,0.293,0.248,0.249,0.288,0.316,0.519,0.068,0.175,0.305,0.249
"No sabe",0.109,0.085,0.135,0.085,0.104,0.11,0.141,0.129,0.115,0.083,0.157,0.035,0.106,0.109,0.11
