"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P05","Mucho",0.471,0.342,0.44,0.302
"P05","Bastante",0.374,0.477,0.383,0.404
"P05","Poco",0.134,0.156,0.148,0.238
"P05","Nada",0.013,0.025,0.028,0.048
"P05","No sabe",0.008,0,0.001,0.008
"P06","Siempre",0.296,0.259,0.269,0.169
"P06","Casi siempre",0.468,0.455,0.455,0.474
"P06","Casi nunca",0.186,0.216,0.215,0.221
"P06","Nunca, pero esta es una excepción",0.05,0.07,0.061,0.136
"P08","Unión por la Patria",0.75,0.095,0.108,0.097
"P08","Juntos por el Cambio",0.126,0.624,0.275,0.339
"P08","Liberales",0.025,0.208,0.35,0.187
"P08","Izquierda",0.03,0.009,0.08,0.032
"P08","Otro",0.03,0.021,0.101,0.117
"P08","No sabe",0.039,0.043,0.086,0.228
"P15","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.703,0.005,0.044,0.087
"P15","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.17,0.006,0.092,0.033
"P15","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.044,0.48,0.234,0.318
"P15","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.012,0.25,0.031,0.052
"P15","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.028,0.217,0.399,0.258
"P15","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.011,0.006,0.055,0.048
"P15","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.002,0.01,0.013,0.032
"P15","Otros",0.017,0.008,0.057,0.056
"P15","En blanco",0.001,0.001,0.05,0.016
"P15","No sabe",0.012,0.017,0.025,0.1
"P24","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.548,0.048,0.046,0.058
"P24","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.206,0.027,0.068,0.046
"P24","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.075,0.471,0.405,0.341
"P24","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.053,0.26,0.075,0.108
"P24","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.049,0.153,0.195,0.184
"P24","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.029,0.007,0.042,0.02
"P24","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.009,0.003,0.02,0.019
"P24","Otros",0.012,0.01,0.05,0.058
"P24","En blanco",0.008,0.005,0.077,0.031
"P24","No sabe",0.011,0.016,0.022,0.135
"P25","Totalmente seguro",0.677,0.628,0.671,0.485
"P25","Bastante seguro",0.155,0.212,0.144,0.16
"P25","Algo seguro",0.099,0.095,0.1,0.154
"P25","Para nada seguro",0.069,0.065,0.085,0.201
"P26","Tiene Decidido que va a ir a votar",0.931,0.915,0.847,0.822
"P26","Tiene dudas sobre si va a ir a  votar",0.057,0.058,0.094,0.134
"P26","Tiene Decidido que no va a ir a votar",0.012,0.027,0.059,0.044
"P31","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.831,0.017,0.054,0.099
"P31","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.06,0.64,0.271,0.362
"P31","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.028,0.226,0.417,0.242
"P31","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.043,0.005,0.108,0.019
"P31","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.004,0.028,0.042,0.049
"P31","Otros",0.023,0.047,0.033,0.051
"P31","En blanco",0.004,0.012,0.045,0.022
"P31","No sabe",0.007,0.025,0.03,0.156
"P32","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.85,0.012,0.057,0.1
"P32","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.057,0.661,0.098,0.184
"P32","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.035,0.266,0.441,0.307
"P32","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.021,0.004,0.1,0.008
"P32","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.009,0.006,0.039,0.051
"P32","Otros",0.01,0.021,0.108,0.106
"P32","En blanco",0.003,0.01,0.12,0.011
"P32","No sabe",0.015,0.02,0.037,0.233
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.892,0.072,0.095,0.074
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.046,0.847,0.475,0.465
"P33","En blanco",0.044,0.046,0.407,0.039
"P33","No sabe",0.018,0.035,0.023,0.422
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.172,0.663,0.265,0.351
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.07,0.269,0.398,0.264
"P34","En blanco",0.609,0.032,0.301,0.061
"P34","No sabe",0.149,0.036,0.036,0.324
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.173,0.606,0.075,0.073
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.064,0.322,0.463,0.35
"P36","En blanco",0.587,0.029,0.409,0.051
"P36","No sabe",0.176,0.043,0.053,0.526
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.901,0.075,0.095,0.105
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.036,0.558,0.521,0.339
"P37","En blanco",0.042,0.208,0.339,0.073
"P37","No sabe",0.021,0.159,0.045,0.483
"P45","Lo votaría",0.842,0.043,0.093,0.067
"P45","Puede que lo vote",0.077,0.135,0.091,0.087
"P45","Nunca lo votaría",0.058,0.8,0.761,0.668
"P45","No sabe",0.023,0.022,0.055,0.178
"P46","Lo votaría",0.539,0.024,0.138,0.071
"P46","Puede que lo vote",0.246,0.022,0.066,0.086
"P46","Nunca lo votaría",0.159,0.931,0.753,0.737
"P46","No sabe",0.056,0.023,0.043,0.106
"P47","Lo votaría",0.115,0.574,0.307,0.409
"P47","Puede que lo vote",0.048,0.213,0.229,0.17
"P47","Nunca lo votaría",0.823,0.192,0.426,0.292
"P47","No sabe",0.014,0.021,0.038,0.129
"P48","Lo votaría",0.069,0.587,0.093,0.094
"P48","Puede que lo vote",0.036,0.324,0.125,0.226
"P48","Nunca lo votaría",0.848,0.071,0.734,0.443
"P48","No sabe",0.047,0.018,0.048,0.237
"P49","Lo votaría",0.064,0.34,0.386,0.321
"P49","Puede que lo vote",0.044,0.288,0.129,0.09
"P49","Nunca lo votaría",0.876,0.333,0.448,0.434
"P49","No sabe",0.016,0.039,0.037,0.155
"P50","Lo votaría",0.09,0.051,0.127,0.041
"P50","Puede que lo vote",0.307,0.058,0.11,0.068
"P50","Nunca lo votaría",0.545,0.859,0.714,0.781
"P50","No sabe",0.058,0.032,0.049,0.11
"P51","Lo votaría",0.024,0.026,0.056,0.05
"P51","Puede que lo vote",0.16,0.162,0.078,0.092
"P51","Nunca lo votaría",0.749,0.754,0.809,0.702
"P51","No sabe",0.067,0.058,0.057,0.156
"P52","Si",0.534,0.493,0.516,0.406
"P52","No",0.466,0.507,0.484,0.594
