"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","GBA","Interior"
"Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.314,0.312,0.316,0.3,0.261,0.355,0.389,0.296,0.294,0.359,0.154,0.527,0.39,0.298,0.345
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.252,0.277,0.226,0.364,0.292,0.208,0.135,0.272,0.242,0.248,0.162,0.305,0.316,0.24,0.276
"En blanco",0.294,0.303,0.285,0.221,0.314,0.301,0.297,0.301,0.291,0.291,0.509,0.073,0.226,0.322,0.24
"No sabe",0.14,0.108,0.173,0.115,0.133,0.136,0.179,0.131,0.173,0.102,0.175,0.095,0.068,0.14,0.139
