"var","categoria","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P05","Mucho",0.476,0.541,0.359,0.324,0.294,0.465,0.226,0.43,0.228,0.184
"P05","Bastante",0.364,0.307,0.465,0.442,0.448,0.32,0.442,0.287,0.299,0.325
"P05","Poco",0.131,0.109,0.139,0.184,0.207,0.127,0.207,0.187,0.304,0.283
"P05","Nada",0.023,0.043,0.025,0.05,0.038,0.088,0.094,0.096,0.169,0.157
"P05","No sabe",0.006,0,0.012,0,0.013,0,0.031,0,0,0.051
"P06","Siempre",0.265,0.285,0.242,0.26,0.145,0.336,0.148,0.163,0.183,0.14
"P06","Casi siempre",0.455,0.475,0.466,0.409,0.421,0.404,0.567,0.389,0.341,0.307
"P06","Casi nunca",0.209,0.179,0.216,0.242,0.283,0.204,0.246,0.306,0.218,0.362
"P06","Nunca, pero esta es una excepción",0.071,0.061,0.076,0.089,0.151,0.056,0.039,0.142,0.258,0.191
"P08","Unión por la Patria",0.792,0.607,0.092,0.073,0.064,0.064,0.048,0.053,0.014,0.033
"P08","Juntos por el Cambio",0.101,0.106,0.775,0.749,0.064,0.071,0.127,0.156,0.072,0.143
"P08","Liberales",0.008,0.033,0.063,0.06,0.721,0.013,0.105,0.087,0.042,0.019
"P08","Izquierda",0.013,0.082,0.003,0.017,0.023,0.702,0.074,0.1,0.027,0.015
"P08","Otro",0.019,0.1,0.018,0.039,0.031,0.059,0.305,0.356,0.155,0.02
"P08","No sabe",0.067,0.072,0.049,0.062,0.097,0.091,0.341,0.248,0.69,0.77
"P24","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.621,0.415,0.045,0.055,0.049,0.125,0.106,0.213,0,0.113
"P24","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.19,0.297,0.022,0.031,0.015,0.268,0,0.017,0,0.014
"P24","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.052,0.04,0.533,0.409,0.371,0.057,0.02,0.124,0.061,0.051
"P24","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.047,0.044,0.226,0.302,0.121,0.139,0.065,0.041,0.009,0.047
"P24","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.035,0.085,0.133,0.17,0.381,0,0.17,0.03,0.006,0.021
"P24","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.019,0.094,0.003,0.005,0.001,0.325,0.024,0.006,0.017,0.016
"P24","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.006,0,0.004,0.006,0.002,0.009,0.568,0.004,0.124,0
"P24","Otros",0.006,0.018,0.009,0.013,0.025,0.04,0,0.377,0.107,0.035
"P24","En blanco",0.006,0.002,0.009,0.002,0.029,0.031,0.047,0.022,0.575,0.026
"P24","No sabe",0.018,0.005,0.016,0.007,0.006,0.006,0,0.166,0.101,0.677
"P25","Totalmente seguro",0.685,0.583,0.657,0.548,0.7,0.424,0.325,0.336,0.357,0.083
"P25","Bastante seguro",0.151,0.201,0.2,0.231,0.141,0.205,0.207,0.069,0.089,0.167
"P25","Algo seguro",0.108,0.126,0.078,0.127,0.083,0.177,0.281,0.079,0.032,0.141
"P25","Para nada seguro",0.056,0.09,0.065,0.094,0.076,0.194,0.187,0.516,0.522,0.609
"P26","Tiene Decidido que va a ir a votar",0.911,0.807,0.901,0.922,0.882,0.702,0.581,0.818,0.702,0.81
"P26","Tiene dudas sobre si va a ir a  votar",0.067,0.138,0.077,0.056,0.099,0.227,0.401,0.107,0.178,0.16
"P26","Tiene Decidido que no va a ir a votar",0.022,0.055,0.022,0.022,0.019,0.071,0.018,0.075,0.12,0.03
"P31","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.91,0.657,0.035,0.018,0.034,0.219,0.022,0.21,0.06,0.126
"P31","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.023,0.033,0.884,0.581,0.089,0.118,0.025,0.112,0,0.11
"P31","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.009,0.002,0.041,0.149,0.83,0.079,0.02,0.079,0.011,0.082
"P31","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.027,0.134,0.011,0.031,0,0.51,0,0.009,0.033,0
"P31","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.001,0.044,0.008,0.03,0.014,0,0.677,0.032,0.137,0.041
"P31","Otros",0.014,0.09,0.009,0.119,0.02,0.018,0.067,0.276,0,0.033
"P31","En blanco",0.003,0.015,0.002,0.032,0.007,0,0.171,0.096,0.497,0.034
"P31","No sabe",0.013,0.025,0.01,0.04,0.006,0.056,0.018,0.186,0.262,0.574
"P32","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.934,0.681,0.026,0.008,0.029,0.271,0.096,0.2,0.072,0.138
"P32","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.011,0.048,0.682,0.879,0.052,0.057,0.092,0.116,0.042,0.108
"P32","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.019,0.01,0.132,0.092,0.86,0.033,0.032,0.1,0.013,0.052
"P32","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.015,0.096,0.001,0.003,0.002,0.48,0.022,0.02,0.038,0
"P32","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.003,0.03,0.005,0.011,0.011,0,0.568,0.013,0.078,0.04
"P32","Otros",0,0.08,0.062,0.005,0.025,0.007,0,0.419,0,0.009
"P32","En blanco",0,0.013,0.048,0,0.007,0.032,0.172,0.049,0.473,0.069
"P32","No sabe",0.018,0.042,0.044,0.002,0.014,0.12,0.018,0.083,0.284,0.584
"P33","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.898,0.794,0.08,0.069,0.054,0.376,0.239,0.174,0.048,0.156
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.005,0.064,0.87,0.768,0.642,0.084,0.384,0.195,0.018,0.266
"P33","En blanco",0.059,0.126,0.021,0.088,0.218,0.329,0.123,0.424,0.758,0.119
"P33","No sabe",0.038,0.016,0.029,0.075,0.086,0.211,0.254,0.207,0.176,0.459
"P34","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.137,0.062,0.845,0.729,0.133,0.153,0.393,0.233,0.082,0.234
"P34","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.055,0.064,0.11,0.107,0.804,0.1,0.075,0.164,0.146,0.076
"P34","En blanco",0.636,0.712,0.024,0.093,0.036,0.555,0.194,0.318,0.62,0.093
"P34","No sabe",0.172,0.162,0.021,0.071,0.027,0.192,0.338,0.285,0.152,0.597
"P35","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.939,0.77,0.066,0.043,0.061,0.218,0.066,0.27,0.047,0.187
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.007,0.024,0.667,0.859,0.44,0.11,0.377,0.124,0.017,0.242
"P35","En blanco",0.023,0.168,0.142,0.047,0.351,0.428,0.215,0.371,0.772,0.159
"P35","No sabe",0.031,0.038,0.125,0.051,0.148,0.244,0.342,0.235,0.164,0.412
"P36","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.129,0.144,0.564,0.811,0.081,0.29,0.046,0.275,0.018,0.155
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.051,0.062,0.215,0.11,0.845,0.108,0.32,0.137,0.018,0.245
"P36","En blanco",0.624,0.659,0.082,0.042,0.05,0.405,0.297,0.347,0.734,0.126
"P36","No sabe",0.196,0.135,0.139,0.037,0.024,0.197,0.337,0.241,0.23,0.474
"P37","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Unión por la Patria",0.942,0.782,0.093,0.065,0.06,0.286,0.351,0.257,0.046,0.214
"P37","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.011,0.059,0.425,0.404,0.88,0.065,0.2,0.165,0.127,0.126
"P37","En blanco",0.029,0.117,0.283,0.252,0.044,0.341,0.182,0.338,0.65,0.053
"P37","No sabe",0.018,0.042,0.199,0.279,0.016,0.308,0.267,0.24,0.177,0.607
"P45","Lo votaría",0.929,0.591,0.055,0.039,0.06,0.193,0.043,0.157,0.061,0.121
"P45","Puede que lo vote",0.028,0.176,0.137,0.104,0.118,0.109,0.244,0.227,0,0.041
"P45","Nunca lo votaría",0.025,0.159,0.791,0.828,0.8,0.552,0.56,0.464,0.621,0.46
"P45","No sabe",0.018,0.074,0.017,0.029,0.022,0.146,0.153,0.152,0.318,0.378
"P46","Lo votaría",0.489,0.832,0.033,0.012,0.044,0.407,0.047,0.118,0,0.056
"P46","Puede que lo vote",0.315,0.085,0.021,0.015,0.02,0.234,0.242,0.219,0,0.047
"P46","Nunca lo votaría",0.132,0.078,0.938,0.946,0.901,0.327,0.69,0.542,0.727,0.451
"P46","No sabe",0.064,0.005,0.008,0.027,0.035,0.032,0.021,0.121,0.273,0.446
"P47","Lo votaría",0.083,0.081,0.794,0.461,0.245,0.125,0.092,0.167,0,0.041
"P47","Puede que lo vote",0.05,0.034,0.069,0.263,0.408,0.147,0.303,0.157,0.055,0.21
"P47","Nunca lo votaría",0.855,0.88,0.129,0.249,0.295,0.709,0.5,0.557,0.735,0.415
"P47","No sabe",0.012,0.005,0.008,0.027,0.052,0.019,0.105,0.119,0.21,0.334
"P48","Lo votaría",0.03,0.035,0.493,0.881,0.124,0.29,0.161,0.113,0,0.084
"P48","Puede que lo vote",0.03,0.065,0.309,0.069,0.329,0.068,0.293,0.206,0.055,0.097
"P48","Nunca lo votaría",0.902,0.851,0.148,0.038,0.484,0.603,0.332,0.656,0.736,0.436
"P48","No sabe",0.038,0.049,0.05,0.012,0.063,0.039,0.214,0.025,0.209,0.383
"P49","Lo votaría",0.023,0.035,0.212,0.265,0.792,0.16,0.18,0.019,0.134,0.042
"P49","Puede que lo vote",0.03,0.074,0.326,0.189,0.118,0.09,0.146,0.177,0.023,0.106
"P49","Nunca lo votaría",0.93,0.875,0.408,0.499,0.077,0.7,0.654,0.633,0.637,0.575
"P49","No sabe",0.017,0.016,0.054,0.047,0.013,0.05,0.02,0.171,0.206,0.277
"P50","Lo votaría",0.039,0.209,0.033,0.036,0.12,0.617,0.036,0.069,0.11,0
"P50","Puede que lo vote",0.324,0.347,0.061,0.046,0.052,0.129,0,0.182,0,0.065
"P50","Nunca lo votaría",0.577,0.386,0.878,0.898,0.787,0.234,0.763,0.643,0.687,0.67
"P50","No sabe",0.06,0.058,0.028,0.02,0.041,0.02,0.201,0.106,0.203,0.265
"P51","Lo votaría",0.011,0.048,0.027,0.006,0.035,0.202,0.662,0,0,0.061
"P51","Puede que lo vote",0.188,0.11,0.108,0.165,0.127,0.099,0.051,0.234,0.11,0.074
"P51","Nunca lo votaría",0.762,0.751,0.797,0.754,0.779,0.601,0.287,0.612,0.686,0.533
"P51","No sabe",0.039,0.091,0.068,0.075,0.059,0.098,0,0.154,0.204,0.332
"P52","Si",0.528,0.6,0.534,0.424,0.507,0.526,0.466,0.358,0.573,0.353
"P52","No",0.472,0.4,0.466,0.576,0.493,0.474,0.534,0.642,0.427,0.647
