"var","categoria","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P05","Mucho",0.379,0.301,0.522,0.402
"P05","Bastante",0.438,0.486,0.358,0.386
"P05","Poco",0.163,0.179,0.112,0.147
"P05","Nada",0.016,0.033,0.005,0.052
"P05","No sabe",0.004,0.001,0.003,0.013
"P06","Siempre",0.3,0.226,0.293,0.174
"P06","Casi siempre",0.416,0.468,0.472,0.571
"P06","Casi nunca",0.229,0.225,0.172,0.181
"P06","Nunca, pero esta es una excepción",0.055,0.081,0.063,0.074
"P08","Unión por la Patria",0.197,0.104,0.668,0.399
"P08","Juntos por el Cambio",0.672,0.232,0.16,0.3
"P08","Liberales",0.055,0.533,0.028,0.03
"P08","Izquierda",0.015,0.016,0.05,0.036
"P08","Otro",0.019,0.056,0.053,0.066
"P08","No sabe",0.042,0.059,0.041,0.169
"P15","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.118,0.057,0.599,0.403
"P15","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.039,0.02,0.187,0.082
"P15","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.475,0.222,0.072,0.264
"P15","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.27,0.045,0.015,0.028
"P15","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.047,0.599,0.031,0.031
"P15","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.016,0.007,0.023,0.024
"P15","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.001,0.012,0.009,0.023
"P15","Otros",0.022,0.013,0.029,0.044
"P15","En blanco",0,0.001,0.024,0.016
"P15","No sabe",0.012,0.024,0.011,0.085
"P24","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.108,0.083,0.454,0.332
"P24","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.052,0.023,0.235,0.086
"P24","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.428,0.422,0.099,0.212
"P24","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.291,0.07,0.044,0.083
"P24","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.062,0.334,0.045,0.068
"P24","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.02,0.004,0.04,0.027
"P24","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.004,0.012,0.014,0.014
"P24","Otros",0.014,0.024,0.026,0.027
"P24","En blanco",0.01,0.016,0.033,0.016
"P24","No sabe",0.011,0.012,0.01,0.135
"P25","Totalmente seguro",0.615,0.658,0.71,0.516
"P25","Bastante seguro",0.199,0.176,0.16,0.151
"P25","Algo seguro",0.119,0.092,0.071,0.14
"P25","Para nada seguro",0.067,0.074,0.059,0.193
"P26","Tiene Decidido que va a ir a votar",0.913,0.889,0.916,0.882
"P26","Tiene dudas sobre si va a ir a  votar",0.058,0.087,0.063,0.078
"P26","Tiene Decidido que no va a ir a votar",0.029,0.024,0.021,0.04
"P31","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.155,0.077,0.713,0.426
"P31","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio",0.656,0.272,0.082,0.269
"P31","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.056,0.597,0.038,0.028
"P31","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.019,0.004,0.071,0.034
"P31","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais",0.026,0.019,0.02,0.032
"P31","Otros",0.057,0.017,0.03,0.046
"P31","En blanco",0.016,0,0.025,0.017
"P31","No sabe",0.015,0.014,0.021,0.148
"P32","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria",0.157,0.056,0.733,0.458
"P32","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio",0.713,0.143,0.046,0.158
"P32","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza",0.058,0.704,0.027,0.052
"P32","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda",0.016,0.003,0.05,0.032
