"var","categoria","Sergio Massa Presidente, Agustin Rossi Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria","Juan Grabois Presidente, Paula Abal Medina Vicepresidente y Axel Kicillof gobernador, Veronica Magario vicegobernadora; por Unión por la Patria","Patricia Bullrich Presidenta, Luis Petri Vicepresidente y Nestor Grindetti gobernador, Miguel Fernandez vicegobernador; por Juntos por el Cambio","Horacio Rodríguez Larreta Presidente, Gerardo Morales Vicepresidente y Diego Santilli gobernador, Gustavo Posse vicegobernador; por Juntos por el Cambio","Javier Milei Presidente, Victoria Villarruel Vicepresidenta y Carolina Piparo gobernadora, Francisco Oneto vicegobernador; por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente, Alejandro Bodart a gobernador y Jimena Letieri por el Frente de Izquierda","Juan Schiaretti a presidente, Florencio Randazzo vicepresidente por Hacemos por Nuestro Pais","Otros","En blanco","No sabe"
"P05","Mucho",0.489,0.505,0.396,0.265,0.302,0.327,0.179,0.391,0.434,0.203
"P05","Bastante",0.357,0.361,0.409,0.52,0.453,0.373,0.352,0.412,0.259,0.338
"P05","Poco",0.128,0.091,0.172,0.176,0.179,0.227,0.223,0.066,0.236,0.318
"P05","Nada",0.012,0.037,0.022,0.026,0.064,0.073,0.217,0.131,0.034,0.141
"P05","No sabe",0.014,0.006,0.001,0.013,0.002,0,0.029,0,0.037,0
"P06","Siempre",0.252,0.272,0.267,0.191,0.211,0.156,0.076,0.19,0.203,0.164
"P06","Casi siempre",0.451,0.498,0.432,0.49,0.383,0.444,0.6,0.393,0.41,0.355
"P06","Casi nunca",0.188,0.201,0.218,0.235,0.309,0.333,0.161,0.332,0.132,0.43
"P06","Nunca, pero esta es una excepción",0.109,0.029,0.083,0.084,0.097,0.067,0.163,0.085,0.255,0.051
"P08","Unión por la Patria",0.696,0.678,0.1,0.139,0.149,0.264,0.185,0.172,0.039,0.073
