"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Si",0.517,0.553,0.483,0.367,0.538,0.54,0.544,0.555,0.485,0.525,0.51,0.516,0.446,0.532,0.505,0.552,0.491
"No",0.483,0.447,0.517,0.633,0.462,0.46,0.456,0.445,0.515,0.475,0.49,0.484,0.554,0.468,0.495,0.448,0.509
