"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"A Sergio Massa a presidente y a Victoria Tolosa Paz a vicepresidenta por el Frente de Todos",0.243,0.25,0.236,0.207,0.258,0.263,0.219,0.231,0.247,0.249,0.221,0.227,0.291,0.259,0.511,0.04,0.12
"A Horacio Rodríguez Larreta a presidente y a Martín Lousteau a vicepresidente por Juntos por el Cambio",0.119,0.106,0.131,0.097,0.116,0.105,0.165,0.106,0.116,0.135,0.099,0.169,0.082,0.122,0.055,0.193,0.195
"A Patricia Bullrich a presidenta y a Maximiliano Abad a vicepresidente por Juntos por el Cambio",0.224,0.19,0.257,0.174,0.146,0.293,0.348,0.224,0.219,0.231,0.232,0.225,0.255,0.214,0.061,0.439,0.28
"A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.214,0.275,0.154,0.314,0.252,0.155,0.11,0.224,0.228,0.186,0.232,0.207,0.229,0.199,0.115,0.264,0.206
"A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.043,0.043,0.043,0.062,0.049,0.03,0.027,0.044,0.04,0.044,0.046,0.025,0.018,0.05,0.052,0.009,0.043
"En blanco",0.042,0.046,0.039,0.051,0.045,0.045,0.025,0.042,0.037,0.049,0.046,0.019,0.024,0.05,0.062,0.01,0.019
"No sabe",0.115,0.09,0.14,0.095,0.134,0.109,0.106,0.129,0.113,0.106,0.124,0.128,0.101,0.106,0.144,0.045,0.137
