"var","categoria","Los votaría","Puede que los vote","Nunca los votaría","No sabe"
"P05","A Sergio Massa a presidente y a Juan Manzur a vicepresidente por el Frente de Todos",0.188,0.185,0.41,0.086
"P05","A Horacio Rodríguez Larreta a presidente y a Gerardo Morales a vicepresidente por Juntos por el Cambio",0.424,0.146,0.094,0.047
"P05","A Patricia Bullrich a presidenta y a Rodrigo De Loredo a vicepresidente por Juntos por el Cambio",0.311,0.461,0.099,0.212
"P05","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.041,0.133,0.201,0.312
"P05","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.005,0.016,0.054,0.038
"P05","En blanco",0.002,0.005,0.047,0.038
"P05","No sabe",0.029,0.054,0.095,0.267
"P06","A Sergio Massa a presidente y a Victoria Tolosa Paz a vicepresidenta por el Frente de Todos",0.08,0.068,0.425,0.048
"P06","A Horacio Rodríguez Larreta a presidente y a Martín Lousteau a vicepresidente por Juntos por el Cambio",0.407,0.167,0.025,0.065
"P06","A Patricia Bullrich a presidenta y a Maximiliano Abad a vicepresidente por Juntos por el Cambio",0.389,0.5,0.085,0.185
"P06","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.087,0.197,0.239,0.377
"P06","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.005,0.01,0.062,0.03
"P06","En blanco",0.01,0.012,0.054,0.023
"P06","No sabe",0.022,0.046,0.11,0.272
"P07","A Sergio Massa a presidente y a Wado De Pedro a vicepresidente por el Frente de Todos",0.069,0.06,0.459,0.064
"P07","A Horacio Rodríguez Larreta a presidente y a Soledad Acuña a vicepresidenta por Juntos por el Cambio",0.38,0.139,0.01,0.031
"P07","A Patricia Bullrich a presidenta y a Ricardo López Murphy a vicepresidente por Juntos por el Cambio",0.402,0.535,0.107,0.232
"P07","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.082,0.2,0.239,0.338
"P07","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.004,0.011,0.049,0.032
"P07","En blanco",0.017,0.013,0.051,0.044
"P07","No sabe",0.046,0.042,0.085,0.259
"P08","Los votaría",0.598,0.344,0.12,0.154
"P08","Puede que los vote",0.198,0.396,0.098,0.129
"P08","Nunca los votaría",0.146,0.189,0.744,0.155
"P08","No sabe",0.058,0.071,0.038,0.562
"P10","Los votaría",0.582,0.299,0.072,0.109
"P10","Puede que los vote",0.22,0.465,0.089,0.1
"P10","Nunca los votaría",0.137,0.156,0.811,0.104
"P10","No sabe",0.061,0.08,0.028,0.687
"P11","Los votaría",0.145,0.089,0.255,0.02
"P11","Puede que los vote",0.078,0.128,0.199,0.081
"P11","Nunca los votaría",0.742,0.741,0.503,0.523
"P11","No sabe",0.035,0.042,0.043,0.376
"P12","Los votaría",0.465,0.393,0.133,0.182
"P12","Puede que los vote",0.233,0.309,0.094,0.201
"P12","Nunca los votaría",0.262,0.253,0.753,0.191
"P12","No sabe",0.04,0.045,0.02,0.426
"P13","Los votaría",0.562,0.196,0.038,0.043
"P13","Puede que los vote",0.298,0.659,0.055,0.226
"P13","Nunca los votaría",0.116,0.109,0.885,0.235
"P13","No sabe",0.024,0.036,0.022,0.496
"P14","Los votaría",0.365,0.291,0.056,0.123
"P14","Puede que los vote",0.313,0.447,0.088,0.169
"P14","Nunca los votaría",0.205,0.192,0.826,0.176
"P14","No sabe",0.117,0.07,0.03,0.532
"P15","Los votaría",0.1,0.07,0.275,0.034
"P15","Puede que los vote",0.096,0.111,0.196,0.048
"P15","Nunca los votaría",0.768,0.785,0.482,0.565
"P15","No sabe",0.036,0.034,0.047,0.353
"P16","Los votaría",0.377,0.282,0.085,0.127
"P16","Puede que los vote",0.328,0.338,0.113,0.161
"P16","Nunca los votaría",0.237,0.293,0.768,0.239
"P16","No sabe",0.058,0.087,0.034,0.473
"P17","Los votaría",0.447,0.126,0.019,0.048
"P17","Puede que los vote",0.311,0.624,0.05,0.164
"P17","Nunca los votaría",0.17,0.144,0.906,0.272
"P17","No sabe",0.072,0.106,0.025,0.516
"P18","Los votaría",0.479,0.42,0.076,0.173
"P18","Puede que los vote",0.279,0.327,0.091,0.245
"P18","Nunca los votaría",0.172,0.2,0.816,0.181
"P18","No sabe",0.07,0.053,0.017,0.401
"P19","Los votaría",0.085,0.092,0.359,0.071
"P19","Puede que los vote",0.07,0.093,0.155,0.063
"P19","Nunca los votaría",0.823,0.766,0.466,0.577
"P19","No sabe",0.022,0.049,0.02,0.289
"P20","Los votaría",0.425,0.394,0.147,0.18
"P20","Puede que los vote",0.255,0.317,0.098,0.218
"P20","Nunca los votaría",0.273,0.255,0.737,0.246
"P20","No sabe",0.047,0.034,0.018,0.356
"P21","Ricardo López Murphy",0.297,0.288,0.111,0.27
"P21","Rodolfo Suárez",0.059,0.096,0.021,0.042
"P21","Rodrigo de Loredo",0.125,0.128,0.162,0.099
"P21","Maximiliano Abad",0.045,0.015,0.02,0.127
"P21","Luis Naidenoff",0.06,0.036,0.011,0.018
"P21","Martín Tetaz",0.116,0.113,0.039,0.042
"P21","José Luis Espert",0.141,0.19,0.091,0.109
"P21","No sabe",0.157,0.134,0.545,0.293
"P22","Gustavo Valdés",0.079,0.086,0.021,0.028
"P22","Gerardo Morales",0.317,0.19,0.031,0.117
"P22","María Eugenia Vidal",0.205,0.255,0.109,0.126
"P22","Cristian Ritondo",0.028,0.055,0.025,0.072
"P22","Emilio Monzó",0.053,0.058,0.019,0.024
"P22","Martín Lousteau",0.163,0.187,0.059,0.156
"P22","Juan Schiaretti",0.042,0.036,0.039,0.074
"P22","Soledad Acuña",0.059,0.044,0.263,0.088
"P22","No sabe",0.054,0.089,0.434,0.315
"P23","Wado De Pedro",0.049,0.076,0.328,0.046
"P23","Victoria Tolosa Paz",0.096,0.105,0.112,0.073
"P23","Sergio Uñac",0.055,0.069,0.062,0.034
"P23","Fernanda Raverta",0.023,0.017,0.024,0.079
"P23","Anabel Fernández Sagasti",0.02,0.013,0.036,0.025
"P23","Gustavo Bordet",0.032,0.022,0.016,0.032
"P23","Juan Manzur",0.045,0.05,0.049,0.012
"P23","No sabe",0.68,0.648,0.373,0.699
"P24","Si",0.502,0.56,0.508,0.48
"P24","No",0.498,0.44,0.492,0.52
