"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"A Sergio Massa a presidente y a Juan Manzur a vicepresidente por el Frente de Todos",0.278,0.287,0.27,0.257,0.269,0.31,0.276,0.294,0.276,0.268,0.265,0.302,0.299,0.278,0.464,0.183,0.113
"A Horacio Rodríguez Larreta a presidente y a Gerardo Morales a vicepresidente por Juntos por el Cambio",0.149,0.147,0.151,0.13,0.159,0.127,0.178,0.178,0.143,0.129,0.127,0.184,0.097,0.161,0.154,0.178,0.133
"A Patricia Bullrich a presidenta y a Rodrigo De Loredo a vicepresidente por Juntos por el Cambio",0.21,0.179,0.24,0.148,0.142,0.282,0.322,0.181,0.21,0.237,0.227,0.224,0.215,0.191,0.054,0.408,0.38
"A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.175,0.227,0.126,0.265,0.214,0.122,0.071,0.159,0.189,0.172,0.189,0.153,0.24,0.162,0.097,0.189,0.179
"A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.034,0.032,0.035,0.036,0.043,0.027,0.02,0.019,0.037,0.042,0.034,0.021,0.013,0.041,0.03,0.005,0.047
"En blanco",0.04,0.041,0.038,0.053,0.041,0.036,0.027,0.037,0.04,0.042,0.033,0.031,0.014,0.052,0.053,0.009,0.023
"No sabe",0.114,0.087,0.14,0.111,0.132,0.096,0.106,0.132,0.105,0.11,0.125,0.085,0.122,0.115,0.148,0.028,0.125
