"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Gustavo Valdés",0.046,0.041,0.051,0.029,0.045,0.044,0.063,0.083,0.042,0.024,0.041,0.093,0.041,0.037,0.014,0.078,0.048
"Gerardo Morales",0.123,0.126,0.12,0.126,0.105,0.13,0.151,0.111,0.123,0.131,0.113,0.209,0.142,0.103,0.067,0.176,0.146
"María Eugenia Vidal",0.159,0.146,0.172,0.148,0.165,0.151,0.165,0.161,0.176,0.139,0.162,0.159,0.149,0.158,0.076,0.242,0.145
"Cristian Ritondo",0.035,0.034,0.036,0.037,0.031,0.031,0.05,0.037,0.038,0.031,0.035,0,0.037,0.045,0.02,0.054,0.015
"Emilio Monzó",0.034,0.039,0.029,0.007,0.021,0.058,0.043,0.037,0.024,0.043,0.031,0.048,0.023,0.034,0.025,0.04,0.05
"Martín Lousteau",0.112,0.102,0.121,0.126,0.116,0.106,0.101,0.112,0.09,0.136,0.12,0.072,0.096,0.119,0.083,0.125,0.225
"Juan Schiaretti",0.041,0.057,0.026,0.048,0.04,0.027,0.06,0.044,0.035,0.047,0.055,0.056,0.055,0.024,0.03,0.041,0.101
"Soledad Acuña",0.167,0.164,0.171,0.188,0.2,0.147,0.113,0.145,0.171,0.178,0.15,0.139,0.146,0.192,0.296,0.062,0.092
"No sabe",0.283,0.291,0.274,0.291,0.277,0.306,0.254,0.27,0.301,0.271,0.293,0.224,0.311,0.288,0.389,0.182,0.178
