"var","categoria","A Sergio Massa a presidente y a Victoria Tolosa Paz a vicepresidenta por el Frente de Todos","A Horacio Rodríguez Larreta a presidente y a Martín Lousteau a vicepresidente por Juntos por el Cambio","A Patricia Bullrich a presidenta y a Maximiliano Abad a vicepresidente por Juntos por el Cambio","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza","A los candidatos a presidente y vicepresidente del Frente de Izquierda","En blanco","No sabe"
"P05","A Sergio Massa a presidente y a Juan Manzur a vicepresidente por el Frente de Todos",0.851,0.07,0.087,0.128,0.163,0.087,0.077
"P05","A Horacio Rodríguez Larreta a presidente y a Gerardo Morales a vicepresidente por Juntos por el Cambio",0.087,0.745,0.068,0.03,0.09,0.063,0.098
"P05","A Patricia Bullrich a presidenta y a Rodrigo De Loredo a vicepresidente por Juntos por el Cambio",0.008,0.093,0.809,0.045,0.015,0.02,0.077
"P05","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.006,0.019,0.011,0.751,0.058,0.023,0.017
"P05","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.014,0.022,0.003,0.011,0.565,0.006,0.003
"P05","En blanco",0.004,0.009,0.008,0.01,0.041,0.577,0.053
"P05","No sabe",0.03,0.042,0.014,0.025,0.068,0.224,0.675
"P07","A Sergio Massa a presidente y a Wado De Pedro a vicepresidente por el Frente de Todos",0.939,0.052,0.002,0.005,0.143,0.126,0.116
"P07","A Horacio Rodríguez Larreta a presidente y a Soledad Acuña a vicepresidenta por Juntos por el Cambio",0.012,0.682,0.035,0.01,0.012,0.034,0.023
"P07","A Patricia Bullrich a presidenta y a Ricardo López Murphy a vicepresidente por Juntos por el Cambio",0.014,0.134,0.914,0.062,0.02,0.037,0.086
"P07","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.012,0.024,0.019,0.906,0.084,0.011,0.038
"P07","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.005,0.018,0.001,0.003,0.713,0.059,0.007
"P07","En blanco",0.007,0.024,0.004,0,0.014,0.653,0.072
"P07","No sabe",0.011,0.066,0.025,0.014,0.014,0.08,0.658
"P08","Los votaría",0.128,0.208,0.686,0.13,0.04,0.049,0.079
"P08","Puede que los vote",0.03,0.418,0.186,0.283,0.02,0.092,0.063
"P08","Nunca los votaría",0.827,0.269,0.113,0.368,0.82,0.802,0.613
"P08","No sabe",0.015,0.105,0.015,0.219,0.12,0.057,0.245
"P09","Los votaría",0.053,0.582,0.301,0.071,0.021,0.051,0.04
"P09","Puede que los vote",0.05,0.261,0.421,0.173,0.051,0.063,0.091
"P09","Nunca los votaría",0.881,0.11,0.206,0.603,0.86,0.83,0.621
"P09","No sabe",0.016,0.047,0.072,0.153,0.068,0.056,0.248
"P10","Los votaría",0.05,0.22,0.639,0.088,0.043,0.014,0.009
"P10","Puede que los vote",0.021,0.36,0.269,0.291,0.02,0.036,0.093
"P10","Nunca los votaría",0.909,0.295,0.043,0.436,0.874,0.889,0.651
"P10","No sabe",0.02,0.125,0.049,0.185,0.063,0.061,0.247
"P11","Los votaría",0.526,0.05,0.089,0.044,0.069,0.081,0.039
"P11","Puede que los vote",0.262,0.092,0.05,0.097,0.309,0.153,0.245
"P11","Nunca los votaría",0.171,0.773,0.848,0.786,0.508,0.7,0.476
"P11","No sabe",0.041,0.085,0.013,0.073,0.114,0.066,0.24
"P12","Los votaría",0.079,0.216,0.705,0.133,0.056,0.024,0.056
"P12","Puede que los vote",0.054,0.313,0.162,0.298,0.056,0.094,0.101
"P12","Nunca los votaría",0.846,0.383,0.116,0.478,0.803,0.848,0.662
