"var","categoria","A Sergio Massa a presidente y a Juan Manzur a vicepresidente por el Frente de Todos","A Horacio Rodríguez Larreta a presidente y a Gerardo Morales a vicepresidente por Juntos por el Cambio","A Patricia Bullrich a presidenta y a Rodrigo De Loredo a vicepresidente por Juntos por el Cambio","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza","A los candidatos a presidente y vicepresidente del Frente de Izquierda","En blanco","No sabe"
"P06","A Sergio Massa a presidente y a Victoria Tolosa Paz a vicepresidenta por el Frente de Todos",0.734,0.141,0.01,0.008,0.104,0.024,0.065
"P06","A Horacio Rodríguez Larreta a presidente y a Martín Lousteau a vicepresidente por Juntos por el Cambio",0.03,0.594,0.052,0.013,0.078,0.027,0.045
"P06","A Patricia Bullrich a presidenta y a Maximiliano Abad a vicepresidente por Juntos por el Cambio",0.069,0.102,0.845,0.014,0.022,0.045,0.028
"P06","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.097,0.043,0.045,0.934,0.068,0.055,0.049
"P06","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.025,0.026,0.003,0.014,0.71,0.046,0.026
"P06","En blanco",0.013,0.018,0.004,0.006,0.007,0.642,0.086
"P06","No sabe",0.032,0.076,0.041,0.011,0.011,0.161,0.701
"P07","A Sergio Massa a presidente y a Wado De Pedro a vicepresidente por el Frente de Todos",0.739,0.185,0.011,0.008,0.135,0.11,0.151
"P07","A Horacio Rodríguez Larreta a presidente y a Soledad Acuña a vicepresidenta por Juntos por el Cambio",0.035,0.5,0.031,0.008,0.024,0.003,0.044
"P07","A Patricia Bullrich a presidenta y a Ricardo López Murphy a vicepresidente por Juntos por el Cambio",0.091,0.102,0.885,0.048,0.037,0.031,0.057
"P07","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.097,0.063,0.04,0.9,0.135,0.058,0.044
"P07","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.008,0.018,0.003,0.014,0.627,0.051,0.03
"P07","En blanco",0.012,0.023,0.004,0.002,0.014,0.585,0.109
