"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Los votaría",0.251,0.256,0.246,0.193,0.194,0.296,0.35,0.304,0.233,0.232,0.244,0.276,0.366,0.232,0.123,0.423,0.217
"Puede que los vote",0.18,0.178,0.181,0.23,0.171,0.16,0.191,0.155,0.173,0.206,0.192,0.214,0.101,0.172,0.061,0.279,0.247
"Nunca los votaría",0.52,0.527,0.514,0.511,0.592,0.497,0.405,0.478,0.541,0.528,0.508,0.472,0.462,0.552,0.787,0.26,0.469
"No sabe",0.049,0.039,0.059,0.066,0.043,0.047,0.054,0.063,0.053,0.034,0.056,0.038,0.071,0.044,0.029,0.038,0.067
