"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"A Sergio Massa a presidente y a Wado De Pedro a vicepresidente por el Frente de Todos",0.271,0.272,0.271,0.224,0.297,0.288,0.24,0.268,0.267,0.28,0.238,0.256,0.308,0.298,0.582,0.031,0.119
"A Horacio Rodríguez Larreta a presidente y a Soledad Acuña a vicepresidenta por Juntos por el Cambio",0.1,0.09,0.109,0.071,0.112,0.078,0.133,0.102,0.103,0.094,0.088,0.125,0.091,0.102,0.05,0.16,0.153
"A Patricia Bullrich a presidenta y a Ricardo López Murphy a vicepresidente por Juntos por el Cambio",0.25,0.213,0.285,0.177,0.165,0.347,0.377,0.251,0.226,0.281,0.263,0.248,0.25,0.241,0.066,0.494,0.353
"A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.21,0.277,0.146,0.31,0.255,0.144,0.099,0.234,0.219,0.177,0.237,0.195,0.227,0.19,0.101,0.262,0.187
"A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.035,0.034,0.036,0.061,0.039,0.022,0.018,0.035,0.033,0.037,0.041,0.014,0.018,0.04,0.037,0.005,0.039
"En blanco",0.039,0.046,0.033,0.056,0.043,0.034,0.023,0.035,0.039,0.043,0.045,0.029,0.026,0.041,0.051,0.016,0.02
"No sabe",0.095,0.068,0.12,0.101,0.089,0.087,0.11,0.075,0.113,0.088,0.088,0.133,0.08,0.088,0.113,0.032,0.129
