"var","categoria","Los votaría","Puede que los vote","Nunca los votaría","No sabe"
"P05","A Sergio Massa a presidente y a Juan Manzur a vicepresidente por el Frente de Todos",0.149,0.162,0.45,0.103
"P05","A Horacio Rodríguez Larreta a presidente y a Gerardo Morales a vicepresidente por Juntos por el Cambio",0.14,0.221,0.143,0.148
"P05","A Patricia Bullrich a presidenta y a Rodrigo De Loredo a vicepresidente por Juntos por el Cambio",0.631,0.321,0.028,0.139
"P05","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.05,0.221,0.167,0.333
"P05","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.005,0.023,0.058,0.024
"P05","En blanco",0.001,0.007,0.05,0.016
"P05","No sabe",0.024,0.045,0.104,0.237
"P06","A Sergio Massa a presidente y a Victoria Tolosa Paz a vicepresidenta por el Frente de Todos",0.063,0.03,0.471,0.052
"P06","A Horacio Rodríguez Larreta a presidente y a Martín Lousteau a vicepresidente por Juntos por el Cambio",0.131,0.242,0.072,0.156
"P06","A Patricia Bullrich a presidenta y a Maximiliano Abad a vicepresidente por Juntos por el Cambio",0.702,0.333,0.02,0.112
"P06","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.09,0.336,0.183,0.396
"P06","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.008,0.004,0.069,0.025
"P06","En blanco",0.002,0.007,0.062,0.022
"P06","No sabe",0.004,0.048,0.123,0.237
"P07","A Sergio Massa a presidente y a Wado De Pedro a vicepresidente por el Frente de Todos",0.055,0.015,0.511,0.046
"P07","A Horacio Rodríguez Larreta a presidente y a Soledad Acuña a vicepresidenta por Juntos por el Cambio",0.135,0.192,0.053,0.118
"P07","A Patricia Bullrich a presidenta y a Ricardo López Murphy a vicepresidente por Juntos por el Cambio",0.696,0.427,0.031,0.145
"P07","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.09,0.309,0.191,0.366
"P07","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.006,0.008,0.055,0.025
"P07","En blanco",0.003,0.012,0.058,0.054
"P07","No sabe",0.015,0.037,0.101,0.246
"P08","Los votaría",0.778,0.24,0.071,0.085
"P08","Puede que los vote",0.103,0.573,0.048,0.263
"P08","Nunca los votaría",0.103,0.095,0.849,0.107
"P08","No sabe",0.016,0.092,0.032,0.545
"P09","Los votaría",0.49,0.21,0.048,0.107
"P09","Puede que los vote",0.276,0.483,0.059,0.155
"P09","Nunca los votaría",0.19,0.261,0.876,0.155
"P09","No sabe",0.044,0.046,0.017,0.583
"P11","Los votaría",0.192,0.005,0.279,0.01
"P11","Puede que los vote",0.03,0.199,0.209,0.046
"P11","Nunca los votaría",0.771,0.762,0.462,0.566
"P11","No sabe",0.007,0.034,0.05,0.378
"P12","Los votaría",0.725,0.307,0.058,0.086
"P12","Puede que los vote",0.142,0.476,0.055,0.235
"P12","Nunca los votaría",0.122,0.19,0.873,0.184
"P12","No sabe",0.011,0.027,0.014,0.495
"P13","Los votaría",0.384,0.242,0.051,0.112
"P13","Puede que los vote",0.379,0.475,0.081,0.222
"P13","Nunca los votaría",0.196,0.254,0.848,0.249
"P13","No sabe",0.041,0.029,0.02,0.417
"P14","Los votaría",0.603,0.138,0.014,0.032
"P14","Puede que los vote",0.245,0.63,0.035,0.172
"P14","Nunca los votaría",0.092,0.148,0.94,0.158
"P14","No sabe",0.06,0.084,0.011,0.638
"P15","Los votaría",0.124,0.031,0.297,0.013
"P15","Puede que los vote",0.053,0.11,0.225,0.037
"P15","Nunca los votaría",0.799,0.829,0.425,0.634
"P15","No sabe",0.024,0.03,0.053,0.316
"P16","Los votaría",0.609,0.128,0.046,0.029
"P16","Puede que los vote",0.201,0.589,0.053,0.198
"P16","Nunca los votaría",0.156,0.203,0.877,0.246
"P16","No sabe",0.034,0.08,0.024,0.527
"P17","Los votaría",0.319,0.151,0.032,0.06
"P17","Puede que los vote",0.4,0.449,0.067,0.181
"P17","Nunca los votaría",0.213,0.309,0.877,0.289
"P17","No sabe",0.068,0.091,0.024,0.47
"P18","Los votaría",0.709,0.276,0.021,0.108
"P18","Puede que los vote",0.184,0.496,0.044,0.309
"P18","Nunca los votaría",0.066,0.183,0.922,0.145
"P18","No sabe",0.041,0.045,0.013,0.438
"P19","Los votaría",0.097,0.05,0.395,0.044
"P19","Puede que los vote",0.044,0.077,0.182,0.05
"P19","Nunca los votaría",0.837,0.835,0.4,0.652
"P19","No sabe",0.022,0.038,0.023,0.254
"P20","Los votaría",0.688,0.273,0.077,0.127
"P20","Puede que los vote",0.134,0.458,0.059,0.371
"P20","Nunca los votaría",0.157,0.225,0.845,0.19
"P20","No sabe",0.021,0.044,0.019,0.312
"P21","Ricardo López Murphy",0.371,0.318,0.056,0.24
"P21","Rodolfo Suárez",0.057,0.106,0.012,0.067
"P21","Rodrigo de Loredo",0.15,0.119,0.158,0.101
"P21","Maximiliano Abad",0.025,0.016,0.025,0.115
"P21","Luis Naidenoff",0.059,0.039,0.008,0.008
"P21","Martín Tetaz",0.1,0.12,0.038,0.051
"P21","José Luis Espert",0.181,0.175,0.068,0.173
"P21","No sabe",0.057,0.107,0.635,0.245
"P22","Gustavo Valdés",0.084,0.079,0.02,0.021
"P22","Gerardo Morales",0.176,0.21,0.051,0.195
"P22","María Eugenia Vidal",0.248,0.223,0.1,0.122
"P22","Cristian Ritondo",0.07,0.034,0.013,0.081
"P22","Emilio Monzó",0.058,0.047,0.02,0.019
"P22","Martín Lousteau",0.13,0.122,0.085,0.197
"P22","Juan Schiaretti",0.041,0.063,0.03,0.058
"P22","Soledad Acuña",0.061,0.048,0.282,0.056
"P22","No sabe",0.132,0.174,0.399,0.251
"P23","Wado De Pedro",0.057,0.055,0.359,0.023
"P23","Victoria Tolosa Paz",0.079,0.088,0.124,0.103
"P23","Sergio Uñac",0.05,0.064,0.069,0.031
"P23","Fernanda Raverta",0.023,0.015,0.025,0.062
"P23","Anabel Fernández Sagasti",0.014,0.023,0.034,0.035
"P23","Gustavo Bordet",0.02,0.016,0.018,0.062
"P23","Juan Manzur",0.049,0.033,0.056,0.007
"P23","No sabe",0.708,0.706,0.315,0.677
"P24","Si",0.502,0.573,0.508,0.464
"P24","No",0.498,0.427,0.492,0.536
