"var","categoria","Los votaría","Puede que los vote","Nunca los votaría","No sabe"
"P05","A Sergio Massa a presidente y a Juan Manzur a vicepresidente por el Frente de Todos",0.126,0.112,0.445,0.185
"P05","A Horacio Rodríguez Larreta a presidente y a Gerardo Morales a vicepresidente por Juntos por el Cambio",0.144,0.226,0.144,0.145
"P05","A Patricia Bullrich a presidenta y a Rodrigo De Loredo a vicepresidente por Juntos por el Cambio",0.668,0.324,0.033,0.147
"P05","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.046,0.259,0.169,0.281
"P05","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.002,0.007,0.055,0.049
"P05","En blanco",0.001,0.013,0.05,0.004
"P05","No sabe",0.013,0.059,0.104,0.189
"P06","A Sergio Massa a presidente y a Victoria Tolosa Paz a vicepresidenta por el Frente de Todos",0.039,0.02,0.454,0.073
"P06","A Horacio Rodríguez Larreta a presidente y a Martín Lousteau a vicepresidente por Juntos por el Cambio",0.143,0.254,0.063,0.16
"P06","A Patricia Bullrich a presidenta y a Maximiliano Abad a vicepresidente por Juntos por el Cambio",0.709,0.33,0.033,0.165
"P06","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.092,0.32,0.2,0.341
"P06","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.002,0.009,0.067,0.056
"P06","En blanco",0.001,0.011,0.064,0.011
"P06","No sabe",0.014,0.056,0.119,0.194
"P07","A Sergio Massa a presidente y a Wado De Pedro a vicepresidente por el Frente de Todos",0.03,0.016,0.495,0.069
"P07","A Horacio Rodríguez Larreta a presidente y a Soledad Acuña a vicepresidenta por Juntos por el Cambio",0.119,0.218,0.047,0.138
"P07","A Patricia Bullrich a presidenta y a Ricardo López Murphy a vicepresidente por Juntos por el Cambio",0.763,0.367,0.042,0.196
"P07","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.069,0.31,0.206,0.303
"P07","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.001,0.011,0.052,0.053
"P07","En blanco",0.001,0.023,0.054,0.017
"P07","No sabe",0.017,0.055,0.104,0.224
"P08","Los votaría",0.708,0.268,0.074,0.176
"P08","Puede que los vote",0.165,0.517,0.07,0.226
"P08","Nunca los votaría",0.109,0.111,0.804,0.153
"P08","No sabe",0.018,0.104,0.052,0.445
"P09","Los votaría",0.378,0.269,0.057,0.201
"P09","Puede que los vote",0.382,0.363,0.077,0.177
"P09","Nunca los votaría",0.185,0.271,0.841,0.152
"P09","No sabe",0.055,0.097,0.025,0.47
"P10","Los votaría",0.675,0.215,0.027,0.141
"P10","Puede que los vote",0.235,0.518,0.066,0.138
"P10","Nunca los votaría",0.048,0.122,0.883,0.109
"P10","No sabe",0.042,0.145,0.024,0.612
"P11","Los votaría",0.105,0.056,0.265,0.043
"P11","Puede que los vote",0.038,0.104,0.231,0.017
"P11","Nunca los votaría",0.837,0.793,0.446,0.619
"P11","No sabe",0.02,0.047,0.058,0.321
"P12","Los votaría",0.712,0.265,0.068,0.118
"P12","Puede que los vote",0.138,0.52,0.076,0.141
"P12","Nunca los votaría",0.122,0.155,0.84,0.258
"P12","No sabe",0.028,0.06,0.016,0.483
"P13","Los votaría",0.371,0.249,0.047,0.15
"P13","Puede que los vote",0.409,0.427,0.098,0.262
"P13","Nunca los votaría",0.173,0.265,0.839,0.167
"P13","No sabe",0.047,0.059,0.016,0.421
"P14","Los votaría",0.611,0.109,0.013,0.066
"P14","Puede que los vote",0.266,0.612,0.061,0.145
"P14","Nunca los votaría",0.058,0.153,0.908,0.177
"P14","No sabe",0.065,0.126,0.018,0.612
"P15","Los votaría",0.102,0.027,0.272,0.066
"P15","Puede que los vote",0.052,0.105,0.224,0.027
"P15","Nunca los votaría",0.815,0.836,0.449,0.57
"P15","No sabe",0.031,0.032,0.055,0.337
"P16","Los votaría",0.612,0.109,0.041,0.044
"P16","Puede que los vote",0.257,0.61,0.055,0.049
"P16","Nunca los votaría",0.106,0.191,0.874,0.24
"P16","No sabe",0.025,0.09,0.03,0.667
"P17","Los votaría",0.372,0.097,0.03,0.035
"P17","Puede que los vote",0.401,0.529,0.056,0.091
"P17","Nunca los votaría",0.172,0.28,0.892,0.188
"P17","No sabe",0.055,0.094,0.022,0.686
"P19","Los votaría",0.144,0.016,0.372,0.044
"P19","Puede que los vote",0.025,0.141,0.165,0.025
"P19","Nunca los votaría",0.816,0.811,0.442,0.515
"P19","No sabe",0.015,0.032,0.021,0.416
"P20","Los votaría",0.721,0.207,0.076,0.132
"P20","Puede que los vote",0.162,0.544,0.061,0.168
"P20","Nunca los votaría",0.09,0.204,0.845,0.267
"P20","No sabe",0.027,0.045,0.018,0.433
"P21","Ricardo López Murphy",0.401,0.284,0.069,0.166
"P21","Rodolfo Suárez",0.054,0.111,0.016,0.064
"P21","Rodrigo de Loredo",0.125,0.127,0.161,0.115
"P21","Maximiliano Abad",0.013,0.028,0.025,0.161
"P21","Luis Naidenoff",0.042,0.046,0.012,0.019
"P21","Martín Tetaz",0.147,0.081,0.032,0.046
"P21","José Luis Espert",0.179,0.175,0.075,0.159
"P21","No sabe",0.039,0.148,0.61,0.27
"P22","Gustavo Valdés",0.085,0.057,0.027,0.023
"P22","Gerardo Morales",0.192,0.198,0.063,0.132
"P22","María Eugenia Vidal",0.246,0.248,0.089,0.14
"P22","Cristian Ritondo",0.068,0.034,0.017,0.069
"P22","Emilio Monzó",0.053,0.041,0.023,0.027
"P22","Martín Lousteau",0.141,0.147,0.078,0.181
"P22","Juan Schiaretti",0.043,0.05,0.036,0.057
"P22","Soledad Acuña",0.054,0.042,0.279,0.031
"P22","No sabe",0.118,0.183,0.388,0.34
"P23","Wado De Pedro",0.05,0.062,0.345,0.017
"P23","Victoria Tolosa Paz",0.055,0.097,0.133,0.078
"P23","Sergio Uñac",0.061,0.033,0.071,0.059
"P23","Fernanda Raverta",0.03,0.011,0.025,0.069
"P23","Anabel Fernández Sagasti",0.019,0.017,0.035,0.032
"P23","Gustavo Bordet",0.012,0.035,0.02,0.037
"P23","Juan Manzur",0.036,0.041,0.051,0.06
"P23","No sabe",0.737,0.704,0.32,0.648
"P24","Si",0.517,0.539,0.527,0.341
"P24","No",0.483,0.461,0.473,0.659
