"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Buenos Aires","Fernandez","Macri","Lavagna"
"Wado De Pedro",0.204,0.203,0.205,0.15,0.242,0.205,0.155,0.2,0.186,0.227,0.194,0.163,0.177,0.228,0.408,0.063,0.059
"Victoria Tolosa Paz",0.105,0.09,0.118,0.138,0.118,0.094,0.072,0.125,0.1,0.096,0.084,0.122,0.114,0.115,0.121,0.075,0.134
"Sergio Uñac",0.061,0.065,0.057,0.071,0.067,0.048,0.057,0.076,0.059,0.052,0.053,0.095,0.052,0.057,0.057,0.051,0.132
"Fernanda Raverta",0.026,0.028,0.024,0.029,0.019,0.033,0.027,0.027,0.024,0.026,0.02,0.007,0.028,0.035,0.033,0.02,0.018
"Anabel Fernández Sagasti",0.027,0.034,0.021,0.049,0.029,0.023,0.016,0.012,0.032,0.034,0.041,0.01,0.038,0.02,0.04,0.016,0.024
"Gustavo Bordet",0.021,0.022,0.021,0,0.034,0.013,0.022,0.03,0.023,0.013,0.031,0.015,0,0.02,0.021,0.022,0.027
"Juan Manzur",0.046,0.055,0.038,0.044,0.043,0.053,0.046,0.055,0.054,0.031,0.029,0.064,0.092,0.048,0.064,0.021,0.067
"No sabe",0.51,0.503,0.516,0.519,0.448,0.531,0.605,0.475,0.522,0.521,0.548,0.524,0.499,0.477,0.256,0.732,0.539
