"var","categoria","Los votaría","Puede que los vote","Nunca los votaría","No sabe"
"P05","A Sergio Massa a presidente y a Juan Manzur a vicepresidente por el Frente de Todos",0.151,0.13,0.43,0.151
"P05","A Horacio Rodríguez Larreta a presidente y a Gerardo Morales a vicepresidente por Juntos por el Cambio",0.144,0.256,0.128,0.176
"P05","A Patricia Bullrich a presidenta y a Rodrigo De Loredo a vicepresidente por Juntos por el Cambio",0.665,0.337,0.059,0.16
"P05","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.024,0.209,0.178,0.248
"P05","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.002,0.012,0.054,0.046
"P05","En blanco",0.005,0.004,0.049,0.015
"P05","No sabe",0.009,0.052,0.102,0.204
"P06","A Sergio Massa a presidente y a Victoria Tolosa Paz a vicepresidenta por el Frente de Todos",0.084,0.066,0.419,0.055
"P06","A Horacio Rodríguez Larreta a presidente y a Martín Lousteau a vicepresidente por Juntos por el Cambio",0.114,0.23,0.075,0.19
"P06","A Patricia Bullrich a presidenta y a Maximiliano Abad a vicepresidente por Juntos por el Cambio",0.707,0.346,0.064,0.151
"P06","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.052,0.286,0.212,0.301
"P06","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.02,0.01,0.06,0.061
"P06","En blanco",0.005,0.005,0.061,0.021
"P06","No sabe",0.018,0.057,0.109,0.221
"P07","A Sergio Massa a presidente y a Wado De Pedro a vicepresidente por el Frente de Todos",0.078,0.07,0.457,0.057
"P07","A Horacio Rodríguez Larreta a presidente y a Soledad Acuña a vicepresidenta por Juntos por el Cambio",0.09,0.199,0.062,0.152
"P07","A Patricia Bullrich a presidenta y a Ricardo López Murphy a vicepresidente por Juntos por el Cambio",0.75,0.394,0.072,0.186
"P07","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.053,0.26,0.214,0.283
"P07","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.008,0.013,0.046,0.06
"P07","En blanco",0.004,0.021,0.051,0.015
"P07","No sabe",0.017,0.043,0.098,0.247
"P08","Los votaría",0.786,0.291,0.086,0.125
"P08","Puede que los vote",0.082,0.49,0.09,0.254
"P08","Nunca los votaría",0.113,0.139,0.779,0.162
"P08","No sabe",0.019,0.08,0.045,0.459
"P09","Los votaría",0.372,0.29,0.078,0.125
"P09","Puede que los vote",0.318,0.343,0.11,0.217
"P09","Nunca los votaría",0.257,0.307,0.779,0.226
"P09","No sabe",0.053,0.06,0.033,0.432
"P10","Los votaría",0.719,0.213,0.062,0.088
"P10","Puede que los vote",0.138,0.565,0.072,0.189
"P10","Nunca los votaría",0.129,0.134,0.826,0.15
"P10","No sabe",0.014,0.088,0.04,0.573
"P11","Los votaría",0.152,0.05,0.253,0.041
"P11","Puede que los vote",0.048,0.132,0.208,0.054
"P11","Nunca los votaría",0.785,0.792,0.487,0.554
"P11","No sabe",0.015,0.026,0.052,0.351
"P12","Los votaría",0.784,0.324,0.065,0.106
"P12","Puede que los vote",0.102,0.484,0.075,0.225
"P12","Nunca los votaría",0.108,0.155,0.839,0.206
"P12","No sabe",0.006,0.037,0.021,0.463
"P13","Los votaría",0.329,0.279,0.07,0.129
"P13","Puede que los vote",0.395,0.375,0.123,0.297
"P13","Nunca los votaría",0.249,0.291,0.782,0.209
"P13","No sabe",0.027,0.055,0.025,0.365
"P14","Los votaría",0.694,0.106,0.028,0.038
"P14","Puede que los vote",0.135,0.635,0.084,0.157
"P14","Nunca los votaría",0.131,0.162,0.863,0.2
"P14","No sabe",0.04,0.097,0.025,0.605
"P15","Los votaría",0.196,0.029,0.244,0.053
"P15","Puede que los vote",0.017,0.188,0.198,0.06
"P15","Nunca los votaría",0.78,0.756,0.511,0.49
"P15","No sabe",0.007,0.027,0.047,0.397
"P17","Los votaría",0.383,0.133,0.034,0.052
"P17","Puede que los vote",0.348,0.494,0.09,0.135
"P17","Nunca los votaría",0.227,0.321,0.842,0.204
"P17","No sabe",0.042,0.052,0.034,0.609
"P18","Los votaría",0.755,0.286,0.044,0.072
"P18","Puede que los vote",0.11,0.554,0.065,0.209
"P18","Nunca los votaría",0.12,0.145,0.863,0.198
"P18","No sabe",0.015,0.015,0.028,0.521
"P19","Los votaría",0.162,0.061,0.35,0.057
"P19","Puede que los vote",0.022,0.123,0.163,0.049
"P19","Nunca los votaría",0.804,0.787,0.472,0.513
"P19","No sabe",0.012,0.029,0.015,0.381
"P20","Los votaría",0.782,0.288,0.076,0.132
"P20","Puede que los vote",0.104,0.483,0.078,0.268
"P20","Nunca los votaría",0.103,0.197,0.827,0.195
"P20","No sabe",0.011,0.032,0.019,0.405
"P21","Ricardo López Murphy",0.37,0.33,0.081,0.172
"P21","Rodolfo Suárez",0.052,0.101,0.015,0.094
"P21","Rodrigo de Loredo",0.13,0.12,0.163,0.103
"P21","Maximiliano Abad",0.02,0.02,0.025,0.129
"P21","Luis Naidenoff",0.083,0.026,0.009,0.004
"P21","Martín Tetaz",0.122,0.101,0.041,0.049
"P21","José Luis Espert",0.156,0.18,0.092,0.098
"P21","No sabe",0.067,0.122,0.574,0.351
"P22","Gustavo Valdés",0.073,0.05,0.032,0.07
"P22","Gerardo Morales",0.198,0.204,0.065,0.121
"P22","María Eugenia Vidal",0.243,0.22,0.112,0.111
"P22","Cristian Ritondo",0.065,0.036,0.019,0.072
"P22","Emilio Monzó",0.059,0.04,0.023,0.033
"P22","Martín Lousteau",0.099,0.139,0.097,0.176
"P22","Juan Schiaretti",0.046,0.051,0.033,0.063
"P22","Soledad Acuña",0.077,0.049,0.256,0.086
"P22","No sabe",0.14,0.211,0.363,0.268
"P23","Wado De Pedro",0.054,0.073,0.326,0.068
"P23","Victoria Tolosa Paz",0.064,0.08,0.132,0.084
"P23","Sergio Uñac",0.063,0.037,0.073,0.033
"P23","Fernanda Raverta",0.022,0.01,0.027,0.073
"P23","Anabel Fernández Sagasti",0.018,0.015,0.034,0.041
"P23","Gustavo Bordet",0.019,0.021,0.022,0.029
"P23","Juan Manzur",0.041,0.05,0.051,0.008
"P23","No sabe",0.719,0.714,0.335,0.664
"P24","Si",0.54,0.531,0.513,0.44
"P24","No",0.46,0.469,0.487,0.56
