"var","categoria","Los votaría","Puede que los vote","Nunca los votaría","No sabe"
"P05","A Sergio Massa a presidente y a Juan Manzur a vicepresidente por el Frente de Todos",0.146,0.16,0.445,0.093
"P05","A Horacio Rodríguez Larreta a presidente y a Gerardo Morales a vicepresidente por Juntos por el Cambio",0.147,0.232,0.14,0.182
"P05","A Patricia Bullrich a presidenta y a Rodrigo De Loredo a vicepresidente por Juntos por el Cambio",0.619,0.229,0.045,0.08
"P05","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.062,0.299,0.162,0.269
"P05","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.012,0.009,0.057,0.052
"P05","En blanco",0.002,0.01,0.049,0.013
"P05","No sabe",0.012,0.061,0.102,0.311
"P06","A Sergio Massa a presidente y a Victoria Tolosa Paz a vicepresidenta por el Frente de Todos",0.084,0.085,0.425,0.09
"P06","A Horacio Rodríguez Larreta a presidente y a Martín Lousteau a vicepresidente por Juntos por el Cambio",0.109,0.229,0.091,0.175
"P06","A Patricia Bullrich a presidenta y a Maximiliano Abad a vicepresidente por Juntos por el Cambio",0.658,0.221,0.051,0.064
"P06","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.115,0.375,0.194,0.315
"P06","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.009,0.013,0.062,0.056
"P06","En blanco",0.003,0.02,0.057,0.02
"P06","No sabe",0.022,0.057,0.12,0.28
"P07","A Sergio Massa a presidente y a Wado De Pedro a vicepresidente por el Frente de Todos",0.08,0.072,0.463,0.091
"P07","A Horacio Rodríguez Larreta a presidente y a Soledad Acuña a vicepresidenta por Juntos por el Cambio",0.083,0.198,0.072,0.166
"P07","A Patricia Bullrich a presidenta y a Ricardo López Murphy a vicepresidente por Juntos por el Cambio",0.738,0.259,0.055,0.049
"P07","A Javier Milei a presidente y a Victoria Villarruel a vicepresidenta por La Libertad Avanza",0.089,0.369,0.202,0.287
"P07","A los candidatos a presidente y vicepresidente del Frente de Izquierda",0.002,0.013,0.053,0.051
"P07","En blanco",0.001,0.025,0.056,0.035
"P07","No sabe",0.007,0.064,0.099,0.321
"P08","Los votaría",0.679,0.227,0.077,0.092
"P08","Puede que los vote",0.173,0.486,0.084,0.152
"P08","Nunca los votaría",0.111,0.156,0.8,0.138
"P08","No sabe",0.037,0.131,0.039,0.618
"P09","Los votaría",0.333,0.243,0.088,0.114
"P09","Puede que los vote",0.31,0.356,0.094,0.141
"P09","Nunca los votaría",0.296,0.304,0.788,0.179
"P09","No sabe",0.061,0.097,0.03,0.566
"P10","Los votaría",0.614,0.174,0.049,0.038
"P10","Puede que los vote",0.233,0.528,0.068,0.081
"P10","Nunca los votaría",0.12,0.165,0.85,0.118
"P10","No sabe",0.033,0.133,0.033,0.763
"P11","Los votaría",0.198,0.035,0.241,0.041
"P11","Puede que los vote",0.057,0.193,0.198,0.036
"P11","Nunca los votaría",0.733,0.749,0.51,0.363
"P11","No sabe",0.012,0.023,0.051,0.56
"P13","Los votaría",0.373,0.207,0.054,0.12
"P13","Puede que los vote",0.338,0.45,0.117,0.158
"P13","Nunca los votaría",0.251,0.287,0.811,0.141
"P13","No sabe",0.038,0.056,0.018,0.581
"P14","Los votaría",0.505,0.1,0.039,0.021
"P14","Puede que los vote",0.293,0.538,0.064,0.114
"P14","Nunca los votaría",0.133,0.23,0.882,0.124
"P14","No sabe",0.069,0.132,0.015,0.741
"P15","Los votaría",0.142,0.046,0.266,0.035
"P15","Puede que los vote",0.049,0.127,0.21,0.106
"P15","Nunca los votaría",0.792,0.803,0.469,0.361
"P15","No sabe",0.017,0.024,0.055,0.498
"P16","Los votaría",0.565,0.106,0.037,0.017
"P16","Puede que los vote",0.26,0.557,0.06,0.13
"P16","Nunca los votaría",0.14,0.232,0.871,0.198
"P16","No sabe",0.035,0.105,0.032,0.655
"P17","Los votaría",0.275,0.127,0.044,0.082
"P17","Puede que los vote",0.377,0.428,0.093,0.062
"P17","Nunca los votaría",0.286,0.347,0.832,0.213
"P17","No sabe",0.062,0.098,0.031,0.643
"P18","Los votaría",0.635,0.177,0.053,0.114
"P18","Puede que los vote",0.193,0.544,0.055,0.198
"P18","Nunca los votaría",0.143,0.229,0.861,0.154
"P18","No sabe",0.029,0.05,0.031,0.534
"P19","Los votaría",0.114,0.044,0.377,0.071
"P19","Puede que los vote",0.027,0.124,0.167,0.107
"P19","Nunca los votaría",0.847,0.801,0.429,0.411
