"var","categoria","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdo-ba","A los candidatos  a gobernador y vicegobernador del Frente de Todos","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba","A los candidatos a gobernador y vicegobernador del Frente de Izquierda","Votaría en blanco","No sabe"
"P07","Del Frente de Todos y el peronismo",0.051,0.449,0.849,0.04,0.064,0.225,0.127,0.097
"P07","De Cambiemos",0.668,0.243,0.031,0.095,0.347,0.063,0.434,0.276
"P07","De los Liberales libertarios",0.179,0.097,0.008,0.736,0.18,0.006,0.065,0.081
"P07","De la Izquierda",0.009,0.014,0.031,0.018,0.133,0.464,0.018,0.012
"P07","Otros",0.035,0.094,0.043,0.037,0.229,0.175,0.115,0.127
"P07","No sabe",0.058,0.103,0.038,0.074,0.047,0.067,0.241,0.407
"P08","A Alberto Fernández",0.223,0.174,0.099,0.424,0.129,0.038,0.247,0.219
"P08","A Sergio Massa",0.224,0.22,0.124,0,0.424,0.104,0.133,0.223
"P08","A algún candidato del peronismo",0.424,0.343,0.131,0.576,0.331,0.079,0.155,0.197
"P08","A algún candidato del kirchnerismo",0.129,0.263,0.646,0,0.116,0.779,0.465,0.361
"P09","A Alberto Fernández",0.137,0.135,0.052,0.181,0,0.038,0.11,0.221
"P09","A Sergio Massa",0.142,0.169,0.083,0,0.344,0,0.05,0.154
"P09","A algún candidato del peronismo",0.431,0.288,0.079,0.576,0.54,0.051,0.264,0.174
"P09","A Cristina Fernández de Kirchner",0.29,0.408,0.786,0.243,0.116,0.911,0.576,0.451
"P10","A Horacio Rodriguez Larreta",0.18,0.36,0.155,0.089,0.21,0.94,0.354,0.162
"P10","A Mauricio Macri",0.345,0.272,0.532,0.467,0.144,0.06,0.192,0.311
"P10","A Patricia Bullrich",0.392,0.254,0.117,0.411,0.361,0,0.382,0.454
"P10","A Facundo Manes",0.046,0.081,0,0.033,0.087,0,0.046,0.054
"P10","A Gerardo Morales",0.037,0.033,0.196,0,0.198,0,0.026,0.019
"P11","A Juntos por el Cambio",0.633,0.135,0.028,0.103,0.23,0.038,0.357,0.195
"P11","Al Frente de Todos",0.058,0.154,0.779,0.008,0.01,0.042,0.085,0.056
"P11","A Hacemos por Córdoba",0.126,0.556,0.057,0.174,0.039,0.023,0.168,0.12
"P11","A los liberales libertarios de Milei",0.088,0.04,0.051,0.632,0.078,0.075,0.035,0.066
"P11","A Encuentro Vecinal Córdoba",0.017,0.016,0.004,0.016,0.519,0.061,0.036,0.04
"P11","Al Frente de Izquierda",0.005,0.023,0.028,0.03,0.053,0.682,0.052,0.118
"P11","No sabe",0.073,0.076,0.053,0.037,0.071,0.079,0.267,0.405
"P12","A Rodrigo De Loredo con el apoyo de Mauricio Macri, Patricia Bullrich, Martín Lousteau y el radicalismo",0.763,0.498,0.571,0.539,0.352,0,0.143,0.205
"P12","A Luis Juez con el apoyo de Horacio Rodríguez Larreta",0.217,0.147,0.274,0.445,0.592,0.835,0.668,0.52
"P12","No sabe",0.02,0.355,0.155,0.016,0.056,0.165,0.189,0.275
"P13","A Rodrigo De Loredo por Juntos por el Cambio",0.804,0.058,0.022,0.164,0.106,0.036,0.153,0.154
"P13","A Martín Llaryora por Hacemos por Córdoba",0.076,0.818,0.123,0.049,0.038,0.045,0.223,0.146
"P13","Al candidato del Frente de Todos",0.02,0.055,0.819,0.01,0.047,0.065,0.026,0.027
"P13","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.032,0.013,0.003,0.734,0.006,0,0.015,0.015
