"var","categoria","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba","A los candidatos  a gobernador y vicegobernador del Frente de Todos","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba","A los candidatos a gobernador y vicegobernador del Frente de Izquierda","Votaría en blanco","No sabe"
"P07","Del Frente de Todos y el peronismo",0.065,0.373,0.835,0.024,0.079,0.274,0.19,0.121
"P07","De Cambiemos",0.635,0.306,0.045,0.126,0.273,0.07,0.122,0.164
"P07","De los Liberales libertarios",0.183,0.093,0.007,0.693,0.18,0.039,0.148,0.122
"P07","De la Izquierda",0.018,0.008,0.03,0.022,0.113,0.419,0.016,0.015
"P07","Otros",0.037,0.095,0.039,0.047,0.301,0.152,0.159,0.116
"P07","No sabe",0.062,0.125,0.044,0.088,0.054,0.046,0.365,0.462
"P08","A Alberto Fernández",0.282,0.166,0.085,0.292,0.195,0.26,0.171,0.248
"P08","A Sergio Massa",0.226,0.187,0.158,0.223,0.308,0.05,0.457,0.166
"P08","A algún candidato del peronismo",0.469,0.363,0.146,0.485,0.381,0.096,0.135,0.252
"P08","A algún candidato del kirchnerismo",0.023,0.284,0.611,0,0.116,0.594,0.237,0.334
"P09","A Alberto Fernández",0.174,0.133,0.039,0.292,0.196,0.042,0.114,0.197
"P09","A Sergio Massa",0.131,0.153,0.108,0.035,0.085,0,0.351,0.117
"P09","A algún candidato del peronismo",0.513,0.305,0.075,0.485,0.348,0.258,0.152,0.234
"P09","A Cristina Fernández de Kirchner",0.182,0.409,0.778,0.188,0.371,0.7,0.383,0.452
"P10","A Horacio Rodriguez Larreta",0.204,0.29,0.033,0.168,0.216,0.682,0.372,0.192
"P10","A Mauricio Macri",0.316,0.304,0.409,0.527,0.151,0.318,0.308,0.328
"P10","A Patricia Bullrich",0.39,0.317,0.061,0.292,0.284,0,0.243,0.352
"P10","A Facundo Manes",0.043,0.079,0.161,0,0.118,0,0.037,0.063
"P10","A Gerardo Morales",0.047,0.01,0.336,0.013,0.231,0,0.04,0.065
"P11","A Juntos por el Cambio",0.631,0.162,0.045,0.058,0.15,0.063,0.071,0.124
"P11","Al Frente de Todos",0.059,0.137,0.738,0.022,0.029,0.125,0.062,0.062
"P11","A Hacemos por Córdoba",0.132,0.559,0.048,0.169,0.081,0.057,0.174,0.175
"P11","A los liberales libertarios de Milei",0.081,0.031,0.062,0.687,0.074,0.087,0.032,0.086
"P11","A Encuentro Vecinal Córdoba",0.014,0.015,0.014,0.008,0.512,0.054,0.012,0.033
"P11","Al Frente de Izquierda",0.009,0.008,0.023,0.043,0.063,0.553,0.158,0.094
"P11","No sabe",0.074,0.088,0.07,0.013,0.091,0.061,0.491,0.426
"P12","A Rodrigo De Loredo con el apoyo de Mauricio Macri, Patricia Bullrich, Martín Lousteau y el radicalismo",0.658,0.545,0.51,0.695,0.84,0.777,0.635,0.629
"P12","A Luis Juez con el apoyo de Horacio Rodríguez Larreta",0.306,0.131,0.148,0.259,0.079,0.175,0.032,0.124
"P12","No sabe",0.036,0.324,0.342,0.046,0.081,0.048,0.333,0.247
"P13","A Rodrigo De Loredo por Juntos por el Cambio",0.711,0.113,0.009,0.148,0.162,0.052,0.148,0.15
"P13","A Martín Llaryora por Hacemos por Córdoba",0.112,0.813,0.112,0.032,0.07,0.073,0.206,0.181
"P13","Al candidato del Frente de Todos",0.02,0.016,0.826,0.011,0.009,0.108,0.06,0.021
"P13","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.043,0.008,0.002,0.741,0.042,0.026,0.009,0.043
"P13","A Aurelio Garcia Elorrio por Encuentro Vecinal Cordoba",0.015,0.002,0.002,0.013,0.611,0.026,0.029,0.019
"P13","Al candidato del Frente de Izquierda",0.006,0.001,0.002,0,0.08,0.664,0.017,0.006
"P13","Votaría en blanco",0.027,0.015,0.015,0.035,0.016,0.042,0.407,0.056
"P13","No sabe",0.066,0.032,0.032,0.02,0.01,0.009,0.124,0.524
"P15","A Luis Juez por Juntos por el Cambio",0.718,0.17,0.018,0.095,0.055,0.039,0.092,0.068
"P15","A Martín Llaryora por Hacemos por Córdoba",0.183,0.78,0.117,0.035,0.125,0.043,0.177,0.228
"P15","Al candidato del Frente de Todos",0.012,0.016,0.814,0.006,0.009,0.119,0.066,0.013
"P15","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.032,0.003,0.005,0.818,0.02,0.008,0.043,0.018
"P15","A Aurelio García Elorrio por Encuentro Vecinal Córdoba",0.017,0.002,0.003,0.008,0.692,0.004,0.03,0.025
"P15","Al candidato del Frente de Izquierda",0.003,0.001,0.003,0.017,0.067,0.751,0.017,0.005
