"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Capital","Interior","Fernandez","Macri","Lavagna","Schiaretti","Negri","Mestre","García Elorrio","Olivero"
"A Horacio Rodriguez Larreta",0.238,0.26,0.218,0.23,0.307,0.201,0.141,0.34,0.192,0.199,0.21,0.259,0.423,0.215,0.298,0.311,0.14,0.15,0.25,0.289
"A Mauricio Macri",0.324,0.293,0.351,0.396,0.332,0.273,0.271,0.339,0.352,0.273,0.332,0.317,0.323,0.333,0.221,0.344,0.312,0.376,0.193,0.579
"A Patricia Bullrich",0.342,0.335,0.348,0.315,0.253,0.41,0.491,0.23,0.352,0.436,0.376,0.316,0.154,0.367,0.256,0.261,0.465,0.319,0.45,0
"A Facundo Manes",0.048,0.052,0.045,0.012,0.062,0.07,0.04,0.04,0.053,0.05,0.036,0.058,0.055,0.045,0.052,0.048,0.035,0.051,0.098,0.132
"A Gerardo Morales",0.048,0.06,0.038,0.047,0.046,0.046,0.057,0.051,0.051,0.042,0.046,0.05,0.045,0.04,0.173,0.036,0.048,0.104,0.009,0
