"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Al Frente de todos",0.467,0.441,0.489,0.583,0.461,0.412,0.37,0.456,0.524,0.372,0.73,0.159,0.07
"A Juntos",0.325,0.362,0.294,0.173,0.332,0.398,0.451,0.321,0.264,0.454,0.153,0.722,0.12
"Al Frente de Izquierda",0.05,0.053,0.046,0.013,0.075,0.082,0,0.072,0.032,0.048,0.053,0.011,0.474
"Al Partido Avanza libertad",0.072,0.066,0.078,0.153,0.058,0.023,0.051,0.052,0.095,0.061,0.006,0.055,0.295
"A “Vamos con vos""",0.027,0.021,0.032,0.041,0.024,0.001,0.044,0.026,0.029,0.023,0.013,0.003,0.041
"Votaría en blanco o anularía",0.059,0.057,0.061,0.037,0.05,0.084,0.084,0.073,0.056,0.042,0.045,0.05,0
