"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Zamora","Cernadas","Laborde Rodriguez","Akerfeld"
"Totalmente seguro",0.645,0.68,0.615,0.733,0.631,0.617,0.637,0.585,0.666,0.675,0.673,0.569,0.653,0.67,0.648,0.482,0.577
"Bastante seguro",0.189,0.186,0.192,0.123,0.211,0.192,0.193,0.169,0.19,0.208,0.188,0.24,0.163,0.184,0.169,0.345,0.423
"Algo seguro",0.069,0.078,0.06,0.048,0.069,0.08,0.07,0.089,0.039,0.088,0.064,0.105,0.052,0.064,0.084,0.112,0
"Para nada seguro",0.097,0.056,0.133,0.096,0.089,0.111,0.1,0.157,0.105,0.029,0.075,0.086,0.132,0.082,0.099,0.061,0
