"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Zamora","Cernadas","Laborde Rodriguez","Akerfeld"
"Tiene Decidido que va a ir a votar.",0.83,0.845,0.816,0.812,0.846,0.849,0.787,0.789,0.812,0.919,0.853,0.783,0.827,0.868,0.811,0.743,0.931
"Tiene dudas sobre si va a ir a  votar",0.113,0.1,0.126,0.127,0.11,0.096,0.125,0.114,0.149,0.05,0.109,0.101,0.123,0.09,0.149,0.04,0.046
"Tiene Decidido que no va a ir a votar",0.057,0.055,0.058,0.061,0.044,0.055,0.088,0.097,0.039,0.031,0.038,0.116,0.05,0.042,0.04,0.217,0.023
