"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda","Otros"
"P05","Mucho",0.441,0.371,0.432,0.491,0.354,0.545,0.316,0.378
"P05","Bastante",0.399,0.196,0.306,0.229,0.433,0.222,0.432,0.249
"P05","Poco",0.103,0.328,0.175,0.184,0.153,0.154,0.252,0.267
"P05","Nada",0.041,0.088,0.073,0.086,0.06,0.071,0,0.084
"P05","No sabe",0.016,0.017,0.014,0.01,0,0.008,0,0.022
"P06","Siempre",0.218,0.069,0.237,0.252,0.219,0.177,0.051,0.265
"P06","Casi siempre",0.356,0.326,0.378,0.353,0.405,0.35,0.41,0.332
"P06","Casi nunca",0.216,0.346,0.287,0.301,0.289,0.293,0.504,0.238
"P06","Nunca, pero esta es una excepción",0.21,0.259,0.098,0.094,0.087,0.18,0.035,0.165
"P07","Tiene Decidido que va a ir a votar.",0.863,0.644,0.908,0.848,0.843,0.855,0.586,0.76
"P07","Tiene dudas sobre si va a ir a  votar",0.116,0.118,0.07,0.108,0.065,0.136,0.414,0.174
"P07","Tiene Decidido que no va a ir a votar",0.021,0.238,0.022,0.044,0.092,0.009,0,0.066
"P09","Unión por la Patria",0.73,0.713,0.558,0.056,0.093,0.057,0.036,0.173
"P09","Juntos por el Cambio",0.069,0.143,0.1,0.817,0.708,0.091,0.036,0.091
"P09","De los Liberales libertarios",0.078,0.087,0.059,0.085,0.049,0.78,0,0.055
"P09","De la Izquierda",0.005,0.02,0.013,0.012,0.031,0.004,0.747,0.044
"P09","Hacemos por nuestro país",0.004,0,0.021,0.004,0.021,0,0,0.095
"P09","Otro",0.041,0,0.144,0.02,0.092,0.046,0.042,0.312
"P09","En blanco",0.01,0.004,0.025,0,0,0.001,0.129,0.036
"P09","No sabe",0.063,0.033,0.08,0.006,0.006,0.021,0.01,0.194
"P15","Totalmente seguro.",0.701,0.415,0.639,0.771,0.542,0.8,0.514,0.411
"P15","Bastante seguro",0.135,0.273,0.147,0.131,0.19,0.091,0.105,0.125
"P15","Algo seguro",0.053,0.129,0.099,0.054,0.116,0.074,0.074,0.045
"P15","Para nada seguro",0.111,0.183,0.115,0.044,0.152,0.035,0.307,0.419
"P23","Totalmente seguro",0.682,0.563,0.618,0.72,0.59,0.753,0.051,0.39
"P23","Bastante seguro",0.171,0.237,0.237,0.202,0.161,0.136,0.378,0.126
"P23","Algo seguro",0.096,0.139,0.079,0.017,0.039,0.067,0.163,0.167
"P23","Para nada seguro",0.051,0.061,0.066,0.061,0.21,0.044,0.408,0.317
"P24","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.791,0.546,0.187,0.041,0.029,0.11,0.096,0.072
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio",0.067,0.271,0.11,0.774,0.382,0.128,0.027,0.115
"P24","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.061,0.022,0.087,0.091,0.119,0.669,0.013,0.084
"P24","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.007,0.012,0.055,0.006,0.061,0.003,0.677,0.076
"P24","Otros",0.026,0.117,0.377,0.081,0.304,0.038,0,0.387
"P24","No sabe",0.048,0.032,0.184,0.007,0.105,0.052,0.187,0.266
"P27","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.757,0.608,0.197,0.067,0.124,0.138,0,0.035
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.159,0.217,0.089,0.516,0.66,0.049,0,0.074
"P27","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.013,0.012,0.083,0.122,0.043,0.75,0.012,0.082
"P27","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.002,0.011,0.069,0.001,0,0.016,0.735,0
"P27","Otros",0.025,0.147,0.415,0.198,0.089,0.022,0.107,0.617
"P27","No sabe",0.044,0.005,0.147,0.096,0.084,0.025,0.146,0.192
"P28","Lo votaría",0.828,0.35,0.129,0.019,0.007,0.108,0.043,0.091
"P28","Puede que lo vote",0.051,0.245,0.23,0.056,0.154,0.06,0.057,0.16
"P28","Nunca lo votaría",0.073,0.363,0.579,0.883,0.763,0.819,0.613,0.383
"P28","No sabe",0.048,0.042,0.062,0.042,0.076,0.013,0.287,0.366
