"var","categoria","Tiene Decidido que va a ir a votar.","Tiene dudas sobre si va a ir a  votar","Tiene Decidido que no va a ir a votar"
"P05","Mucho",0.469,0.235,0.194
"P05","Bastante",0.312,0.327,0.161
"P05","Poco",0.155,0.31,0.373
"P05","Nada",0.048,0.09,0.243
"P05","No sabe",0.016,0.038,0.029
"P06","Siempre",0.233,0.1,0.057
"P06","Casi siempre",0.355,0.416,0.086
"P06","Casi nunca",0.256,0.315,0.619
"P06","Nunca, pero esta es una excepción",0.156,0.169,0.238
"P09","Unión por la Patria",0.345,0.271,0.32
"P09","Juntos por el Cambio",0.319,0.216,0.289
"P09","De los Liberales libertarios",0.191,0.187,0.104
"P09","De la Izquierda",0.02,0.04,0.119
"P09","Hacemos por nuestro país",0.015,0.007,0.023
"P09","Otro",0.064,0.148,0.021
"P09","En blanco",0.008,0.035,0.022
"P09","No sabe",0.038,0.096,0.102
"P12","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.226,0.172,0.092
"P12","Juan Grabois a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.035,0.038,0.22
"P12","Juan Grabois a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria",0.165,0.082,0.074
"P12","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio",0.171,0.15,0.162
"P12","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.146,0.091,0.309
"P12","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.172,0.201,0.033
"P12","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.013,0.07,0
"P12","Otros",0.045,0.061,0.066
"P12","No sabe",0.027,0.135,0.044
"P15","Totalmente seguro.",0.709,0.44,0.376
"P15","Bastante seguro",0.125,0.204,0.313
"P15","Algo seguro",0.079,0.071,0.053
"P15","Para nada seguro",0.087,0.285,0.258
"P17","Sergio Massa a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.172,0.232,0.196
"P17","Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.153,0.039,0.053
"P17","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador por Juntos por el Cambio",0.273,0.255,0.262
"P17","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador por Juntos por el Cambio",0.136,0,0.182
"P17","Javier Milei a presidente, Carolina Piparo a gobernadora  por la Libertad Avanza",0.154,0.27,0.279
"P17","Alguno de los candidatos a presidente y gobernador de la Izquierda",0.01,0.068,0.028
"P17","Otros",0.06,0.083,0
"P17","No sabe",0.042,0.053,0
"P20","Malena Galmarini a intendenta por Unión por la Patria",0.127,0.072,0.075
"P20","Julio Zamora a intendente por Unión por la Patria",0.452,0.477,0.218
"P20","Claudio Cufré a intendente por Juntos por el Cambio",0.087,0.131,0.086
"P20","Segundo Cernadas a intendente por Juntos por el Cambio",0.237,0.153,0.323
"P20","Claudio Baumgarten a intendente por la Libertad Avanza",0.049,0.074,0.096
"P20","Alguno de los candidatos a intendente de la Izquierda",0.006,0.007,0
"P20","Otros",0.015,0.004,0.049
"P20","No sabe",0.027,0.082,0.153
"P23","Totalmente seguro",0.688,0.369,0.429
"P23","Bastante seguro",0.162,0.364,0.315
"P23","Algo seguro",0.066,0.078,0.124
"P23","Para nada seguro",0.084,0.189,0.132
"P24","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.269,0.329,0.212
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio",0.267,0.234,0.28
"P24","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.191,0.133,0.297
"P24","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.039,0.029,0.096
"P24","Otros",0.162,0.108,0.04
"P24","No sabe",0.072,0.167,0.075
"P27","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.297,0.252,0.357
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.25,0.24,0.489
"P27","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.195,0.175,0.038
"P27","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.032,0.045,0.014
"P27","Otros",0.156,0.151,0.042
"P27","No sabe",0.07,0.137,0.06
"P28","Lo votaría",0.283,0.16,0.224
"P28","Puede que lo vote",0.093,0.131,0.358
"P28","Nunca lo votaría",0.582,0.484,0.385
"P28","No sabe",0.042,0.225,0.033
"P29","Lo votaría",0.156,0.086,0.311
"P29","Puede que lo vote",0.097,0.159,0.19
"P29","Nunca lo votaría",0.686,0.542,0.468
"P29","No sabe",0.061,0.213,0.031
"P30","Lo votaría",0.197,0.163,0.243
"P30","Puede que lo vote",0.096,0.079,0.069
