"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Zamora","Cernadas","Laborde Rodriguez","Akerfeld"
"Totalmente seguro.",0.663,0.697,0.633,0.699,0.658,0.672,0.614,0.618,0.684,0.685,0.676,0.594,0.68,0.67,0.681,0.856,0.909
"Bastante seguro",0.143,0.154,0.132,0.128,0.142,0.133,0.18,0.118,0.139,0.178,0.14,0.153,0.141,0.158,0.137,0.063,0.082
"Algo seguro",0.077,0.044,0.108,0,0.104,0.092,0.092,0.115,0.045,0.083,0.082,0.065,0.078,0.084,0.074,0.041,0
"Para nada seguro",0.117,0.105,0.127,0.173,0.096,0.103,0.114,0.149,0.132,0.054,0.102,0.188,0.101,0.088,0.108,0.04,0.009
