"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Zamora","Cernadas","Laborde Rodriguez","Akerfeld","NA","NA","NA","NA","NA"
"Malena Galmarini a intendenta por Unión por la Patria",0.095,0.091,0.1,0.117,0.113,0.051,0.099,0.091,0.105,0.088,0.121,0.032,0,0,0.121,0.032,0,0,0.228,0.154,0.055,0.05
"Julio Zamora a intendente por Unión por la Patria",0.455,0.46,0.451,0.308,0.463,0.478,0.544,0.447,0.481,0.43,0.609,0.236,0.144,0,0.609,0.236,0.144,0,0.395,0.439,0.63,0.375
"Claudio Cufré a intendente por Juntos por el Cambio",0.092,0.09,0.093,0.237,0.092,0.032,0.04,0.065,0.087,0.126,0.103,0.058,0,0,0.103,0.058,0,0,0.187,0.071,0.114,0.103
"Segundo Cernadas a intendente por Juntos por el Cambio",0.303,0.278,0.322,0.338,0.314,0.33,0.205,0.289,0.3,0.321,0.115,0.63,0.758,0,0.115,0.63,0.758,0,0.154,0.285,0.166,0.401
"Claudio Baumgarten a intendente por la Libertad Avanza",0.041,0.062,0.024,0,0.018,0.07,0.089,0.086,0.017,0.024,0.037,0.042,0,0.385,0.037,0.042,0,0.385,0.036,0.036,0.012,0.063
"Alguno de los candidatos a intendente de la Izquierda",0.006,0.011,0.002,0,0,0.022,0.003,0.015,0,0.006,0.002,0.002,0,0.615,0.002,0.002,0,0.615,0,0.013,0.003,0
"Otros",0.008,0.008,0.008,0,0,0.017,0.02,0.007,0.01,0.005,0.013,0,0.098,0,0.013,0,0.098,0,0,0.002,0.02,0.008
