"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Zamora","Cernadas","Laborde Rodriguez","Akerfeld"
"Unión por la Patria",0.336,0.34,0.332,0.276,0.394,0.326,0.272,0.332,0.345,0.326,0.37,0.387,0.278,0.5,0.118,0.081,0.178
"Juntos por el Cambio",0.307,0.256,0.353,0.21,0.227,0.425,0.499,0.265,0.295,0.376,0.309,0.293,0.31,0.198,0.594,0.225,0.026
"De los Liberales libertarios",0.185,0.255,0.122,0.357,0.169,0.109,0.093,0.191,0.195,0.163,0.153,0.189,0.217,0.132,0.242,0.445,0.078
"De la Izquierda",0.027,0.03,0.024,0.047,0.027,0.022,0.007,0.029,0.02,0.037,0.025,0.031,0.028,0.015,0.016,0.234,0.512
"Hacemos por nuestro país",0.015,0.014,0.015,0.015,0.016,0.015,0.01,0.018,0.01,0.018,0.014,0.009,0.018,0.004,0,0,0.206
"Otro",0.07,0.063,0.078,0.074,0.095,0.043,0.038,0.077,0.088,0.035,0.051,0.049,0.1,0.069,0.018,0,0
"En blanco",0.012,0.007,0.017,0.015,0,0.014,0.038,0.017,0.006,0.014,0.022,0,0.007,0.018,0.005,0.015,0
"No sabe",0.048,0.035,0.059,0.006,0.072,0.046,0.043,0.071,0.041,0.031,0.056,0.042,0.042,0.064,0.007,0,0
