"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Zamora","Cernadas","Laborde Rodriguez","Akerfeld"
"Malena Galmarini a intendenta por Unión por la Patria",0.119,0.125,0.115,0.129,0.117,0.087,0.164,0.189,0.081,0.105,0.158,0.071,0.098,0.167,0.046,0.097,0
"Julio Zamora a intendente por Unión por la Patria",0.449,0.455,0.444,0.333,0.497,0.433,0.454,0.366,0.488,0.474,0.472,0.617,0.326,0.642,0.167,0.114,0.601
"Claudio Cufré a intendente por Juntos por el Cambio",0.092,0.076,0.107,0.178,0.094,0.055,0.069,0.083,0.095,0.097,0.059,0.118,0.12,0.054,0.164,0,0
"Segundo Cernadas a intendente por Juntos por el Cambio",0.229,0.212,0.244,0.27,0.211,0.276,0.171,0.211,0.23,0.246,0.211,0.122,0.312,0.08,0.538,0.538,0
"Claudio Baumgarten a intendente por la Libertad Avanza",0.053,0.072,0.036,0.045,0.043,0.053,0.082,0.099,0.038,0.029,0.045,0.01,0.087,0.035,0.066,0,0.151
"Alguno de los candidatos a intendente de la Izquierda",0.006,0.01,0.001,0,0.002,0.015,0.007,0.01,0.002,0.006,0.008,0.006,0.002,0.001,0.001,0.115,0.248
"Otros",0.015,0.011,0.018,0,0.006,0.04,0.012,0.011,0.015,0.019,0.013,0.022,0.013,0.008,0.008,0.074,0
"No sabe",0.037,0.039,0.035,0.045,0.03,0.041,0.041,0.031,0.051,0.024,0.034,0.034,0.042,0.013,0.01,0.062,0
