"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Zamora","Cernadas","Laborde Rodriguez","Akerfeld"
"Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.274,0.268,0.279,0.15,0.325,0.303,0.261,0.283,0.288,0.241,0.314,0.187,0.27,0.418,0.062,0.074,0.138
"Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio",0.264,0.212,0.313,0.171,0.223,0.349,0.376,0.237,0.251,0.315,0.236,0.258,0.295,0.161,0.509,0.061,0.102
"Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.188,0.259,0.121,0.418,0.152,0.111,0.083,0.207,0.177,0.184,0.139,0.308,0.186,0.106,0.27,0.476,0.246
"Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.04,0.039,0.041,0.011,0.068,0.026,0.026,0.029,0.042,0.049,0.052,0.032,0.032,0.038,0.012,0.348,0.407
"Otros",0.151,0.168,0.136,0.156,0.165,0.138,0.13,0.147,0.158,0.146,0.163,0.132,0.148,0.181,0.091,0.019,0.107
"No sabe",0.083,0.054,0.11,0.094,0.067,0.073,0.124,0.097,0.084,0.065,0.096,0.083,0.069,0.096,0.056,0.022,0
