"var","categoria","Malena Galmarini a intendenta por Unión por la Patria","Julio Zamora a intendente por Unión por la Patria","Claudio Cufré a intendente por Juntos por el Cambio","Segundo Cernadas a intendente por Juntos por el Cambio","Claudio Baumgarten a intendente por la Libertad Avanza","Alguno de los candidatos a intendente de la Izquierda","Otros"
"P05","Mucho",0.422,0.442,0.519,0.377,0.577,0.908,0.282
"P05","Bastante",0.483,0.301,0.295,0.178,0.194,0.092,0.718
"P05","Poco",0.089,0.159,0.186,0.354,0.087,0,0
"P05","Nada",0,0.056,0,0.091,0.089,0,0
"P05","No sabe",0.006,0.042,0,0,0.053,0,0
"P06","Siempre",0.206,0.165,0.138,0.108,0.347,0,0.177
"P06","Casi siempre",0.357,0.419,0.476,0.309,0.245,0.908,0.345
"P06","Casi nunca",0.217,0.265,0.325,0.542,0.174,0.092,0.478
"P06","Nunca, pero esta es una excepción",0.22,0.151,0.061,0.041,0.234,0,0
"P07","Tiene Decidido que va a ir a votar.",0.881,0.808,0.81,0.858,0.506,1,0.722
"P07","Tiene dudas sobre si va a ir a  votar",0.119,0.167,0.171,0.11,0.346,0,0
"P07","Tiene Decidido que no va a ir a votar",0,0.025,0.019,0.032,0.148,0,0.278
"P09","Unión por la Patria",0.261,0.269,0.07,0.055,0.02,0.908,0.345
"P09","Juntos por el Cambio",0.255,0.44,0.312,0.656,0.21,0.092,0.478
"P09","De los Liberales libertarios",0.315,0.108,0.411,0.176,0.557,0,0
"P09","De la Izquierda",0,0.01,0.009,0.041,0.013,0,0
"P09","Hacemos por nuestro país",0,0,0,0.002,0.119,0,0
"P09","Otro",0.122,0.047,0.198,0.037,0,0,0.177
"P09","En blanco",0,0.003,0,0.03,0.066,0,0
"P09","No sabe",0.047,0.123,0,0.003,0.015,0,0
"P15","Totalmente seguro.",0.612,0.589,0.695,0.614,0.833,0.908,0.729
"P15","Bastante seguro",0.097,0.172,0.199,0.182,0.04,0.092,0.177
"P15","Algo seguro",0.136,0.105,0.028,0.114,0.084,0,0
"P15","Para nada seguro",0.155,0.134,0.078,0.09,0.043,0,0.094
"P23","Totalmente seguro",0.855,0.573,0.708,0.59,0.886,1,1
"P23","Bastante seguro",0.035,0.225,0.164,0.264,0.039,0,0
"P23","Algo seguro",0.022,0.098,0.061,0.079,0.03,0,0
"P23","Para nada seguro",0.088,0.104,0.067,0.067,0.045,0,0
"P24","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.169,0.286,0.035,0.063,0.276,0.178,0
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio",0.155,0.392,0.636,0.478,0.361,0.089,0.672
"P24","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.279,0.088,0.228,0.21,0.251,0,0.146
"P24","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.214,0.016,0.087,0.054,0.037,0,0
"P24","Otros",0.075,0.095,0.014,0.156,0.045,0.733,0.182
"P24","No sabe",0.108,0.123,0,0.039,0.03,0,0
"P27","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.201,0.241,0.468,0.072,0.516,0.171,0.587
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.306,0.306,0.099,0.452,0.299,0.084,0.102
"P27","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.376,0.133,0.231,0.203,0.128,0,0.103
"P27","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0,0.002,0.175,0.071,0,0,0.208
"P27","Otros",0,0.186,0.027,0.134,0.016,0.745,0
"P27","No sabe",0.117,0.132,0,0.068,0.041,0,0
"P28","Lo votaría",0.059,0.217,0.26,0.012,0.122,0.174,0
"P28","Puede que lo vote",0.326,0.115,0.108,0.093,0.306,0,0.102
"P28","Nunca lo votaría",0.475,0.656,0.621,0.798,0.481,0.086,0.731
"P28","No sabe",0.14,0.012,0.011,0.097,0.091,0.74,0.167
"P29","Lo votaría",0.368,0.055,0.238,0.005,0.212,1,0
"P29","Puede que lo vote",0.025,0.11,0.133,0.02,0.147,0,0
"P29","Nunca lo votaría",0.607,0.734,0.629,0.824,0.594,0,0.841
"P29","No sabe",0,0.101,0,0.151,0.047,0,0.159
"P30","Lo votaría",0.151,0.193,0.391,0.005,0.322,0.193,0.371
"P30","Puede que lo vote",0.435,0.089,0.1,0.024,0.16,0.807,0
"P30","Nunca lo votaría",0.414,0.647,0.509,0.867,0.471,0,0.629
"P30","No sabe",0,0.071,0,0.104,0.047,0,0
"P31","Lo votaría",0.185,0.316,0.482,0.447,0.5,0,0.097
