"var","categoria","Totalmente seguro","Bastante seguro","Algo seguro","Para nada seguro"
"P05","Mucho",0.551,0.241,0.357,0.285
"P05","Bastante",0.286,0.377,0.206,0.275
"P05","Poco",0.099,0.294,0.437,0.325
"P05","Nada",0.042,0.081,0,0.08
"P05","No sabe",0.022,0.007,0,0.035
"P06","Siempre",0.247,0.079,0.05,0.267
"P06","Casi siempre",0.402,0.445,0.429,0.246
"P06","Casi nunca",0.244,0.416,0.496,0.355
"P06","Nunca, pero esta es una excepción",0.107,0.06,0.025,0.132
"P07","Tiene Decidido que va a ir a votar.",0.918,0.737,0.827,0.74
"P07","Tiene dudas sobre si va a ir a  votar",0.068,0.228,0.135,0.231
"P07","Tiene Decidido que no va a ir a votar",0.014,0.035,0.038,0.029
"P09","Unión por la Patria",0.33,0.213,0.279,0.043
"P09","Juntos por el Cambio",0.376,0.439,0.268,0.295
"P09","De los Liberales libertarios",0.198,0.129,0.143,0.093
"P09","De la Izquierda",0.004,0.052,0.019,0.006
"P09","Hacemos por nuestro país",0.002,0.003,0,0.013
"P09","Otro",0.057,0.074,0.046,0.302
"P09","En blanco",0.017,0,0,0.124
"P09","No sabe",0.016,0.09,0.245,0.124
"P12","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.153,0.127,0.124,0.029
"P12","Juan Grabois a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.037,0.054,0.06,0
"P12","Juan Grabois a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria",0.205,0.267,0.226,0.095
"P12","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio",0.263,0.252,0.054,0.148
"P12","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.111,0.11,0.077,0.288
"P12","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.179,0.104,0.15,0.071
"P12","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.001,0.03,0.036,0.062
"P12","Otros",0.034,0.037,0.136,0.149
"P12","No sabe",0.017,0.019,0.137,0.158
"P15","Totalmente seguro.",0.908,0.235,0.063,0.25
"P15","Bastante seguro",0.038,0.545,0.149,0.068
"P15","Algo seguro",0.036,0.181,0.51,0.037
"P15","Para nada seguro",0.018,0.039,0.278,0.645
"P17","Sergio Massa a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.178,0.183,0.351,0.119
"P17","Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.148,0.184,0.079,0.037
"P17","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador por Juntos por el Cambio",0.292,0.271,0.191,0.256
"P17","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador por Juntos por el Cambio",0.109,0.159,0.136,0.224
"P17","Javier Milei a presidente, Carolina Piparo a gobernadora  por la Libertad Avanza",0.184,0.101,0.202,0.094
"P17","Alguno de los candidatos a presidente y gobernador de la Izquierda",0.012,0.04,0.011,0
"P17","Otros",0.06,0.058,0.013,0.15
"P17","No sabe",0.017,0.004,0.017,0.12
"P20","Malena Galmarini a intendenta por Unión por la Patria",0.155,0.056,0.07,0.082
"P20","Julio Zamora a intendente por Unión por la Patria",0.413,0.583,0.606,0.287
"P20","Claudio Cufré a intendente por Juntos por el Cambio",0.104,0.054,0.053,0.134
"P20","Segundo Cernadas a intendente por Juntos por el Cambio",0.217,0.25,0.219,0.268
"P20","Claudio Baumgarten a intendente por la Libertad Avanza",0.081,0.01,0.024,0
"P20","Alguno de los candidatos a intendente de la Izquierda",0.008,0,0.01,0
"P20","Otros",0.01,0.008,0.007,0.07
"P20","No sabe",0.012,0.039,0.011,0.159
"P24","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.195,0.162,0.329,0.115
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio",0.373,0.389,0.138,0.081
"P24","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.189,0.092,0.05,0.165
"P24","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.03,0.059,0.012,0.14
"P24","Otros",0.168,0.206,0.351,0.139
"P24","No sabe",0.045,0.092,0.12,0.36
"P27","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.225,0.162,0.319,0.263
"P27","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.26,0.402,0.163,0.112
"P27","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.206,0.077,0.255,0.044
