"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Zamora","Cernadas","Laborde Rodriguez","Akerfeld","NA","NA","NA","NA","NA"
"Sergio Massa a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.257,0.272,0.244,0.232,0.26,0.299,0.231,0.262,0.271,0.226,0.38,0.064,0.113,0.053,0.38,0.064,0.113,0.053,0.272,0.272,0.234,0.252
"Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.139,0.123,0.153,0.144,0.162,0.106,0.107,0.102,0.141,0.184,0.186,0.049,0,0.516,0.186,0.049,0,0.516,0.103,0.168,0.119,0.115
"Patricia Bullrich a presidenta, Néstor Grindetti a gobernador por Juntos por el Cambio",0.195,0.145,0.241,0.09,0.167,0.295,0.313,0.176,0.185,0.238,0.122,0.373,0.034,0.034,0.122,0.373,0.034,0.034,0.069,0.143,0.209,0.245
"Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador por Juntos por el Cambio",0.143,0.099,0.184,0.131,0.136,0.149,0.176,0.168,0.128,0.136,0.122,0.216,0.096,0,0.122,0.216,0.096,0,0.051,0.179,0.127,0.112
"Javier Milei a presidente, Carolina Piparo a gobernadora por la Libertad Avanza",0.189,0.281,0.103,0.314,0.181,0.103,0.121,0.204,0.196,0.156,0.127,0.263,0.493,0.074,0.127,0.263,0.493,0.074,0.278,0.148,0.273,0.196
"Alguno de los candidatos a presidente y gobernador de la Izquierda",0.022,0.027,0.018,0.009,0.043,0.005,0.012,0.016,0.023,0.03,0.019,0.004,0.264,0.323,0.019,0.004,0.264,0.323,0.003,0.034,0.004,0.017
"Otros",0.055,0.053,0.057,0.08,0.051,0.043,0.04,0.072,0.056,0.03,0.044,0.031,0,0,0.044,0.031,0,0,0.224,0.056,0.034,0.063
