"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Zamora","Cernadas","Laborde Rodriguez","Akerfeld"
"Siempre",0.209,0.204,0.214,0.166,0.233,0.206,0.221,0.271,0.187,0.164,0.201,0.239,0.205,0.233,0.182,0.015,0.208
"Casi siempre",0.344,0.349,0.338,0.199,0.386,0.405,0.378,0.329,0.354,0.346,0.377,0.268,0.341,0.378,0.365,0.344,0.372
"Casi nunca",0.286,0.285,0.287,0.347,0.25,0.296,0.271,0.287,0.271,0.31,0.245,0.376,0.29,0.267,0.312,0.271,0.211
"Nunca, pero esta es una excepción",0.161,0.162,0.161,0.288,0.131,0.093,0.13,0.113,0.188,0.18,0.177,0.117,0.164,0.122,0.141,0.37,0.209
