"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda","Otros","No sabe"
"P05","Mucho",0.492,0.424,0.571,0.327,0.422,0.197
"P05","Bastante",0.356,0.286,0.207,0.487,0.31,0.398
"P05","Poco",0.106,0.185,0.111,0.155,0.191,0.299
"P05","Nada",0.022,0.102,0.097,0.031,0.056,0.103
"P05","No sabe",0.024,0.003,0.014,0,0.021,0.003
"P06","Siempre",0.217,0.234,0.276,0.038,0.224,0.103
"P06","Casi siempre",0.443,0.398,0.279,0.483,0.31,0.439
"P06","Casi nunca",0.194,0.262,0.226,0.316,0.357,0.348
"P06","Nunca, pero esta es una excepción",0.146,0.106,0.219,0.163,0.109,0.11
"P07","Tiene Decidido que va a ir a votar.",0.839,0.862,0.863,0.83,0.911,0.745
"P07","Tiene dudas sobre si va a ir a  votar",0.132,0.098,0.078,0.08,0.079,0.221
"P07","Tiene Decidido que no va a ir a votar",0.029,0.04,0.059,0.09,0.01,0.034
"P09","Unión por la Patria",0.76,0.125,0.094,0.292,0.238,0.356
"P09","Juntos por el Cambio",0.072,0.703,0.109,0.146,0.408,0.172
"P09","De los Liberales libertarios",0.075,0.092,0.713,0,0.093,0.101
"P09","De la Izquierda",0.014,0.012,0.032,0.385,0.006,0
"P09","Hacemos por nuestro país",0.004,0.006,0.021,0.016,0.006,0.004
"P09","Otro",0.014,0.056,0.003,0.098,0.213,0.189
"P09","En blanco",0,0,0.01,0.031,0,0.093
"P09","No sabe",0.061,0.006,0.018,0.032,0.036,0.085
"P12","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.663,0.059,0.076,0.041,0.005,0.085
"P12","Juan Grabois a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.084,0.039,0.005,0.013,0.033,0.013
"P12","Juan Grabois a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria",0.09,0.066,0.073,0.216,0.387,0.321
"P12","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio",0.026,0.514,0.084,0.021,0.094,0.011
"P12","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.015,0.209,0.092,0.106,0.286,0.184
"P12","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.073,0.088,0.65,0.015,0.042,0.106
"P12","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.008,0.002,0.002,0.39,0,0.052
"P12","Otros",0.011,0.018,0.018,0.062,0.105,0.068
"P12","No sabe",0.03,0.005,0,0.136,0.048,0.16
"P15","Totalmente seguro.",0.757,0.727,0.851,0.566,0.574,0.401
"P15","Bastante seguro",0.134,0.15,0.07,0.069,0.212,0.082
