"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Zamora","Cernadas","Laborde Rodriguez","Akerfeld","NA","NA","NA","NA","NA"
"Malena Galmarini a intendenta por Unión por la Patria",0.24,0.261,0.22,0.243,0.256,0.22,0.221,0.282,0.251,0.171,0.336,0.065,0.098,0.015,0.336,0.065,0.098,0.015,0.34,0.287,0.203,0.207
"Julio Zamora a intendente por Unión por la Patria",0.304,0.287,0.32,0.207,0.339,0.312,0.341,0.224,0.328,0.362,0.458,0.098,0.031,0.38,0.458,0.098,0.031,0.38,0.131,0.315,0.401,0.25
"Claudio Cufré a intendente por Juntos por el Cambio",0.088,0.057,0.117,0.068,0.079,0.108,0.111,0.06,0.092,0.114,0.043,0.184,0,0.032,0.043,0.184,0,0.032,0.042,0.059,0.097,0.114
"Segundo Cernadas a intendente por Juntos por el Cambio",0.215,0.187,0.241,0.215,0.21,0.229,0.209,0.237,0.191,0.229,0.097,0.47,0.191,0,0.097,0.47,0.191,0,0.089,0.214,0.151,0.245
"Claudio Baumgarten a intendente por la Libertad Avanza",0.113,0.177,0.053,0.233,0.078,0.08,0.081,0.145,0.1,0.095,0.055,0.157,0.417,0.142,0.055,0.157,0.417,0.142,0.252,0.065,0.129,0.156
"Alguno de los candidatos a intendente de la Izquierda",0.015,0.025,0.007,0.01,0.024,0.01,0.007,0.019,0.014,0.014,0.006,0.002,0.24,0.431,0.006,0.002,0.24,0.431,0.004,0.027,0.002,0.009
"Otros",0.025,0.006,0.042,0.024,0.014,0.041,0.03,0.033,0.024,0.015,0.005,0.024,0.023,0,0.005,0.024,0.023,0,0.142,0.033,0.017,0.019
