"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Zamora","Cernadas","Laborde Rodriguez","Akerfeld"
"Sergio Massa a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.24,0.257,0.224,0.198,0.25,0.28,0.221,0.242,0.254,0.21,0.261,0.23,0.221,0.367,0.051,0.113,0.053
"Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.132,0.122,0.142,0.143,0.154,0.105,0.091,0.1,0.13,0.181,0.16,0.117,0.11,0.183,0.048,0,0.516
"Patricia Bullrich a presidenta, Néstor Grindetti a gobernador por Juntos por el Cambio",0.188,0.145,0.228,0.09,0.157,0.281,0.311,0.172,0.176,0.231,0.133,0.208,0.238,0.111,0.373,0.019,0.034
"Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador por Juntos por el Cambio",0.143,0.099,0.184,0.131,0.136,0.149,0.176,0.168,0.128,0.136,0.179,0.127,0.112,0.122,0.216,0.096,0
"Javier Milei a presidente, Carolina Piparo a gobernadora por la Libertad Avanza",0.187,0.28,0.101,0.314,0.179,0.103,0.114,0.204,0.194,0.153,0.148,0.273,0.192,0.125,0.262,0.493,0.074
"Alguno de los candidatos a presidente y gobernador de la Izquierda",0.022,0.027,0.018,0.009,0.043,0.005,0.013,0.016,0.023,0.031,0.034,0.004,0.017,0.019,0.004,0.264,0.323
"Otros",0.052,0.053,0.05,0.08,0.051,0.034,0.03,0.062,0.056,0.029,0.049,0.034,0.062,0.043,0.031,0,0
"No sabe",0.036,0.017,0.053,0.035,0.03,0.043,0.044,0.036,0.039,0.029,0.036,0.007,0.048,0.03,0.015,0.015,0
