"var","categoria","Malena Galmarini a intendenta por Unión por la Patria","Julio Zamora a intendente por Unión por la Patria","Claudio Cufré a intendente por Juntos por el Cambio","Segundo Cernadas a intendente por Juntos por el Cambio","Claudio Baumgarten a intendente por la Libertad Avanza","Alguno de los candidatos a intendente de la Izquierda","Otros"
"P05","Mucho",0.399,0.434,0.409,0.361,0.432,0.107,0.569
"P05","Bastante",0.306,0.257,0.26,0.535,0.343,0.108,0.158
"P05","Poco",0.194,0.309,0.22,0.086,0.162,0.785,0.233
"P05","Nada",0.034,0,0.099,0.018,0.063,0,0
"P05","No sabe",0.067,0,0.012,0,0,0,0.04
"P06","Siempre",0.087,0.174,0.185,0.143,0.06,0.116,0.257
"P06","Casi siempre",0.369,0.187,0.349,0.588,0.452,0.108,0.355
"P06","Casi nunca",0.372,0.372,0.376,0.211,0.313,0.752,0.209
"P06","Nunca, pero esta es una excepción",0.172,0.267,0.09,0.058,0.175,0.024,0.179
"P07","Tiene Decidido que va a ir a votar.",0.752,0.933,0.857,0.941,0.702,0.131,0.862
"P07","Tiene dudas sobre si va a ir a  votar",0.152,0.067,0.082,0.029,0.298,0.869,0.078
"P07","Tiene Decidido que no va a ir a votar",0.096,0,0.061,0.03,0,0,0.06
"P09","Unión por la Patria",0.588,0.54,0.062,0.125,0.082,0.084,0.125
"P09","Juntos por el Cambio",0.113,0.329,0.843,0.74,0.147,0.084,0.129
"P09","De los Liberales libertarios",0.126,0.029,0.061,0.014,0.634,0,0.092
"P09","De la Izquierda",0.014,0,0.014,0,0.008,0.449,0.067
"P09","Hacemos por nuestro país",0.01,0,0.005,0,0,0,0.091
"P09","Otro",0.019,0.043,0.009,0.121,0.096,0,0.187
"P09","En blanco",0.01,0,0,0,0,0.359,0.031
"P09","No sabe",0.12,0.059,0.006,0,0.033,0.024,0.278
"P15","Totalmente seguro.",0.497,0.779,0.724,0.45,0.675,0,0.5
"P15","Bastante seguro",0.235,0.072,0.167,0.112,0.16,0.394,0.189
"P15","Algo seguro",0.146,0.06,0.055,0.146,0.114,0.084,0.012
"P15","Para nada seguro",0.122,0.089,0.054,0.292,0.051,0.522,0.299
"P23","Totalmente seguro",0.592,0.811,0.703,0.612,0.699,0,0.424
"P23","Bastante seguro",0.175,0.074,0.255,0.2,0.172,0.489,0.121
"P23","Algo seguro",0.163,0.044,0.02,0.038,0.077,0.113,0.201
"P23","Para nada seguro",0.07,0.071,0.022,0.15,0.052,0.398,0.254
"P24","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.632,0.187,0.034,0.022,0.16,0,0.152
"P24","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio",0.149,0.517,0.784,0.377,0.206,0,0.185
"P24","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.041,0.079,0.057,0.027,0.536,0,0.15
"P24","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.003,0,0.007,0.189,0.005,0.53,0.104
"P24","Otros",0.049,0.043,0.116,0.2,0.086,0,0.296
"P24","No sabe",0.126,0.174,0.002,0.185,0.007,0.47,0.113
