"var","categoria","Totalmente seguro.","Bastante seguro","Algo seguro","Para nada seguro"
"P12_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.238,0.214,0.154,0.215
"P12_imputada","Juan Grabois a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por Unión por la Patria",0.029,0.088,0.077,0.072
"P12_imputada","Juan Grabois a presidente, Axel Kicillof a gobernador y Julio Zamora a intendente por Unión por la Patria",0.154,0.166,0.205,0.158
"P12_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Claudio Cufré a intendente por Juntos por el Cambio",0.2,0.158,0.12,0.065
"P12_imputada","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.125,0.204,0.23,0.198
"P12_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora  y Claudio Baumgarten a intendente por la Libertad Avanza",0.206,0.109,0.164,0.05
"P12_imputada","Alguno de los candidatos a presidente, gobernador e intendente de la Izquierda",0.015,0.014,0.019,0.051
"P12_imputada","Otros",0.033,0.047,0.031,0.191
"PRESIDENTE_imputada","Sergio Massa a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.257,0.314,0.164,0.252
"PRESIDENTE_imputada","Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.134,0.15,0.157,0.14
"PRESIDENTE_imputada","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador por Juntos por el Cambio",0.209,0.192,0.182,0.12
"PRESIDENTE_imputada","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador por Juntos por el Cambio",0.122,0.184,0.241,0.154
"PRESIDENTE_imputada","Javier Milei a presidente, Carolina Piparo a gobernadora por la Libertad Avanza",0.219,0.114,0.155,0.12
"PRESIDENTE_imputada","Alguno de los candidatos a presidente y gobernador de la Izquierda",0.027,0.012,0.01,0.019
"PRESIDENTE_imputada","Otros",0.032,0.034,0.091,0.195
"INTENDENTE_imputada","Malena Galmarini a intendenta por Unión por la Patria",0.244,0.222,0.165,0.291
"INTENDENTE_imputada","Julio Zamora a intendente por Unión por la Patria",0.272,0.361,0.423,0.349
"INTENDENTE_imputada","Claudio Cufré a intendente por Juntos por el Cambio",0.107,0.069,0.03,0.034
"INTENDENTE_imputada","Segundo Cernadas a intendente por Juntos por el Cambio",0.196,0.306,0.289,0.172
"INTENDENTE_imputada","Claudio Baumgarten a intendente por la Libertad Avanza",0.15,0.033,0.065,0.014
"INTENDENTE_imputada","Alguno de los candidatos a intendente de la Izquierda",0.018,0,0.011,0.02
"INTENDENTE_imputada","Otros",0.013,0.009,0.017,0.12
"INTENDENTE_CORTA_1_imputada","Malena Galmarini a intendenta por Unión por la Patria",0.158,0.261,0.295,0.177
"INTENDENTE_CORTA_1_imputada","Julio Zamora a intendente por Unión por la Patria",0.082,0.027,0.04,0.043
"INTENDENTE_CORTA_1_imputada","Claudio Cufré a intendente por Juntos por el Cambio",0.362,0.292,0.176,0.125
"INTENDENTE_CORTA_1_imputada","Segundo Cernadas a intendente por Juntos por el Cambio",0.101,0.088,0.21,0.302
"INTENDENTE_CORTA_1_imputada","Claudio Baumgarten a intendente por la Libertad Avanza",0.231,0.192,0.249,0.08
"INTENDENTE_CORTA_1_imputada","Alguno de los candidatos a intendente de la Izquierda",0,0.053,0.02,0.092
"INTENDENTE_CORTA_1_imputada","Otros",0.066,0.087,0.01,0.181
"INTENDENTE_CORTA_2_imputada","Malena Galmarini a intendenta por Unión por la Patria",0.094,0.057,0.129,0.131
"INTENDENTE_CORTA_2_imputada","Julio Zamora a intendente por Unión por la Patria",0.431,0.476,0.47,0.541
"INTENDENTE_CORTA_2_imputada","Claudio Cufré a intendente por Juntos por el Cambio",0.103,0.111,0.026,0.063
"INTENDENTE_CORTA_2_imputada","Segundo Cernadas a intendente por Juntos por el Cambio",0.299,0.334,0.341,0.243
"INTENDENTE_CORTA_2_imputada","Claudio Baumgarten a intendente por la Libertad Avanza",0.055,0.01,0.034,0.015
"INTENDENTE_CORTA_2_imputada","Alguno de los candidatos a intendente de la Izquierda",0.009,0.004,0,0
"INTENDENTE_CORTA_2_imputada","Otros",0.009,0.008,0,0.007
