"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Centro","Norte","Sur","Zamora","Cernadas","Laborde Rodriguez","Akerfeld"
"Malena Galmarini a intendenta por Unión por la Patria",0.177,0.173,0.181,0.187,0.154,0.227,0.151,0.219,0.157,0.162,0.143,0.181,0.213,0.217,0.121,0,0.499
"Julio Zamora a intendente por Unión por la Patria",0.059,0.066,0.053,0.122,0.044,0.046,0.053,0.036,0.052,0.092,0.038,0.071,0.076,0.087,0.03,0,0
"Claudio Cufré a intendente por Juntos por el Cambio",0.298,0.289,0.306,0.245,0.206,0.385,0.443,0.313,0.282,0.307,0.282,0.32,0.307,0.22,0.454,0.899,0.043
"Segundo Cernadas a intendente por Juntos por el Cambio",0.114,0.089,0.134,0,0.14,0.126,0.145,0.108,0.169,0.046,0.131,0.133,0.088,0.124,0.129,0,0
"Claudio Baumgarten a intendente por la Libertad Avanza",0.205,0.266,0.157,0.324,0.287,0.099,0.047,0.158,0.211,0.243,0.228,0.162,0.198,0.167,0.233,0.101,0
"Alguno de los candidatos a intendente de la Izquierda",0.024,0.003,0.039,0.056,0,0.005,0.076,0.042,0,0.037,0.021,0.03,0.023,0.04,0.002,0,0.048
"Otros",0.075,0.099,0.056,0.066,0.104,0.033,0.074,0.072,0.076,0.075,0.091,0.045,0.07,0.069,0.014,0,0.41
"No sabe",0.048,0.015,0.074,0,0.065,0.079,0.011,0.052,0.053,0.038,0.066,0.058,0.025,0.076,0.017,0,0
