"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","En blanco","No sabe"
"P07","Al candidato del Frente de Todos",0.777,0.076,0.126,0.201,0.319,0.328
"P07","Al candidato de Juntos por el Cambio",0.072,0.73,0.163,0.098,0.093,0.185
"P07","Al candidato de los liberales - libertarios",0.008,0.075,0.635,0.421,0.183,0.073
"P07","Al candidato de la Izquierda",0.034,0.026,0.011,0.151,0.047,0.072
"P07","A otro candidato",0.051,0.025,0.054,0.074,0.206,0.122
"P07","No sabe",0.058,0.068,0.011,0.055,0.152,0.22
"P08","A Malena Galmarini",0.621,0.27,0.347,0.393,0.212,0.134
"P08","A Julio Zamora",0.379,0.73,0.653,0.607,0.788,0.866
"P09","A Segundo Cernadas",0.346,0.57,0.702,0.346,0.747,0.556
"P09","A Nicolás Massot",0.654,0.43,0.298,0.654,0.253,0.444
"P10","A Malena Galmarini por el Frente de Todos",0.502,0.061,0.078,0.071,0.083,0.054
"P10","A Julio Zamora por el Frente de Todos",0.312,0.08,0.156,0.175,0.342,0.346
"P10","A Segundo Cernadas por Juntos por el Cambio",0.05,0.485,0.131,0.101,0.068,0.153
"P10","A Nicolás Massot por Juntos por el Cambio",0.035,0.242,0.04,0.082,0.208,0.064
"P10","Al candidato de los liberales libertarios",0.023,0.061,0.549,0.316,0.156,0.005
"P10","A Paula Akerfeld por el Frente de Izquierda",0.038,0.011,0.003,0.132,0.062,0.118
"P10","No sabe",0.04,0.06,0.043,0.123,0.081,0.26
"P12","A Julio Zamora por el Frente de Todos",0.678,0.093,0.107,0.224,0.548,0.303
"P12","A Segundo Cernadas por Juntos por el Cambio",0.108,0.679,0.163,0.065,0.064,0.167
"P12","Al candidato de los liberales libertarios",0.056,0.122,0.567,0.316,0.14,0.078
"P12","A Paula Akerfeld por el Frente de Izquierda",0.035,0.026,0.013,0.129,0.073,0.09
"P12","No sabe",0.123,0.08,0.15,0.266,0.175,0.362
"P14","A Malena Galmarini por el Frente de Todos",0.732,0.077,0.084,0.138,0.114,0.196
"P14","A Segundo Cernadas por Juntos por el Cambio",0.084,0.711,0.129,0.098,0.189,0.222
"P14","Al candidato de los liberales libertarios",0.027,0.107,0.704,0.411,0.155,0.052
"P14","A Paula Akerfeld por el Frente de Izquierda",0.041,0.01,0.012,0.188,0.15,0.097
"P14","No sabe",0.116,0.095,0.071,0.165,0.392,0.433
"P16","A Malena Galmarini por el Frente de Todos",0.631,0.065,0.084,0.169,0.171,0.088
"P16","A Segundo Cernadas por Juntos por el Cambio",0.085,0.552,0.123,0.071,0.162,0.192
"P16","A Nicolás Massot por Juntos por el Cambio",0.051,0.229,0.084,0.082,0.025,0.018
"P16","A Julio Zamora por un partido vecinal",0.148,0.055,0.104,0.123,0.365,0.249
"P16","Al candidato de los liberales libertarios",0.053,0.066,0.592,0.286,0.151,0.174
"P16","A Paula Akerfeld por el Frente de Izquierda",0.001,0.002,0.001,0.136,0.058,0.085
"P16","No sabe",0.031,0.031,0.012,0.133,0.068,0.194
"P18","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.777,0.014,0.056,0,0.01,0.112
"P18","Daniel Scioli a presidente, Victoria Tolosa Paz a gobernadora y Julio Zamora a intendente por el Frente de Todos",0.12,0.017,0.055,0.125,0.26,0.156
"P18","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.023,0.692,0.063,0.078,0.089,0.04
"P18","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.023,0.211,0.038,0.027,0.093,0.15
"P18","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.02,0.045,0.763,0.502,0.195,0.053
"P18","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.012,0.006,0.007,0.228,0.053,0.043
"P18","En blanco",0.004,0.004,0.002,0,0.234,0.026
"P18","No sabe",0.021,0.011,0.016,0.04,0.066,0.42
"P19","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.822,0.017,0.047,0.05,0.014,0.039
"P19","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.041,0.632,0.034,0.083,0.039,0.05
"P19","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.014,0.277,0.047,0.051,0.116,0.143
"P19","Julio Zamora a intendente por un partido vecinal",0.067,0.034,0.303,0.159,0.351,0.254
"P19","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.016,0.024,0.558,0.545,0.203,0.051
"P19","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.01,0,0.004,0.094,0.06,0.063
"P19","En blanco",0.009,0.001,0.004,0.014,0.186,0.168
"P19","No sabe",0.021,0.015,0.003,0.004,0.031,0.232
"P20","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.844,0.046,0.031,0.061,0,0.065
"P20","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.029,0.675,0.031,0.082,0.205,0.157
"P20","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.047,0.152,0.774,0.344,0.022,0.068
"P20","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.022,0.015,0.049,0.262,0.172,0.04
"P20","En blanco",0.036,0.03,0.085,0.235,0.477,0.024
"P20","No sabe",0.022,0.082,0.03,0.016,0.124,0.646
"P21","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.86,0.009,0.017,0.008,0.094,0.052
"P21","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Segundo Cernadas a intendente por Juntos por el Cambio",0.016,0.699,0.018,0.031,0.098,0.205
"P21","Julio Zamora a intendente por un partido vecinal",0.097,0.053,0.243,0.087,0.139,0.155
"P21","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.003,0.117,0.686,0.672,0.112,0.047
"P21","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0.004,0.012,0.022,0.202,0.344,0.023
"P21","En blanco",0.003,0.033,0.014,0,0.203,0.178
"P21","No sabe",0.017,0.077,0,0,0.01,0.34
"P23","Sergio Massa a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.895,0.004,0.043,0.059,0.014,0.04
"P23","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Nicolás Massot a intendente por Juntos por el Cambio",0.015,0.886,0.025,0.06,0.033,0.05
"P23","Julio Zamora a intendente por un partido vecinal",0.074,0.05,0.32,0.094,0.15,0.164
"P23","Javier Milei a presidente, su candidato a gobernador y su candidato a intendente por la Libertad Avanza",0.002,0.024,0.577,0.598,0.032,0.038
"P23","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda",0,0,0.001,0.131,0.486,0.012
"P23","En blanco",0,0.017,0.024,0.054,0.182,0.277
"P23","No sabe",0.014,0.019,0.01,0.004,0.103,0.419
"P24","Wado de Pedro a presidente, Axel Kicillof a gobernador y Malena Galmarini a intendenta por el Frente de Todos",0.718,0.02,0.089,0.03,0.164,0.164
